,Epithelial,Fibroblast,Pericyte,Endothelial,CD4T,Macrophage,B,CD8T,DC,NK,Plasma,NKT,Mast,Monocyte
1813,R3HDM1,FAM126B,SUSD5,NBEAL1,FBXO45,PPP1R7,GUF1,OTUD4,NGLY1,METTL14,GRAMD1C,LAMTOR3,SMARCAD1,RNF168
1814,UBXN4,NDUFB3,UBP1,CYP20A1,PIGX,HDLBP,GNPDA2,ZNF827,OXSM,SEC24D,ZDHHC23,DNAJB14,HPGDS,FBXO45
1815,MCM6,CFLAR,CLASP2,ABI2,PAK2,SEPT2,COMMD8,LSM6,SLC4A7,USP53,QTRT2,H2AFZ,PDLIM5,NRROS
1816,DARS,CASP8,PDCD6IP,RAPH1,SENP5,FARP2,ATP10D,PRMT9,CMC1,C4orf3,TIGIT,PPP3CA,RAP1GDS1,PIGX
1817,CXCR4,TRAK2,DCLK3,PARD3B,NCBP2,STK25,SLAIN2,LRBA,AZI2,TNIP3,ZBTB20,NFKB1,EIF4E,PAK2
1818,HNMT,STRADB,EPM2AIP1,NRP2,NCBP2-AS2,THAP4,FRYL,RPS3A,TGFBR2,ANXA5,B4GALT4,MANBA,METAP1,NCBP2
1819,SPOPL,TMEM237,MLH1,INO80D,DLG1,ATG4B,OCIAD1,LINC02273,STT3B,EXOSC9,TMEM39A,UBE2D3,ADH5,NCBP2-AS2
1820,LRP1B,ALS2,LRRFIP2,NDUFS1,RUBCN,DTYMK,OCIAD2,FBXW7,GPD1L,KIAA1109,POGLUT1,CISD2,LAMTOR3,MELTF
1821,KYNU,FZD7,GOLGA4,EEF1B2,FYTTD1,ING5,DCUN1D4,TMEM154,CMTM8,SPATA5,TIMMDC1,BDH2,DNAJB14,DLG1
1822,GTDC1,SUMO1,CTDSPL,ZDBF2,LRCH3,D2HGDH,FIP1L1,ARFIP1,CMTM7,SPRY1,AC073352.2,TET2,H2AFZ,RUBCN
1823,ZEB2,NOP58,PLCD1,FASTKD2,RPL35A,NEU4,CHIC2,TMEM131L,CMTM6,MFSD8,COX17,PPA2,PPP3CA,FYTTD1
1824,ACVR2A,BMPR2,ACAA1,KLF7,ZNF141,LINC01238,TMEM165,PLRG1,DYNC1LI1,ABHD18,GSK3B,AIMP1,NFKB1,IQCG
1825,ORC4,FAM117B,MYD88,CREB1,ZNF721,TRNT1,CLOCK,ETFDH,CNOT10,LARP1B,LRRC58,PAPSS1,MANBA,RPL35A
1826,MBD5,ICA1L,OXSR1,METTL21A,PIGG,CRBN,EXOC1,PPID,GLB1,PGRMC2,NDUFB4,HADH,UBE2D3,ZNF721
1827,EPC2,WDR12,ACVR2B,CCNYL1,ATP5ME,SUMF1,CEP135,FNIP2,CRTAP,JADE1,RABL3,RPL34,CISD2,ATP5ME
1828,KIF5C,CARF,EXOG,FZD5,MYL5,ITPR1,AASDH,NAF1,UBP1,SCLT1,GTF2E1,OSTC,BDH2,SLC49A3
1829,LYPD6B,NBEAL1,WDR48,PLEKHM3,PCGF3,BHLHE40,PPAT,TMA16,CLASP2,C4orf33,HCLS1,SEC24B,TET2,PCGF3
1830,LYPD6,CYP20A1,GORASP1,IDH1,GAK,ARL8B,PAICS,TMEM192,PDCD6IP,ELF2,GOLGB1,MCUB,PPA2,GAK
1831,MMADHC,ABI2,CSRNP1,PIKFYVE,TMEM175,EDEM1,SRP72,MSMO1,TRANK1,NDUFC1,IQCB1,CASP6,INTS12,TMEM175
