,Epithelial,Fibroblast,Pericyte,Endothelial,CD4T,Macrophage,B,CD8T,DC,NK,Plasma,NKT,Mast,Monocyte
6003,C8orf82,UAP1L1,ADIRF,SNHG7,SRRM2,THYN1,CSNK2A2,ASPSCR1,MARCH5,LIMD2,FBXL3,MRPL10,PGAP3,HAGH
6004,ARHGAP39,MAN1B1-DT,GLUD1,LCN6,ELOB,ACAD8,CNOT1,CENPX,IDE,CCDC47,MYCBP2,SCRN2,MIEN1,FAHD1
6005,ZNF251,MAN1B1,SHLD2,TMEM141,ZG16B,ZMYND11,GOT2,DCXR,HHEX,DDX42,EDNRB,SP2,IKZF3,MSRB1
6006,ZNF34,DPP7,NUTM2A-AS1,RABL6,FLYWCH2,DIP2C,CKLF,RFNG,EXOC6,FTSJ3,RNF219,CDK5RAP3,ORMDL3,NDUFB10
6007,RPL8,ANAPC2,MINPP1,PHPT1,FLYWCH1,LARP4B,CMTM3,GPS1,MYOF,PSMC5,RBM26,NFE2L1,PSMD3,RPS2
6008,ZNF517,SSNA1,PAPSS2,EDF1,TNFRSF12A,GTPBP4,DYNC1LI2,DUS1L,FFAR4,SMARCD2,NDFIP2,CBX1,MSL1,SNHG9
6009,ZNF7,TPRN,ATAD1,TRAF2,HCFC1R1,IDI1,NAE1,FASN,FRA10AC1,CD79B,TGDS,SKAP1,CASC3,GFER
6010,COMMD5,TMEM203,PTEN,FBXW5,THOC6,WDR37,FAM96B,CCDC57,NOC3L,ICAM2,GPR180,HOXB2,WIPF2,ZNF598
6011,ZNF250,TUBB4B,ACTA2,PTGDS,MMP25-AS1,PFKP,CES2,SLC16A3,TBC1D12,ERN1,ABCC4,HOXB-AS3,RARA,NTHL1
6012,ZNF16,NELFB,FAS,PAXX,IL32,PITRM1,CBFB,CSNK1D,HELLS,SNHG25,DNAJC3-DT,HOXB4,IGFBP4,TSC2
6013,C8orf33,TOR4A,CH25H,NPDC1,ZNF200,KLF6,TRADD,LINC01970,PDLIM1,PECAM1,DNAJC3,AC103702.2,SMARCE1,SNHG19
6014,WASHC1,EXD3,LIPA,UAP1L1,ZNF263,AKR1C1,E2F4,CD7,ALDH18A1,POLG2,UGGT2,CALCOCO2,KRT10,TRAF7
6015,CBWD1,NSMF,IFIT2,MAN1B1-DT,ZNF75A,NET1,TMEM208,OGFOD3,TCTN3,DDX5,MBNL2,ATP5MC1,TMEM99,MLST8
6016,C9orf66,MRPL41,IFIT3,MAN1B1,NAA60,CALML5,ATP6V0D1,HEXDC,ENTPD1,CEP95,RAP2A,UBE2Z,KRT15,PGP
6017,DOCK8,DPH7,IFIT1,DPP7,CLUAP1,ASB13,AC009061.2,CYBC1,ENTPD1-AS1,SMURF2,IPO5,SNF8,KRT19,E4F1
6018,KANK1,ZMYND19,IFIT5,ANAPC2,NLRC3,FAM208B,RIPOR1,NARF,ZNF518A,GNA13,FARP1,GNGT2,EIF1,ECI1
6019,SMARCA2,ARRDC1,KIF20B,SSNA1,DNASE1,GDI2,CTCF,FOXK2,BLNK,RGS9,STK24,ABI3,JUP,RNPS1
6020,VLDLR,ARRDC1-AS1,RPP30,TPRN,TRAP1,FBH1,CARMIL2,WDR45B,TM9SF3,PRKCA,DOCK9,ZNF652,ACLY,AMDHD2
6021,PUM3,EHMT1,PCGF5,TMEM203,CREBBP,AL137186.2,ACD,FN3KRP,PIK3AP1,HELZ,GPR183,PHB,CNP,PDPK1
6022,RFX3,BET1L,HECTD2,TUBB4B,CORO7,IL15RA,GFOD2,TBCD,LCOR,PSMD12,TM9SF2,SPOP,DNAJC7,SRRM2
6023,GLIS3,RIC8A,PPP1R3C,NELFB,DNAJA3,IL2RA,CENPT,METRNL,ARHGAP19,PITPNC1,CLYBL,SLC35B1,NKIRAS2,ELOB
6024,SLC1A1,SIRT3,TNKS2,TOR4A,NMRAL1,RBM17,THAP11,USP14,FRAT1,NOL11,PCCA,FAM117A,KAT2A,ZG16B
6025,SPATA6L,PSMD13,BTAF1,NRARP,HMOX2,PFKFB3,NUTF2,THOC1,FRAT2,BPTF,TPP2,KAT7,RAB5C,FLYWCH2
6026,PLPP6,PGGHG,MARCH5,EXD3,CDIP1,SFMBT2,PSMB10,ENOSF1,RRP12,KPNA2,TEX30,PPP1R9B,GHDC,HCFC1R1
6027,CDC37L1-DT,IFITM2,IDE,NSMF,UBALD1,KIN,DPEP2,YES1,PGAM1,AC005332.5,ARGLU1,MRPL27,STAT5A,THOC6
6028,CDC37L1,IFITM1,EXOC6,MRPL41,MGRN1,ATP5F1C,DUS2,METTL4,EXOSC1,AMZ2,LIG4,LRRC59,STAT3,IL32
6029,AK3,IFITM3,MYOF,DPH7,NUDT16L1,TAF3,NFATC3,SMCHD1,ZDHHC16,WIPI1,ABHD13,ANKRD40,CAVIN1,ZNF200
6030,RCL1,PKP3,FRA10AC1,ZMYND19,ANKS3,GATA3,SLC7A6,LPIN2,MMS19,PRKAR1A,IRS2,AC005921.2,ATP6V0A1,MEFV
6031,JAK2,SIGIRR,PLCE1,ARRDC1,SMIM22,GATA3-AS1,SLC7A6OS,MYL12A,UBTD1,ABCA5,NAXD,LUC7L3,COASY,ZNF263
6032,RLN2,PTDSS2,NOC3L,ARRDC1-AS1,ROGDI,CELF2,PRMT7,MYL12B,PI4K2A,MAP2K6,CARS2,TOB1,MLX,SLX4
6033,PLGRKT,RNH1,TBC1D12,EHMT1,GLYR1,USP6NL,ZFP90,TGIF1,AVPI1,COG1,ING1,SPAG9,RETREG3,TRAP1
6034,CD274,HRAS,HELLS,BET1L,UBN1,ECHDC3,CHTF8,DLGAP1-AS1,MARVELD1,FAM104A,ANKRD10,NME1,VPS25,CREBBP
6035,RIC1,RASSF7,PDLIM1,RIC8A,NAGPA,UPF2,UTP4,LINC00667,ZFYVE27,RPL38,ARHGEF7,UTP18,COA3,TFAP4
6036,ERMP1,PHRF1,SORBS1,PSMD13,ABAT,DHTKD1,VPS4A,NDUFV2,R3HCC1L,CD300A,TUBGCP3,COX11,BECN1,CORO7
6037,KIAA2026,IRF7,ALDH18A1,PGGHG,PMM2,NUDT5,COG8.1,ANKRD12,HPS1,RAB37,ATP11A,DGKE,PSME3,NMRAL1
6038,RANBP6,SCT,TCTN3,IFITM2,CARHSP1,CDC123,NIP7,RALBP1,GOT1,SLC9A3R1,PCID2,TRIM25,RUNDC1,HMOX2
6039,UHRF2,DEAF1,ENTPD1,IFITM1,USP7,CAMK1D,TERF2,PPP4R1,SLC25A28,MRPL58,CUL4A,AC015912.3,RPL27,CDIP1
6040,AL354707.1,EPS8L2,ENTPD1-AS1,IFITM3,C16orf72,OPTN,CYB5B,VAPA,ENTPD7,ATP5PD,LAMP1,COIL,IFI35,MGRN1
6041,KDM4C,TMEM80,ZNF518A,PKP3,AC087190.1,PHYH,NFAT5,NAPG,CUTC,NT5C,TMCO3,SCPEP1,VAT1,NUDT16L1
6042,DMAC1,TALDO1,TM9SF3,SIGIRR,ATF7IP2,SEPHS1,NQO1,CHMP1B,COX15,JPT1,TFDP1,AKAP1,NBR1,SMIM22
6043,LURAP1L,GATD1,LCOR,PTDSS2,EMP2,PRPF18,NOB1,MPPE1,DNMBP,SUMO2,GAS6,AC007114.2,TMEM106A,ROGDI
6044,MPDZ,AP006621.3,FRAT2,RNH1,NUBP1,FRMD4A,WWP2,AFG3L2,ERLIN1,NUP85,RASA3,MSI2,ARL4D,GLYR1
6045,LINC01235,SLC25A22,RRP12,HRAS,DEXI,FAM107B,PDPR,PSMG2,CHUK,MRPS7,CDC16,MRPS23,DHX8,UBN1
6046,NFIB,PIDD1,PGAM1,RASSF7,RMI2,HSPA14,EXOSC6,AP005482.1,CWF19L1,MIF4GD,UPF3A,VEZF1,DUSP3,NAGPA
6047,ZDHHC21,RPLP2,EXOSC1,PHRF1,SOCS1,HSPA14.1,AARS,PTPN2,BLOC1S2,GRB2,CHAMP1,SRSF1,TMEM101,ALG1
6048,TTC39B,PNPLA2,ZDHHC16,IRF7,LITAF,DCLRE1C,DDX19B,SEH1L,SCD,TSEN54,OR11G2,DYNLL2,LSM12,METTL22
6049,SNAPC3,CRACR2B,MMS19,DEAF1,TXNDC11,RPP38,DDX19A,CEP192,OLMALINC,LLGL2,TTC5,AC004687.1,G6PC3,CARHSP1
6050,PSIP1,CD151,UBTD1,EPS8L2,ZC3H7A,NMT2,ST3GAL2,LDLRAD4,NDUFB8,SAP30BP,CCNB1IP1,SUPT4H1,HDAC5,USP7
6051,CCDC171,POLR2L,PI4K2A,TMEM80,RSL1D1,MINDY3,SF3B3,RNMT,HIF1AN,GALK1,AL355075.4,MTMR4,TMUB2,C16orf72
6052,CNTLN,TSPAN4,AVPI1,TALDO1,GSPT1,PTER,VAC14,ROCK1,SLF2,H3F3B,PARP2,RAD51C,ATXN7L3,AC087190.1
6053,RRAGA,AP006623.1,MARVELD1,GATD1,SNX29,RSU1,CMTR2,ESCO1,MRPL43,UNK,TEP1,TRIM37,UBTF,ATF7IP2
6054,HAUS6,CHID1,ZFYVE27,SLC25A22,ERCC4,VIM-AS1,PHLPP2,SNRPD1,LZTS2,UNC13D,OSGEP,SKA2,SLC25A39,EMP2
6055,PLIN2,AP2A2,R3HCC1L,PIDD1,MKL2,VIM,AP1G1,ABHD3,SFXN3,WBP2,APEX1,YPEL2,GRN,NUBP1
6056,DENND4C,TOLLIP,HPS1,RPLP2,PARN,STAM,ATXN1L,MIB1,BTRC,TEN1,PIP4P1,DHX40,ITGA2B,CIITA
6057,RPS6,MOB2,GOT1,PNPLA2,BFAR,MRC1,IST1,RIOK3,DPCD,SRP68,PNP,AC091271.1,GPATCH8,DEXI
6058,MLLT3,DUSP8,SLC25A28,CRACR2B,PDXDC1,NSUN6,ZNF821,NPC1,POLL,EXOC7,ANG,CLTC,FZD2,SOCS1
6059,FOCAD,CTSD,ENTPD7,CD151,NTAN1,ARL5B,TXNL4B,TTC39C,FBXW4,UBALD2,RNASE6,PTRH2,CCDC43,LITAF
6060,HACD4,SYT8,CUTC,POLR2L,RRN3,PLXDC2,DHX38,SS18,NPM3,PRPSAP1,RNASE1,VMP1,NMT1,SNN
6061,KLHL9,LSP1,COX15,TSPAN4,C16orf45,NEBL,ZFHX3,TRAPPC8,OGA,RHBDF2,METTL17,TUBD1,AC142472.1,TXNDC11
6062,MTAP,TNNT3,DNMBP,AP006623.1,MARF1,MLLT10,PSMD7,RNF125,ARMH3,MXRA7,HNRNPC,RPS6KB1,HEXIM1,AC007613.1
6063,CDKN2A,MRPL23,ERLIN1,CHID1,NDE1,DNAJC1,GLG1,RNF138,LDB1,JMJD6,SUPT16H,RNFT1,AC008105.3,ZC3H7A
6064,CDKN2B,CD81,CHUK,AP2A2,FOPNL,COMMD3,MLKL,MAPRE2,PPRC1,METTL23,CHD8,APPBP2,FMNL1,RSL1D1
6065,TUSC1,TSSC4,CWF19L1,TOLLIP,ABCC1,BMI1,WDR59,ZNF397,NOLC1,SRSF2,RAB2B,INTS2,ARHGAP27,GSPT1
6066,CAAP1,KCNQ1OT1,BLOC1S2,MOB2,RPS15A,PIP4K2A,CFDP1,ZNF24,GBF1,MFSD11,TOX4,MED13,KANSL1,SNX29
6067,PLAA,CDKN1C,SCD,DUSP8,ARL6IP1,MSRB2,TMEM170A,INO80C,NFKB2,SEC14L1,METTL3,TLK2,KANSL1-AS1,CPPED1
6068,IFT74,SLC22A18,NDUFB8,CTSD,SMG1,OTUD1,GABARAPL2,GALNT1,FBXL15,SEPT9,TRDC,DCAF7,FAM215B,MKL2
6069,MOB3B,PHLDA2,HIF1AN,MRPL23,COQ7,KIAA1217,ADAT1,C18orf21,CUEDC2,TNRC6C,TRAC,TACO1,NSF,PARN
6070,C9orf72,NAP1L4,SLF2,IGF2.1,GDE1,ARHGAP21,KARS,RPRD1A,MFSD13A,TMC6,DAD1,STRADA,GOSR2,BFAR
6071,ACO1,CARS,MRPL43,CD81,CCP110,APBB1IP,TERF2IP,SLC39A6,ACTR1A,TMC8,OXA1L,LIMD2,CDC27,PDXDC1
6072,DDX58,OSBPL5,TWNK,TSSC4,VPS35L,PDSS1,MON1B,ELP2,TRIM8,SYNGR2,SLC7A7,CCDC47,NPEPPS,NTAN1
6073,TOPORS,ZNF195,LZTS2,KCNQ1OT1,KNOP1,ABI1,CMC2,TPGS2,AL391121.1,SOCS3,MRPL52,DDX42,KPNB1,MARF1
6074,SMIM27,NUP98,SFXN3,CDKN1C,THUMPD1,ANKRD26,GCSH,KIAA1328,ARL3,CYTH1,LRP10,FTSJ3,MRPL10,AC026401.3
6075,NDUFB6,PGAP2,BTRC,PHLDA2,LYRM1,YME1L1,GAN,PIK3C3,WBP1L,USP36,RBM23,PSMC5,SCRN2,FOPNL
6076,APTX,RHOG,DPCD,NAP1L4,TMEM159,MASTL,CMIP,EPG5,BORCS7,CANT1,PRMT5,SMARCD2,CDK5RAP3,XYLT1
6077,DNAJA1,STIM1,POLL,CARS,METTL9,ACBD5,PLCG2,ATP5F1A,NT5C2,CBX4,C14orf93,CD79B,COPZ2,RPS15A
6078,SMU1,RRM1,FBXW4,OSBPL5,UQCRC2,RAB18,MPHOSPH6,HAUS1,PCGF6,EIF4A3,PSMB5,ERN1,NFE2L1,ARL6IP1
6079,B4GALT1,TRIM21,NPM3,ZNF195,MOSMO,WAC-AS1,HSBP1,C18orf25,ATP5MD,RNF213,ACIN1,SNHG25,CBX1,SMG1
6080,BAG1,TRIM5,OGA,NUP98,SDR42E2,WAC,MLYCD,PIAS2,PDCD11,ENDOV,C14orf119,PECAM1,SNX11,COQ7
6081,CHMP5,TRIM22,ARMH3,PGAP2,POLR3E,BAMBI,MBTPS1,IER3IP1,CALHM2,CHMP6,PPP1R3E,POLG2,SKAP1,ITPRIPL2
6082,NFX1,FAM160A2,HPS6,RHOG,CDR2,SVIL,COTL1,SMAD2,SH3PXD2A,TEPSIN,PABPN1,DDX5,HOXB2,GDE1
6083,AQP3,CAVIN3,PPRC1,STIM1,NPIPB5,MTPAP,KLHL36,SMAD7,STN1,NDUFAF8,SLC22A17,CEP95,HOXB-AS1,VPS35L
6084,NOL6,SMPD1,NOLC1,RRM1,GGA2,MAP3K8,USP10,DYM,SLK,SLC38A10,NGDN,SMURF2,HOXB3,KNOP1
6085,PRSS3,APBB1,GBF1,TRIM21,UBFD1,ZNF438,ZDHHC7,C18orf32,SFR1,ACTG1,THTPA,GNA13,HOXB4,THUMPD1
6086,UBE2R2,TRIM3,NFKB2,TRIM5,NDUFAB1,ZEB1,GSE1,RPL17,GSTO1,NPLOC4,AP1G2,RGS9,HOXB6,DCUN1D3
6087,UBAP2,ARFIP2,FBXL15,TRIM22,DCTN5,AL161935.3,C16orf74,ACAA2,ITPRIP,OXLD1,DHRS4-AS1,HELZ,CALCOCO2,LYRM1
6088,DCAF12,TIMM10B,CUEDC2,OR52N5,PRKCB,ARHGAP12,EMC8,MBD1,XPNPEP1,CCDC137,DHRS4,PSMD12,ATP5MC1,TMEM159
6089,UBAP1,RRP8,ACTR1A,FAM160A2,RBBP6,KIF5B,COX4I1,CXXC1,ADD3,ARL16,DHRS4L2,PITPNC1,UBE2Z,METTL9
6090,NUDT2,ILK,TRIM8,CAVIN3,TNRC6A,EPC1,IRF8,ME2,MXI1,HGS,PCK2,NOL11,SNF8,IGSF6
6091,MYORG,TAF10,AL391121.1,SMPD1,ARHGAP17,ITGB1,MAP1LC3B,SMAD4,SMNDC1,MRPL12,DCAF11,BPTF,ZNF652,UQCRC2
6092,FAM219A,TPP1,ARL3,APBB1,LCMT1,NRP1,KLHDC4,MEX3C,DUSP5,MCRIP1,PSME1,KPNA2,PHB,MOSMO
6093,ENHO,DCHS1,WBP1L,TRIM3,AC008741.2,CUL2,SLC7A5,MBD2,SMC3,P4HB,EMC9,AC005332.7,SPOP,EEF2K
6094,RPP25L,MRPL17,BORCS7,ARFIP2,LINC02195,CREM,BANP,TXNL1,PDCD4-AS1,ARHGDIA,PSME2,AMZ2,SLC35B1,CDR2
6095,DCTN3,OLFML1,CNNM2,TIMM10B,NSMCE1,CCNY,ZC3H18,NARS,PDCD4,ALYREF,AL136295.5,ARSG,KAT7,NPIPB5
6096,SIGMAR1,PPFIBP2,NT5C2,DNHD1,IL4R,ANKRD30A,CYBA,MALT1,BBIP1,ANAPC11,IRF9,WIPI1,ITGA3,GGA2
6097,GALT,CYB5R2,PCGF6,RRP8,IL21R,ZNF25,MVD,SEC11C,SHOC2,PCYT2,REC8,PRKAR1A,PDK2,UBFD1
6098,IL11RA,EIF3F,TAF5,ILK,GTF3C1,ZNF33A,RNF166,LMAN1,ACSL5,SIRT7,TM9SF1,ABCA5,SAMD14,NDUFAB1
6099,AL162231.1,TUB,ATP5MD,TAF10,XPO6,ZNF37A,APRT,PMAIP1,ZDHHC6,ASPSCR1,CHMP4A,MAP2K6,PPP1R9B,PRKCB
6100,DNAJB5,RIC3,PDCD11,TPP1,NUPR1,AL117339.5,TRAPPC2L,PIGN,VTI1A,CENPX,MDP1,FAM104A,COL1A1,RBBP6
6101,VCP,TRIM66,CALHM2,DCHS1,SGF29,ZNF33B,CBFA2T3,KIAA1468,TCF7L2,DCXR,NEDD8,RPL38,MRPL27,TNRC6A
6102,FANCG,RPL27A,SH3PXD2A,MRPL17,ATXN2L,BMS1,ACSF3,ZCCHC2,CASP7,GPS1,GMPR2,RAB37,LRRC59,ARHGAP17
6103,PIGO,ST5,SLK,CYB5R2,TUFM,CSGALNACT2,ANKRD11,BCL2,NHLRC2,DUS1L,TINF2,SLC9A3R1,ACSF2,LCMT1
6104,STOML2,AKIP1,SFR1,EIF3F,SH2B1,HNRNPF,SPG7,KDSR,CCDC186,FASN,RABGGTA,MRPL58,RSAD1,NSMCE1
6105,FAM214B,TMEM9B,GSTO1,TRIM66,RABEP2,ZNF32,RPL13,VPS4B,ABLIM1,CCDC57,DHRS1,ATP5PD,SPATA20,AC106739.1
6106,UNC13B,NRIP3,GSTO2,RPL27A,NFATC2IP,CXCL12,CHMP1A,TMX3,FAM160B1,SLC16A3,NOP9,NT5C,ANKRD40,IL4R
6107,RUSC2,SCUBE2,ITPRIP,ST5,SPNS1,RASSF4,CDK10,CD226,TRUB1,CSNK1D,KHNYN,JPT1,AC005921.2,IL21R
6108,TESK1,DENND5A,XPNPEP1,AKIP1,LAT,DEPP1,ZNF276,CYB5A,GFRA1,CD7,SDR39U1,SUMO2,LUC7L3,GTF3C1
6109,CCDC107,TMEM41B,ADD3,TMEM9B,SPN,ZNF22,TCF25,CNDP2,SHTN1,OGFOD3,GZMH,NUP85,TOB1,XPO6
6110,ARHGEF39,IPO7,MXI1,NRIP3,C16orf54,ALOX5,DEF8,LINC00909,SLC18A2,HEXDC,GZMB,MRPS7,SPAG9,APOBR
6111,TPM2,AC132192.1,SMNDC1,SCUBE2,KIF22,MARCH8,AC133919.1,ZNF407,PDZD8,CYBC1,G2E3,MIF4GD,NME1,NUPR1
6112,TLN1,AC132192.2,DUSP5,DENND5A,MAZ,WASHC2C,VPS53,ZADH2,RAB11FIP2,NARF,SCFD1,GRB2,NME2,SGF29
6113,CREB3,ZNF143,SMC3,TMEM41B,MVP,TIMM23,GEMIN4,TSHZ1,FAM204A,WDR45B,STRN3,TSEN54,MBTD1,SULT1A1
6114,GBA2,WEE1,PDCD4,IPO7,CDIPT,NCOA4,GLOD4,ZNF236,CACUL1,FN3KRP,HECTD1,LLGL2,UTP18,EIF3C
6115,RGP1,SWAP70,BBIP1,AC132192.1,TMEM219,MAPK8,MRM3,MBP,EIF3A,TBCD,HEATR5A,SAP30BP,COX11,ATXN2L
6116,HINT2,SBF2,SHOC2,AC132192.2,TAOK2,ARHGAP22,TIMM22,ATP9B,FAM45A,METRNL,AL139353.1,GALK1,STXBP4,TUFM
6117,TMEM8B,ADM,ADRA2A,ZNF143,HIRIP3,WDFY4,ABR,NFATC1,SFXN4,USP14,ARHGAP5,H3F3B,PCTP,SH2B1
6118,GLIPR2,AMPD3,ZDHHC6,WEE1,INO80E,TMEM273,YWHAE,CTDP1,PRDX3,THOC1,SPTSSA,UNC13D,COIL,NFATC2IP
6119,CLTA,MTRNR2L8,VTI1A,SWAP70,ALDOA,ERCC6,CRK,PQLC1,RGS10,ENOSF1,EAPP,WBP2,AKAP1,SPNS1
6120,GNE,RNF141,TCF7L2,SBF2-AS1,PPP4C,PARG,MYO1C,HSBP1L1,TIAL1,YES1,SNX6,TRIM47,MSI2,AC009093.2
6121,RNF38,MRVI1,CASP7,SBF2,YPEL3,TIMM23B,INPP5K,TXNL4A,BAG3,METTL4,CFL2,TEN1,MRPS23,SPN
6122,MELK,CTR9,NHLRC2,ADM,MAPK3,AGAP6,PITPNA-AS1,RBFA,INPP5F,SMCHD1,BAZ1A,SRP68,VEZF1,QPRT
6123,EBLN3P,EIF4G2,CCDC186,MTRNR2L8,CORO1A,WASHC2A,PITPNA,ADNP2,MCMBP,LPIN2,SRP54,EXOC7,SRSF1,C16orf54
6124,ZCCHC7,ZBED5,AFAP1L2,RNF141,AC012645.3,SGMS1,SLC43A2,ZCCHC3,SEC23IP,MYL12A,FAM177A1,UBALD2,DYNLL2,KIF22
6125,GRHPR,ZBED5-AS1,ABLIM1,LYVE1,CD2BP2,CSTF2T,PRPF8,RBCK1,WDR11,MYL12B,PPP2R3C,PRPSAP1,AC004687.1,MAZ
6126,ZBTB5,USP47,FAM160B1,MRVI1,TBC1D10B,AC074327.1,MIR22HG,TBC1D20,ATE1,TGIF1,PSMA6,UBE2O,SUPT4H1,MVP
6127,POLR1E,DKK3,GFRA1,CTR9,SEPT1,ZWINT,WDR81,CSNK2A1,NSMCE4A,DLGAP1-AS1,NFKBIA,MXRA7,MTMR4,CDIPT
6128,TOMM5,MICAL2,HSPA12A,EIF4G2,DCTPP1,IPMK,SMYD4,FAM110A,PLEKHA1,LINC00667,RALGAPA1,JMJD6,RAD51C,TMEM219
6129,TRMT10B,PARVA,PDZD8,ZBED5,SEPHS2,CISD1,RPA1,PSMF1,PSTK,NDUFV2,BRMS1L,METTL23,TRIM37,TAOK2
6130,EXOSC3,TEAD1,EMX2OS,GALNT18,ITGAL,UBE2D1,SMG6,FKBP1A,IKZF5,ANKRD12,MBIP,SRSF2,SKA2,INO80E
6131,DCAF10,ARNTL,EMX2,USP47,ZNF764,TFAM,TSR1,NSFL1C,ACADSB,RALBP1,SEC23A,MFSD11,YPEL2,ALDOA
6132,SLC25A51,BTBD10,RAB11FIP2,DKK3,ZNF688,CCDC6,SGSM2,SIRPG,BUB3,VAPA,GEMIN2,SEC14L1,DHX40,PPP4C
6133,SHB,FAR1,FAM204A,MICAL2,ZNF689,CDK1,MNT,SNRPB,CHST15,NAPG,TRAPPC6B,SEPT9,AC091271.1,YPEL3
6134,ALDH1B1,SPON1,CACUL1,PARVA,PRR14,RHOBTB1,METTL16,NOP56,OAT,CHMP1B,PNN,TNRC6C,CLTC,CORO1A
6135,CBWD6,RRAS2,NANOS1,TEAD1,FBRS,TMEM26,PAFAH1B1,IDH3B,LHPP,MPPE1,MIA2,TMC6,PTRH2,BOLA2B
6136,CNTNAP3B,COPB1,EIF3A,ARNTL,PHKG2,ARID5B,CLUH,VPS16,FAM53B,AFG3L2,FBXO33,TMC8,VMP1,CD2BP2
6137,FAM27C,PSMA1,FAM45A,BTBD10,RNF40,ADO,TAX1BP3,PTPRA,EEF1AKMT2,PSMG2,C14orf28,SYNGR2,TUBD1,TBC1D10B
6138,LINC01410,CYP2R1,SFXN4,FAR1,BCL7C,EGR2,EMC6,MRPS26,ABRAXAS2,PTPN2,KLHL28,SOCS3,RPS6KB1,ZNF771
6139,AL512625.3,C11orf58,PRDX3,SPON1,ORAI3,NRBF2,P2RX5,DDRGK1,ZRANB1,SEH1L,TOGARAM1,CYTH1,RNFT1,DCTPP1
6140,AL512625.1,RPS13,GRK5,RRAS2,SETD1A,JMJD1C,ITGAE,ITPA,CTBP2,LDLRAD4,PRPF39,USP36,USP32,SEPHS2
6141,CBWD5,PIK3C2A,RGS10,COPB1,STX4,REEP3,NCBP3,C20orf27,EDRF1,FAM210A,FKBP3,CBX4,APPBP2,ITGAL
6142,CBWD3,NUCB2,TIAL1,PSMA1,VKORC1,DNAJC12,ATP2A3,CENPB,UROS,RNMT,MIS18BP1,EIF4A3,BCAS3,ZNF768
6143,AL161457.2,NCR3LG1,BAG3,CYP2R1,BCKDK,SIRT1,ZZEF1,CDC25B,BCCIP,ROCK1,RPS29,RNF213,NACA2,ZNF688
6144,FAM122A,AC124798.1,INPP5F,SOX6,KAT8,HERC4,CYB5D2,MAVS,ADAM12,ESCO1,LRR1,ENDOV,MED13,PRR14
6145,FXN,SERGEF,MCMBP,C11orf58,FUS,HNRNPH3,ANKFY1,PANK2,DOCK1,SNRPD1,RPL36AL,CHMP6,TLK2,FBRS
6146,TJP2,SAAL1,SEC23IP,PLEKHA7,PYCARD,RUFY2,UBE2G1,RNF24,PTPRE,ABHD3,MGAT2,NDUFAF8,CYB561,SRCAP
6147,FAM189A2,SAA2,WDR11,RPS13,ZNF720,SLC25A16,MYBBP1A,PRNP,MGMT,MIB1,AL139099.1,SLC38A10,DCAF7,PHKG2
6148,PTAR1,SAA1,ATE1,PIK3C2A,ZNF267,CCAR1,PELP1,RASSF2,C10orf143,RIOK3,DNAAF2,ACTG1,MAP3K3,BCL7C
6149,SMC5,HPS5,NSMCE4A,NUCB2,VPS35,DDX50,ARRB2,TMEM230,GLRX3,TTC39C,KLHDC2,NPLOC4,STRADA,ORAI3
6150,KLF9,GTF2H1,TACC2,NCR3LG1,ORC6,DDX21,MED11,PCNA,PPP2R2D,SS18,NEMF,OXLD1,LIMD2,SETD1A
6151,CEMIP2,LDHA,PLEKHA1,AC124798.1,C16orf87,KIF1BP,CXCL16,CDS2,BNIP3,TRAPPC8,AL627171.1,CCDC137,CCDC47,STX4
6152,ABHD17B,TSG101,HTRA1,SERGEF,DNAJA2,SRGN,PSMB6,GPCPD1,STK32C,RNF125,ARF6,ARL16,DDX42,AC135050.3
6153,C9orf85,UEVLD,IKZF5,SAAL1,ITFG1,VPS26A,SLC25A11,SHLD1,LRRC27,RNF138,LINC01588,HGS,PSMC5,VKORC1
6154,ZFAND5,SPTY2D1OS,ACADSB,SAA2,PHKB,SUPV3L1,RNF167,TRMT6,PWWP2B,MAPRE2,VCPKMT,MRPL12,SMARCD2,BCKDK
6155,ANXA1,SPTY2D1,BUB3,SAA1,LONP2,HK1,PFN1,CRLS1,UTF1,ZNF397,SOS2,MCRIP1,ICAM2,KAT8
6156,C9orf40,ZDHHC13,CHST15,HPS5,SIAH1,TSPAN15,SPAG7,TMX4,VENTX,ZNF24,ATP5S,P4HB,ERN1,PRSS8
6157,CARNMT1,NAV2,OAT,GTF2H1,N4BP1,FAM241B,CAMTA2,PLCB1,ADAM8,INO80C,MAP4K5,ARHGDIA,SNHG25,FUS
6158,NMRK1,HTATIP2,EEF1AKMT2,LDHA,CNEP1R1,H2AFY2,KIF1C,TASP1,TUBGCP2,GALNT1,SAV1,ALYREF,TEX2,PYCARD
6159,OSTF1,PRMT3,ABRAXAS2,LDHC,TENT4B,AIFM2,SCIMP,ESF1,ZNF511,C18orf21,NIN,ANAPC11,MILR1,PYCARD-AS1
6160,RFK,FANCF,ZRANB1,TSG101,ADCY7,TYSND1,RABEP1,KIF16B,FUOM,RPRD1A,TMX1,PCYT2,POLG2,ITGAM
6161,GCNT1,SVIP,CTBP2,UEVLD,BRD7,SAR1A,NUP88,SNRPB2,ECHS1,SLC39A6,FRMD6,SIRT7,DDX5,ITGAX
6162,VPS13A,LUZP2,EDRF1,SPTY2D1OS,SNX20,PPA1,RPAIN,DSTN,PAOX,ELP2,GNG2,PYCR1,SMURF2,C16orf58
