B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT	Pericyte	Plasma
NA	NA	CCL4L2	RP11-1143G9.4	SEPP1	H3F3A	TNFRSF12A	ZFP36	NA	NA	TRDC	NA	COL6A2	NA
NA	NA	STK4	CXCL2	HTRA1	ELF3	PCSK1N	CXCL3	NA	NA	TPI1	NA	RPL7A	NA
NA	NA	RPS27	S100B	MT-CO2	OMD	TNXB	APOC1	NA	NA	ITGA1	NA	CFL1	NA
NA	NA	MALAT1	MRC1	SLC2A3	LEMD1	PFN1	PKM	NA	NA	RARRES1	NA	STEAP4	NA
NA	NA	DCN	PRDX1	BTNL9	JUN	GSTM5	ALDH1A1	NA	NA	XCL1	NA	HMGN2	NA
NA	NA	RPS15	MMP9	CYR61	RPL7A	PYCR1	ALDOA	NA	NA	CMC1	NA	FAU	NA
NA	NA	MT-ND3	MDK	HLA-C	AADAC	FAP	LYPD2	NA	NA	GPR65	NA	C12orf75	NA
NA	NA	ITM2C	LIMS1	MT-CO1	RARRES2	TCEB2	FCGR1A	NA	NA	S1PR5	NA	NUPR1	NA
NA	NA	MT-ND4L	TMEM176A	NR4A1	CRIP2	TNNT1	MT-CYB	NA	NA	S100A4	NA	S100A6	NA
NA	NA	MYL12A	PLAC8	CAV1	RPS26	RPL22	CEBPD	NA	NA	GSTP1	NA	HBB	NA
NA	NA	MCL1	PRELID1	STC1	SPINT2	ABRACL	NR4A2	NA	NA	IGHG1	NA	PRSS23	NA
NA	NA	C3	PLEK2	ENTPD1	CYR61	COL8A1	ENO1	NA	NA	CD7	NA	RPL39	NA
NA	NA	CCND3	CTSD	HLA-E	RPL18	RPS8	TXNIP	NA	NA	SH3BP5	NA	RERGL	NA
NA	NA	HNRNPDL	SPARC	SRGN	C1orf186	SEZ6L2	S100A8	NA	NA	CTD-3252C9.4	NA	RPS8	NA
NA	NA	EVI2B	TMSB4X	FMO2	ITLN2	INHBA	MT-ND2	NA	NA	RPL13	NA	TPM4	NA
NA	NA	RPS3A	CD1A	PVRL2	DPYS	ETV1	C1orf162	NA	NA	ADIRF	NA	NEAT1	NA
NA	NA	JUNB	CPVL	FABP5	HBB	HOPX	KLF9	NA	NA	MYL12A	NA	RPL14	NA
NA	NA	NR4A1	HERPUD1	RPS4X	CTHRC1	HNRNPA1	CD55	NA	NA	CLU	NA	COL18A1	NA
NA	NA	DNAJB9	RPSA	TGM2	S100A13	C4orf48	TIMD4	NA	NA	BCL2	NA	IGHG3	NA
NA	NA	RPL24	MT1X	SGK1	UCP2	JUNB	RPS4X	NA	NA	XCL2	NA	KRT18	NA
NA	NA	RPL15	MT1E	CTSC	KLF6	TPI1	SIGLEC1	NA	NA	GIMAP4	NA	RPS20	NA
NA	NA	EEF1A1	COL1A2	MT-ND3	CALB2	GPX3	MT-ND4L	NA	NA	CYBA	NA	TFPI	NA
NA	NA	TMSB4X	CFL1	FXYD6	NFKBIZ	CKAP4	CXCL8	NA	NA	TMSB10	NA	HOPX	NA
NA	NA	CSTB	SNX10	HBA2	ATP5E	TTC3	RPS3	NA	NA	HMGN2	NA	ITGA1	NA
NA	NA	VIM	MCL1	PRCP	HMGA2	PNRC1	CEBPB	NA	NA	PRMT9	NA	CTSC	NA
NA	NA	PTGER2	PHACTR1	CD93	SVEP1	SERINC2	RGS2	NA	NA	SLPI	NA	CST3	NA
NA	NA	LGALS1	DYNLL1	NUPR1	GTF2I	NFKBIA	CTSS	NA	NA	UBB	NA	RPS21	NA
NA	NA	RPL19	HCST	MYL9	TXNIP	RHOB	RPS3A	NA	NA	NA	NA	EGFL6	NA
NA	NA	CRIP1	SRGN	MARCKSL1	SEPT9	PKM	IGKC	NA	NA	NA	NA	ADGRF5	NA
NA	NA	EMP3	HLA-DRB1	C1QA	RPS3	CXXC5	RPL13A	NA	NA	NA	NA	TPPP3	NA
NA	NA	DDX5	ACTG1	ANXA3	TCEB2	ADH1B	MAN1A1	NA	NA	NA	NA	COL6A1	NA
NA	NA	HSD17B11	CLEC4E	NPDC1	CAV1	RPL7A	RPL7	NA	NA	NA	NA	RPL18	NA
NA	NA	C1R	TPI1	CTHRC1	CAPS	ALDH1A1	C15orf48	NA	NA	NA	NA	FXYD1	NA
NA	NA	RPL36A	C5AR1	RPS2	RPL5	RPL21	SLC40A1	NA	NA	NA	NA	S100A11	NA
NA	NA	RBP1	DUSP2	CD82	OCIAD2	RPL5	MT-CO1	NA	NA	NA	NA	RPS23	NA
NA	NA	CD69	DCN	PPFIBP1	HAS1	HMGA2	EMP1	NA	NA	NA	NA	TAGLN2	NA
NA	NA	TPM2	ARRDC3	KLF4	CFL1	SERPINH1	APOE	NA	NA	NA	NA	GMFG	NA
NA	NA	PRDM1	ATF5	ARHGDIB	PDK4	ZFP36	ABCA6	NA	NA	NA	NA	NRGN	NA
NA	NA	RPS12	CTHRC1	COL1A2	ITM2B	GSN	LRP1	NA	NA	NA	NA	SERF2	NA
NA	NA	TUBA1A	PKP2	HIF3A	MGP	KIF26B	RPL41	NA	NA	NA	NA	GGT5	NA
NA	NA	RPL6	SGK1	HSPB1	RHOB	SH3BGRL3	RPL15	NA	NA	NA	NA	TYMP	NA
NA	NA	TRBC2	COTL1	TMEM2	CP	DCN	SGK1	NA	NA	NA	NA	TDO2	NA
NA	NA	TSPYL2	LYZ	CYSLTR1	IGLC2	HN1	TUBA1B	NA	NA	NA	NA	COL5A3	NA
NA	NA	HOPX	CCL3	JUNB	CITED2	ANTXR1	GAS1	NA	NA	NA	NA	SERPINH1	NA
NA	NA	ANXA2	KLF2	GNAI1	LYPD6B	RUNX1	RPL39	NA	NA	NA	NA	LHFP	NA
NA	NA	ARHGDIB	NLRP3	NME1	IGFBP5	MT-CO2	LGALS1	NA	NA	NA	NA	APOE	NA
NA	NA	TOB1	IGF2	SOX4	BTG2	FABP4	NLRP3	NA	NA	NA	NA	SELM	NA
NA	NA	HMGB2	CD207	HEG1	PRG4	MGST1	MT1M	NA	NA	NA	NA	LAMB1	NA
NA	NA	EGR1	RPL19	MYL6	PRAME	PRRX1	MT-ND5	NA	NA	NA	NA	NOTCH3	NA
NA	NA	TSC22D1	PDLIM7	ID3	B2M	NPM1	RPL29	NA	NA	NA	NA	RPS27A	NA
NA	NA	PIP4K2A	HP	LDHA	HBA2	ENAH	CH25H	NA	NA	NA	NA	MYO1B	NA
NA	NA	PIK3R1	NUDT14	TSHZ2	FOSB	SERF2	CYR61	NA	NA	NA	NA	GADD45G	NA
NA	NA	RPL35A	ZFAND5	MGST1	PROCR	IGLC2	RPL13	NA	NA	NA	NA	SNCG	NA
NA	NA	RPS21	VASP	PNRC1	TES	GJB2	SDC3	NA	NA	NA	NA	CD63	NA
NA	NA	IER2	EEF1A1	LINC00152	PPIA	RPL30	MS4A4A	NA	NA	NA	NA	GAPDH	NA
NA	NA	ITM2A	PPM1N	ATOH8	FXYD3	ARPC2	C7	NA	NA	NA	NA	TOMM7	NA
NA	NA	CKLF	ADAP2	LOXL2	PODN	GJA1	HBEGF	NA	NA	NA	NA	NNMT	NA
NA	NA	RPS4X	GALM	CXorf36	CSRNP1	TMEM167A	TSC22D3	NA	NA	NA	NA	TNFAIP6	NA
NA	NA	RBM3	RPL10A	S100A6	TPI1	NME1	RPL10	NA	NA	NA	NA	TMSB4X	NA
NA	NA	RPS7	RNASE6	GLUL	VIPR2	SHC1	GPX1	NA	NA	NA	NA	LY6E	NA
NA	NA	CALD1	EFHD2	IL3RA	KRT7	PCDH7	ATF3	NA	NA	NA	NA	PMEPA1	NA
NA	NA	RPS13	PPIA	RPL3	GLTSCR2	BMP7	CYP1B1	NA	NA	NA	NA	MARCKS	NA
NA	NA	PFN1	BTG1	NID1	RPL37	MMP11	RPSA	NA	NA	NA	NA	RPS7	NA
NA	NA	HSP90AB1	RNASET2	RPLP1	TM4SF1	ITM2B	ADIRF	NA	NA	NA	NA	COL5A1	NA
NA	NA	SRSF2	KRT17	CITED2	FHL2	CLEC11A	RPL19	NA	NA	NA	NA	PEAK1	NA
NA	NA	SAMSN1	HLA-DMA	IL4R	DCDC2	KDELR3	CYBB	NA	NA	NA	NA	VMP1	NA
NA	NA	MAPK1	MS4A7	ZNF385D	RPL13	RUNX2	HMGN2	NA	NA	NA	NA	PPIB	NA
NA	NA	SNRPE	HLA-DQA2	BTG2	NME1	WISP2	RPL10A	NA	NA	NA	NA	TPI1	NA
NA	NA	RGCC	MSR1	VCAN	RPL21	ACTN1	RPS7	NA	NA	NA	NA	LMOD1	NA
NA	NA	CALM2	MT-ND4L	CRHBP	HSD17B6	GLUL	STK17B	NA	NA	NA	NA	ENPEP	NA
NA	NA	KLF6	SEPP1	EVA1B	EMX2OS	RRBP1	RPL28	NA	NA	NA	NA	RPL23	NA
