B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT	Pericyte	Plasma
NA	NA	NA	NA	TSPAN13	CCDC64	PMEPA1	RPS6	NA	NA	NA	NA	FXYD5	NA
NA	NA	NA	NA	SKIL	CXCL2	SULF1	LGMN	NA	NA	NA	NA	NDRG2	NA
NA	NA	NA	NA	FSTL1	LSM5	COL9A3	ADGRE5	NA	NA	NA	NA	PNRC1	NA
NA	NA	NA	NA	MTUS1	BEX1	RPL35	LTA4H	NA	NA	NA	NA	LUM	NA
NA	NA	NA	NA	GGT5	ZBTB16	FBLN5	VSIG4	NA	NA	NA	NA	ADAMTS12	NA
NA	NA	NA	NA	ABL2	DAPL1	C10orf10	TMSB10	NA	NA	NA	NA	ECM1	NA
NA	NA	NA	NA	AP2S1	HOXA10	EPYC	IRS2	NA	NA	NA	NA	CNN1	NA
NA	NA	NA	NA	PTP4A3	TSPAN1	TGFB1	RGS10	NA	NA	NA	NA	ITGA10	NA
NA	NA	NA	NA	RNF7	DEFB1	LOXL1	ARPC2	NA	NA	NA	NA	MTRNR2L1	NA
NA	NA	NA	NA	P4HB	ALDOA	TMEM45A	RNASET2	NA	NA	NA	NA	CHN1	NA
NA	NA	NA	NA	HN1	SOX17	ITGB5	METTL7A	NA	NA	NA	NA	HLA-B	NA
NA	NA	NA	NA	CCL14	UQCC2	MEX3A	MT-ATP6	NA	NA	NA	NA	AC097724.3	NA
NA	NA	NA	NA	RAN	MRPL14	TXNDC17	KRT7	NA	NA	NA	NA	SEPT11	NA
NA	NA	NA	NA	LAMB1	ARID5B	ACTR2	CD36	NA	NA	NA	NA	SPRY1	NA
NA	NA	NA	NA	ALDOA	ARPC1B	MSRB3	S100A6	NA	NA	NA	NA	ODF2L	NA
NA	NA	NA	NA	PHLDA3	MDFI	CALD1	ETV5	NA	NA	NA	NA	B2M	NA
NA	NA	NA	NA	CMIP	KIF9	PDLIM7	S100A11	NA	NA	NA	NA	SEPT4	NA
NA	NA	NA	NA	FTL	COX20	S100A16	DPYSL2	NA	NA	NA	NA	SLPI	NA
NA	NA	NA	NA	SMIM3	S100A2	CEBPD	LITAF	NA	NA	NA	NA	ADAM12	NA
NA	NA	NA	NA	CTNNBIP1	POLR2J3	IGLC3	CPM	NA	NA	NA	NA	OST4	NA
NA	NA	NA	NA	UBB	RPL36A	BAX	FOSL2	NA	NA	NA	NA	OLFML2B	NA
NA	NA	NA	NA	CEBPB	BST2	MMD	CD4	NA	NA	NA	NA	AVPR1A	NA
NA	NA	NA	NA	FBN1	TPM3	FKBP10	HLA-DQB1	NA	NA	NA	NA	RSL24D1	NA
NA	NA	NA	NA	CSRNP1	CCDC146	ABCA6	C3	NA	NA	NA	NA	HBA1	NA
NA	NA	NA	NA	RALGAPA2	HLA-DMB	NNMT	ANXA1	NA	NA	NA	NA	CIRBP	NA
NA	NA	NA	NA	USP22	UQCRB	GNG11	CD302	NA	NA	NA	NA	ITGB1	NA
NA	NA	NA	NA	PMEPA1	RPL23	MDFI	CLEC5A	NA	NA	NA	NA	MT1E	NA
NA	NA	NA	NA	CD40	H2AFZ	SVEP1	HLA-DPB1	NA	NA	NA	NA	GLTSCR2	NA
NA	NA	NA	NA	SMTN	PAFAH1B3	NDUFB2	LIPA	NA	NA	NA	NA	FIBIN	NA
NA	NA	NA	NA	HAPLN3	POLR2H	AP2S1	CHCHD2	NA	NA	NA	NA	NFKBIA	NA
NA	NA	NA	NA	NA	COL8A1	P4HA2	TGFBR2	NA	NA	NA	NA	RPL19	NA
NA	NA	NA	NA	NA	CLIC1	NDUFA4L2	TSPAN4	NA	NA	NA	NA	RPL37	NA
NA	NA	NA	NA	NA	ABRACL	FMO2	GABARAPL1	NA	NA	NA	NA	CRYAB	NA
NA	NA	NA	NA	NA	CLDN15	DLX5	RPL23A	NA	NA	NA	NA	PALLD	NA
NA	NA	NA	NA	NA	RPS16	FTL	RPS18	NA	NA	NA	NA	WISP2	NA
NA	NA	NA	NA	NA	KIAA0101	RPL31	RPS5	NA	NA	NA	NA	TNFRSF21	NA
NA	NA	NA	NA	NA	MGST1	MIF	ADAM28	NA	NA	NA	NA	NSA2	NA
NA	NA	NA	NA	NA	SRGAP3	P4HB	C2	NA	NA	NA	NA	BST2	NA
NA	NA	NA	NA	NA	HLA-DRA	RPL39L	RPS29	NA	NA	NA	NA	GPX1	NA
NA	NA	NA	NA	NA	SOX9	CREB3L1	MS4A6A	NA	NA	NA	NA	IFI27	NA
NA	NA	NA	NA	NA	ARL4C	SEC61B	ME1	NA	NA	NA	NA	ADAMTS2	NA
NA	NA	NA	NA	NA	PSAT1	ZMAT3	LIMS1	NA	NA	NA	NA	OLFML2A	NA
NA	NA	NA	NA	NA	CEBPD	P3H4	IL10	NA	NA	NA	NA	ANKRD28	NA
NA	NA	NA	NA	NA	BNC1	PXDN	MTRNR2L1	NA	NA	NA	NA	RUNX1	NA
NA	NA	NA	NA	NA	COX5A	BST2	LAMP1	NA	NA	NA	NA	RFTN1	NA
NA	NA	NA	NA	NA	KLK6	ENC1	UBXN11	NA	NA	NA	NA	ACVRL1	NA
NA	NA	NA	NA	NA	SPP1	NDRG2	APLP2	NA	NA	NA	NA	ATP5E	NA
NA	NA	NA	NA	NA	SNHG8	FSCN1	COLEC12	NA	NA	NA	NA	ITM2C	NA
NA	NA	NA	NA	NA	IGFBP2	NEAT1	CTSZ	NA	NA	NA	NA	ADH1B	NA
NA	NA	NA	NA	NA	FAM60A	SSR4	SIGLEC10	NA	NA	NA	NA	OLFM2	NA
NA	NA	NA	NA	NA	RPL36AL	THBS2	IL4I1	NA	NA	NA	NA	NACA	NA
NA	NA	NA	NA	NA	LITAF	RPS27	CTHRC1	NA	NA	NA	NA	ISG15	NA
NA	NA	NA	NA	NA	UGT2B7	KRT17	RARRES1	NA	NA	NA	NA	SDC2	NA
NA	NA	NA	NA	NA	PCDH7	TXNIP	NME1	NA	NA	NA	NA	ADRA2A	NA
NA	NA	NA	NA	NA	ALDH1A2	KIF5C	TMEM176A	NA	NA	NA	NA	ACTB	NA
NA	NA	NA	NA	NA	EHF	SEMA6A	CX3CR1	NA	NA	NA	NA	EIF1	NA
NA	NA	NA	NA	NA	COX6B1	APCDD1	SLC38A2	NA	NA	NA	NA	CTSK	NA
NA	NA	NA	NA	NA	VCAN	DUSP23	ATP1B3	NA	NA	NA	NA	NRP1	NA
NA	NA	NA	NA	NA	CCDC167	TCEAL4	SAMD4A	NA	NA	NA	NA	RPL7	NA
NA	NA	NA	NA	NA	ITM2C	FBLN1	TNS1	NA	NA	NA	NA	KDELR3	NA
NA	NA	NA	NA	NA	HSPB1	SIGLEC11	MT-ND4	NA	NA	NA	NA	PXDN	NA
NA	NA	NA	NA	NA	LSM4	MT-CO1	TLE4	NA	NA	NA	NA	C1R	NA
NA	NA	NA	NA	NA	SLC39A8	NOVA1	PRELID1	NA	NA	NA	NA	RPL26	NA
NA	NA	NA	NA	NA	CKS1B	APLP1	ARRDC3	NA	NA	NA	NA	IGFBP4	NA
NA	NA	NA	NA	NA	CLDN7	GOLIM4	CPE	NA	NA	NA	NA	BMP1	NA
NA	NA	NA	NA	NA	SELM	IGF2BP2	SLPI	NA	NA	NA	NA	ANXA2	NA
NA	NA	NA	NA	NA	CEBPB	TOMM7	FLNA	NA	NA	NA	NA	MEF2C	NA
NA	NA	NA	NA	NA	MUC1	SPP1	CYBRD1	NA	NA	NA	NA	ANGPT2	NA
NA	NA	NA	NA	NA	LRRIQ1	SH3PXD2A	ECM1	NA	NA	NA	NA	EGFLAM	NA
NA	NA	NA	NA	NA	IGF2BP2	RPL29	C1R	NA	NA	NA	NA	NOL3	NA
NA	NA	NA	NA	NA	LINC00958	TUBA1C	HN1	NA	NA	NA	NA	SRSF5	NA
NA	NA	NA	NA	NA	BCHE	ITGA1	NOTCH2	NA	NA	NA	NA	CRIM1	NA
NA	NA	NA	NA	NA	ACP1	ABCA9	RAN	NA	NA	NA	NA	NDUFB2	NA
NA	NA	NA	NA	NA	BGN	LRRC59	HMGN1	NA	NA	NA	NA	ANGPTL4	NA
NA	NA	NA	NA	NA	NDUFB11	ZNHIT1	GTF2I	NA	NA	NA	NA	EEF1B2	NA
NA	NA	NA	NA	NA	RPL17	A1BG	EGFL7	NA	NA	NA	NA	CDH6	NA
NA	NA	NA	NA	NA	ZNHIT1	COMP	SLC16A10	NA	NA	NA	NA	RPSA	NA
NA	NA	NA	NA	NA	C9orf16	GALNT1	KRT17	NA	NA	NA	NA	IL32	NA
NA	NA	NA	NA	NA	CTSB	RPS16	RPL8	NA	NA	NA	NA	LPL	NA
NA	NA	NA	NA	NA	NCBP2-AS2	VMP1	RPL38	NA	NA	NA	NA	RPL29	NA
NA	NA	NA	NA	NA	RPL10	FXYD1	DOK2	NA	NA	NA	NA	SBSPON	NA
NA	NA	NA	NA	NA	SNRPG	SNHG19	CDC26	NA	NA	NA	NA	TRPC6	NA
NA	NA	NA	NA	NA	ST13	ST13	LAPTM5	NA	NA	NA	NA	DLC1	NA
NA	NA	NA	NA	NA	SRP9	OCIAD2	CAPNS1	NA	NA	NA	NA	SPRY4	NA
NA	NA	NA	NA	NA	PSMG3	PLK2	MS4A7	NA	NA	NA	NA	QPRT	NA
NA	NA	NA	NA	NA	NEXN	MRVI1	SGMS2	NA	NA	NA	NA	CTHRC1	NA
NA	NA	NA	NA	NA	MPC2	CHST11	NFAM1	NA	NA	NA	NA	EPSTI1	NA
NA	NA	NA	NA	NA	HIST1H4C	RPL34	SMAP2	NA	NA	NA	NA	CYGB	NA
NA	NA	NA	NA	NA	HMGN2	HOXA10	PLXND1	NA	NA	NA	NA	CD24	NA
NA	NA	NA	NA	NA	MMP1	MMP2	GNG11	NA	NA	NA	NA	MAOA	NA
NA	NA	NA	NA	NA	CCNL1	AHR	PMP22	NA	NA	NA	NA	MEST	NA
NA	NA	NA	NA	NA	KLF9	PCOLCE	ALOX5AP	NA	NA	NA	NA	CCND2	NA
NA	NA	NA	NA	NA	ABCA8	LRRFIP1	SH3BP5	NA	NA	NA	NA	PRELP	NA
NA	NA	NA	NA	NA	SH3BGRL3	COL6A3	NUDT14	NA	NA	NA	NA	LAMC1	NA
NA	NA	NA	NA	NA	IDH2	TTYH3	SGMS1	NA	NA	NA	NA	BGN	NA
NA	NA	NA	NA	NA	ACTB	FARP1	MMP9	NA	NA	NA	NA	CAMK2G	NA
NA	NA	NA	NA	NA	CCBE1	RPS3A	ATF5	NA	NA	NA	NA	SPP1	NA
NA	NA	NA	NA	NA	FXYD6	TAGLN2	MSR1	NA	NA	NA	NA	HOXB7	NA
NA	NA	NA	NA	NA	ATOX1	FKBP14	CPT1A	NA	NA	NA	NA	AP2S1	NA
NA	NA	NA	NA	NA	BCAM	LIMD2	AC090498.1	NA	NA	NA	NA	ASPN	NA
NA	NA	NA	NA	NA	PSMB5	PLOD2	RPL18	NA	NA	NA	NA	ABCC9	NA
NA	NA	NA	NA	NA	GPX4	SRPX	MTSS1	NA	NA	NA	NA	PLP2	NA
NA	NA	NA	NA	NA	CXCL17	CHPF	CYP27A1	NA	NA	NA	NA	TMOD1	NA
NA	NA	NA	NA	NA	S100A14	RASAL2	TFDP2	NA	NA	NA	NA	DDIT4	NA
NA	NA	NA	NA	NA	LSM2	ADAM12	MERTK	NA	NA	NA	NA	ADAMTS4	NA
NA	NA	NA	NA	NA	SULF1	BTG1	IGLC2	NA	NA	NA	NA	RAMP1	NA
NA	NA	NA	NA	NA	BCL11A	H3F3A	C1S	NA	NA	NA	NA	DENND3	NA
NA	NA	NA	NA	NA	BAX	CTSK	IL6ST	NA	NA	NA	NA	OLFML3	NA
NA	NA	NA	NA	NA	HEG1	CMTM3	PNRC1	NA	NA	NA	NA	GPSM3	NA
NA	NA	NA	NA	NA	SPARCL1	SDC2	ADGRE2	NA	NA	NA	NA	CCDC3	NA
NA	NA	NA	NA	NA	OST4	IER2	PPP3R1	NA	NA	NA	NA	FILIP1L	NA
NA	NA	NA	NA	NA	RPL39L	OSTC	KCNE3	NA	NA	NA	NA	ARHGAP18	NA
NA	NA	NA	NA	NA	KLF2	COPZ2	FOXO3	NA	NA	NA	NA	EMP1	NA
NA	NA	NA	NA	NA	KRT17	CLTC	LYZ	NA	NA	NA	NA	ALDH2	NA
NA	NA	NA	NA	NA	RP1-78O14.1	ADAMTS1	ITGB1	NA	NA	NA	NA	EIF4B	NA
NA	NA	NA	NA	NA	CRIM1	UQCRQ	BNIP3	NA	NA	NA	NA	IGHG1	NA
NA	NA	NA	NA	NA	NUCKS1	SERINC5	ANKRD22	NA	NA	NA	NA	TXNIP	NA
NA	NA	NA	NA	NA	ITGB1	MYO1B	TYMP	NA	NA	NA	NA	SLC25A4	NA
NA	NA	NA	NA	NA	TNFSF14	EFEMP1	PELI1	NA	NA	NA	NA	SMDT1	NA
NA	NA	NA	NA	NA	PSMB3	ACTR3	RPL24	NA	NA	NA	NA	CPE	NA
NA	NA	NA	NA	NA	SMARCA4	FKBP11	CD28	NA	NA	NA	NA	ID1	NA
NA	NA	NA	NA	NA	PKHD1L1	PTTG1	HNRNPU	NA	NA	NA	NA	SH3BGR	NA
NA	NA	NA	NA	NA	PCBD1	MAP4K4	NAMPT	NA	NA	NA	NA	EIF4A2	NA
NA	NA	NA	NA	NA	CENPF	ZCCHC24	EZR	NA	NA	NA	NA	MIF	NA
NA	NA	NA	NA	NA	ANAPC11	MRPL14	HLA-DPA1	NA	NA	NA	NA	SPEG	NA
NA	NA	NA	NA	NA	PPP1R1B	RAB13	SLC16A3	NA	NA	NA	NA	RGCC	NA
NA	NA	NA	NA	NA	MPZL2	PSMB5	HSPA8	NA	NA	NA	NA	RHOC	NA
NA	NA	NA	NA	NA	COX7A2	SPATS2	THBD	NA	NA	NA	NA	TCEB2	NA
NA	NA	NA	NA	NA	MTHFD2	RPS3	MTDH	NA	NA	NA	NA	MTRNR2L8	NA
NA	NA	NA	NA	NA	BST1	MT-ND4	CCND1	NA	NA	NA	NA	KCNMB1	NA
NA	NA	NA	NA	NA	LSM7	WIF1	SRSF5	NA	NA	NA	NA	ANP32B	NA
NA	NA	NA	NA	NA	RNF43	ABCA10	RPL5	NA	NA	NA	NA	PAG1	NA
NA	NA	NA	NA	NA	DCTPP1	MT-CO3	NCOA4	NA	NA	NA	NA	ADGRA2	NA
NA	NA	NA	NA	NA	LAMC1	TYMP	RASGEF1B	NA	NA	NA	NA	FKBP1A	NA
NA	NA	NA	NA	NA	TMEM139	SMARCA4	COTL1	NA	NA	NA	NA	ARHGAP15	NA
NA	NA	NA	NA	NA	DNAJC19	ANKRD28	EPS8	NA	NA	NA	NA	C12orf57	NA
NA	NA	NA	NA	NA	SPRY1	TRIL	NPC2	NA	NA	NA	NA	C9orf16	NA
NA	NA	NA	NA	NA	IGHA1	MRC2	PLAU	NA	NA	NA	NA	CFI	NA
NA	NA	NA	NA	NA	GGCT	EEF1A1	ADRBK1	NA	NA	NA	NA	RPL28	NA
NA	NA	NA	NA	NA	MT-ND6	ISG15	CXCR4	NA	NA	NA	NA	OAF	NA
NA	NA	NA	NA	NA	COL9A3	DYNLL1	CDKN1B	NA	NA	NA	NA	SLC38A11	NA
NA	NA	NA	NA	NA	AC090498.1	LOXL2	VAPA	NA	NA	NA	NA	HSP90AB1	NA
NA	NA	NA	NA	NA	PEG10	BCAT1	PTGER4	NA	NA	NA	NA	EBF2	NA
NA	NA	NA	NA	NA	IGF2	PVRL2	AHR	NA	NA	NA	NA	TTLL7	NA
NA	NA	NA	NA	NA	FAM136A	BMPR2	ICAM2	NA	NA	NA	NA	C1S	NA
NA	NA	NA	NA	NA	NDUFA4L2	MYC	HINT1	NA	NA	NA	NA	NR4A1	NA
NA	NA	NA	NA	NA	RPS13	MT-CYB	CSRNP1	NA	NA	NA	NA	COL14A1	NA
NA	NA	NA	NA	NA	HLA-DPA1	DBI	ZEB2	NA	NA	NA	NA	CRIP1	NA
NA	NA	NA	NA	NA	UBE2L3	NSA2	SERF2	NA	NA	NA	NA	CCND1	NA
NA	NA	NA	NA	NA	CBX3	RAI14	RPL14	NA	NA	NA	NA	MT-ND5	NA
NA	NA	NA	NA	NA	SCGB2A1	NDUFA12	PTMA	NA	NA	NA	NA	EIF1AX	NA
NA	NA	NA	NA	NA	SHFM1	HOXB2	LUM	NA	NA	NA	NA	POLR2L	NA
NA	NA	NA	NA	NA	SOD2	RPS28	FCGR1B	NA	NA	NA	NA	MMP11	NA
NA	NA	NA	NA	NA	UQCRQ	PEG3	AKIRIN2	NA	NA	NA	NA	RPL31	NA
NA	NA	NA	NA	NA	ALOX15	ACLY	FAM195A	NA	NA	NA	NA	FABP5	NA
NA	NA	NA	NA	NA	CKS2	IL1R1	YBX3	NA	NA	NA	NA	DPP7	NA
NA	NA	NA	NA	NA	ENC1	C1orf122	TCN2	NA	NA	NA	NA	ENO1	NA
NA	NA	NA	NA	NA	MLLT11	HMGA1	HMGA1	NA	NA	NA	NA	RPL36AL	NA
NA	NA	NA	NA	NA	RP11-532F12.5	IDH2	PHACTR1	NA	NA	NA	NA	ADAP2	NA
NA	NA	NA	NA	NA	LRRFIP1	DPT	PARK7	NA	NA	NA	NA	RPL15	NA
NA	NA	NA	NA	NA	TMSB10	RPL7	EPHX1	NA	NA	NA	NA	FARP1	NA
NA	NA	NA	NA	NA	IL18	NDUFA4	TNFSF13B	NA	NA	NA	NA	PPP1R1A	NA
NA	NA	NA	NA	NA	ATF3	NOTCH3	SERINC1	NA	NA	NA	NA	ACTG2	NA
NA	NA	NA	NA	NA	TOB1	TRAPPC1	MT-CO2	NA	NA	NA	NA	IKBIP	NA
NA	NA	NA	NA	NA	GLUL	SEPT11	HK2	NA	NA	NA	NA	CHCHD10	NA
NA	NA	NA	NA	NA	CYBA	LHFP	RPL34	NA	NA	NA	NA	GRN	NA
NA	NA	NA	NA	NA	PCGF2	IFI27	MDK	NA	NA	NA	NA	TUSC3	NA
NA	NA	NA	NA	NA	METTL7A	MARVELD1	ARHGEF10L	NA	NA	NA	NA	ZFYVE21	NA
NA	NA	NA	NA	NA	NDUFS6	EFNA5	NPTN	NA	NA	NA	NA	DKFZp779M0652	NA
NA	NA	NA	NA	NA	KRT23	RPS17	TGIF1	NA	NA	NA	NA	PEBP1	NA
NA	NA	NA	NA	NA	NFIB	HSPB6	DDX5	NA	NA	NA	NA	CAV2	NA
NA	NA	NA	NA	NA	CADM1	ZFP36L2	S100A9	NA	NA	NA	NA	ASAP1	NA
NA	NA	NA	NA	NA	NCBP2	GPX7	MIS18BP1	NA	NA	NA	NA	CD59	NA
NA	NA	NA	NA	NA	COX17	RPS11	NDUFB1	NA	NA	NA	NA	ADAM9	NA
NA	NA	NA	NA	NA	NR4A3	SLC25A39	GK	NA	NA	NA	NA	TGFBI	NA
NA	NA	NA	NA	NA	KLF4	TPBG	HEXIM1	NA	NA	NA	NA	IFITM1	NA
NA	NA	NA	NA	NA	CIRBP	CYBA	JAML	NA	NA	NA	NA	TOB1	NA
NA	NA	NA	NA	NA	HIPK2	RPS13	POLR2L	NA	NA	NA	NA	RARRES2	NA
NA	NA	NA	NA	NA	UQCR11	TUBA1A	NAIP	NA	NA	NA	NA	MDK	NA
NA	NA	NA	NA	NA	SULT1C2	CRELD2	NFKBIZ	NA	NA	NA	NA	FAT1	NA
NA	NA	NA	NA	NA	RPL26	GPC3	TFPT	NA	NA	NA	NA	CALD1	NA
NA	NA	NA	NA	NA	CHD7	KDM5B	MPEG1	NA	NA	NA	NA	FBN1	NA
NA	NA	NA	NA	NA	ATP6V1B1	RP1-79C4.4	DUSP6	NA	NA	NA	NA	HLA-DRA	NA
NA	NA	NA	NA	NA	HELLS	STARD4-AS1	HERPUD1	NA	NA	NA	NA	FKBP5	NA
NA	NA	NA	NA	NA	RBM8A	ZFAS1	ITGB5	NA	NA	NA	NA	BTF3	NA
NA	NA	NA	NA	NA	HINT1	LTBP4	IGSF6	NA	NA	NA	NA	ADI1	NA
NA	NA	NA	NA	NA	PFN2	PLAUR	C5AR2	NA	NA	NA	NA	ANAPC16	NA
NA	NA	NA	NA	NA	RNF144B	SDF2L1	ZNF217	NA	NA	NA	NA	PTPRD-AS1	NA
NA	NA	NA	NA	NA	TMEM183A	SMC4	PSMC1	NA	NA	NA	NA	EIF3E	NA
NA	NA	NA	NA	NA	SNRPD3	TANC1	SPARCL1	NA	NA	NA	NA	SULF1	NA
NA	NA	NA	NA	NA	COX5B	DPYSL3	RHOG	NA	NA	NA	NA	NME1	NA
NA	NA	NA	NA	NA	PLPP2	LOX	CMKLR1	NA	NA	NA	NA	DDX5	NA
NA	NA	NA	NA	NA	HDGF	RSPO3	CLIC1	NA	NA	NA	NA	SORBS2	NA
NA	NA	NA	NA	NA	LGALS2	HOXB3	RPN1	NA	NA	NA	NA	IFI16	NA
NA	NA	NA	NA	NA	JUP	SEC61A1	FXYD6	NA	NA	NA	NA	OAZ2	NA
NA	NA	NA	NA	NA	PRELID1	SEC61G	DNAJB1	NA	NA	NA	NA	LIMD2	NA
NA	NA	NA	NA	NA	LAGE3	C6orf48	PTGS1	NA	NA	NA	NA	CD74	NA
NA	NA	NA	NA	NA	ZFP36L2	SEPT9	ARHGDIB	NA	NA	NA	NA	SELENBP1	NA
NA	NA	NA	NA	NA	LSM12	SLC20A1	AP1B1	NA	NA	NA	NA	NFIC	NA
NA	NA	NA	NA	NA	CALM1	TUBA1B	DDX3X	NA	NA	NA	NA	MGP	NA
NA	NA	NA	NA	NA	DUSP23	MRPL51	DST	NA	NA	NA	NA	RRAS	NA
NA	NA	NA	NA	NA	UBL5	CERCAM	SIAH2	NA	NA	NA	NA	UQCR11	NA
NA	NA	NA	NA	NA	DNMT1	SPATS2L	NR4A3	NA	NA	NA	NA	RPL27	NA
NA	NA	NA	NA	NA	DPY30	SPRED1	CD93	NA	NA	NA	NA	VIM	NA
NA	NA	NA	NA	NA	SMOC2	ANAPC11	SAP30	NA	NA	NA	NA	C20orf27	NA
NA	NA	NA	NA	NA	BOLA3	CHRDL1	ANO6	NA	NA	NA	NA	MYOF	NA
NA	NA	NA	NA	NA	PRKX	GNAI2	ZDHHC20	NA	NA	NA	NA	HIC1	NA
NA	NA	NA	NA	NA	ABHD11	ADM	MAT2A	NA	NA	NA	NA	TBCA	NA
NA	NA	NA	NA	NA	SYT4	MSN	PLPP3	NA	NA	NA	NA	RPL6	NA
NA	NA	NA	NA	NA	BCL7C	TPM1	GNAS	NA	NA	NA	NA	VAMP5	NA
NA	NA	NA	NA	NA	RPL22L1	DNAJB11	FCGR2B	NA	NA	NA	NA	SYT1	NA
NA	NA	NA	NA	NA	NR4A2	EIF4G2	LDHB	NA	NA	NA	NA	SKP1	NA
NA	NA	NA	NA	NA	TFPT	GLI3	C4orf3	NA	NA	NA	NA	FKBP11	NA
NA	NA	NA	NA	NA	TYMS	COPA	STX11	NA	NA	NA	NA	PDGFRB	NA
NA	NA	NA	NA	NA	HMGB3	PRRC2C	OLFML3	NA	NA	NA	NA	ESD	NA
NA	NA	NA	NA	NA	ROBO3	PSMB3	CLIC2	NA	NA	NA	NA	EIF3L	NA
NA	NA	NA	NA	NA	PSMD14	H2AFV	WWP1	NA	NA	NA	NA	ATP1A1	NA
NA	NA	NA	NA	NA	SLC25A39	ARPC5	FAM213A	NA	NA	NA	NA	FOS	NA
NA	NA	NA	NA	NA	FOXJ1	DYNC1I1	NEDD9	NA	NA	NA	NA	FDFT1	NA
NA	NA	NA	NA	NA	CLDN1	ITPRIPL2	ACTN1	NA	NA	NA	NA	EDNRB	NA
NA	NA	NA	NA	NA	SNRPF	VCL	COL1A2	NA	NA	NA	NA	NEURL1B	NA
NA	NA	NA	NA	NA	MTRNR2L12	TFPT	CKB	NA	NA	NA	NA	MYL12A	NA
NA	NA	NA	NA	NA	NDUFA4	SNAI2	CLIP4	NA	NA	NA	NA	ERAP2	NA
NA	NA	NA	NA	NA	SDPR	SYNCRIP	NME4	NA	NA	NA	NA	OSTC	NA
NA	NA	NA	NA	NA	ATP6V1F	EVA1B	TMEM70	NA	NA	NA	NA	PHGDH	NA
NA	NA	NA	NA	NA	NDUFB2	HMGN1	TUBA1A	NA	NA	NA	NA	C7orf50	NA
NA	NA	NA	NA	NA	SUMO2	UROS	GUK1	NA	NA	NA	NA	BAX	NA
NA	NA	NA	NA	NA	SCNM1	H2AFY	GAS7	NA	NA	NA	NA	MAP4K4	NA
NA	NA	NA	NA	NA	NDUFAB1	IKBIP	ACTA2	NA	NA	NA	NA	AKAP1	NA
NA	NA	NA	NA	NA	COX7B	TNC	CYTIP	NA	NA	NA	NA	ANO1	NA
NA	NA	NA	NA	NA	SLC44A4	F2R	PFKFB3	NA	NA	NA	NA	NAV1	NA
NA	NA	NA	NA	NA	RPL35	CDC42	RALA	NA	NA	NA	NA	DOCK10	NA
NA	NA	NA	NA	NA	IVNS1ABP	DUSP6	LAT2	NA	NA	NA	NA	ATP1A2	NA
NA	NA	NA	NA	NA	PPDPF	PRELID1	NFKBIA	NA	NA	NA	NA	FTL	NA
NA	NA	NA	NA	NA	KDELR2	RPL8	TMEM37	NA	NA	NA	NA	SPATS2L	NA
NA	NA	NA	NA	NA	MMP19	PLOD1	DPEP2	NA	NA	NA	NA	CMTM3	NA
NA	NA	NA	NA	NA	GPX1	AP2M1	HECA	NA	NA	NA	NA	C1QB	NA
NA	NA	NA	NA	NA	STARD4-AS1	POMP	RNF144B	NA	NA	NA	NA	SH2D3C	NA
NA	NA	NA	NA	NA	ZFAND5	CSRP2	SPINT2	NA	NA	NA	NA	CALU	NA
NA	NA	NA	NA	NA	MYL6B	MLEC	CAT	NA	NA	NA	NA	SEC61B	NA
NA	NA	NA	NA	NA	MFHAS1	SEMA5A	ARRDC2	NA	NA	NA	NA	LDHA	NA
NA	NA	NA	NA	NA	SMARCC1	AEBP1	PKP2	NA	NA	NA	NA	SGIP1	NA
NA	NA	NA	NA	NA	UBE2S	PTGDS	RBP1	NA	NA	NA	NA	NR2F2	NA
NA	NA	NA	NA	NA	SOX4	CCND1	SLC25A5	NA	NA	NA	NA	CSDC2	NA
NA	NA	NA	NA	NA	AP1S1	RPL11	BIN1	NA	NA	NA	NA	DAB2	NA
NA	NA	NA	NA	NA	RPLP2	IMPDH2	BOLA3	NA	NA	NA	NA	ARPC5	NA
NA	NA	NA	NA	NA	HLA-DRB1	KIAA1217	DAPK1	NA	NA	NA	NA	EPB41L4A-AS1	NA
NA	NA	NA	NA	NA	C7orf73	ASIP	LGALS3	NA	NA	NA	NA	CSRP2	NA
NA	NA	NA	NA	NA	PRR7	ECHDC2	RPS26	NA	NA	NA	NA	EPS8	NA
NA	NA	NA	NA	NA	STEAP1	LINC00657	FGR	NA	NA	NA	NA	MYC	NA
NA	NA	NA	NA	NA	MRPS6	YWHAG	DYNLL1	NA	NA	NA	NA	BTG1	NA
NA	NA	NA	NA	NA	BCL2L1	RPL36	BIRC3	NA	NA	NA	NA	RPLP0	NA
NA	NA	NA	NA	NA	H2AFV	HEG1	ADAM15	NA	NA	NA	NA	P4HB	NA
NA	NA	NA	NA	NA	UBE2C	RPLP0	LILRB4	NA	NA	NA	NA	SGCA	NA
NA	NA	NA	NA	NA	PYCR1	PLEC	GAL3ST4	NA	NA	NA	NA	DYNLT1	NA
NA	NA	NA	NA	NA	POP7	TIMM17A	RHEB	NA	NA	NA	NA	ISYNA1	NA
NA	NA	NA	NA	NA	CCT3	HIF1A	IER5	NA	NA	NA	NA	TMEM258	NA
NA	NA	NA	NA	NA	CBX5	S100A10	CNRIP1	NA	NA	NA	NA	PDLIM3	NA
NA	NA	NA	NA	NA	NTHL1	LINC01420	SULT1A1	NA	NA	NA	NA	CFH	NA
