B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	NK	NKT	Pericyte	Plasma
LTB	PGK1	RALGAPA1	KYNU	CAVIN1	AFMID	ANXA5	IL1B	RPS18	RALGAPA1	NA	PLAC9	CD55
RSL1D1	RPL9	AHSA1	ISG20	CDKN1A	AGO2	AP2S1	CD44	HPGD	FOS	NA	PPP1R15A	CLIC4
MT-ND5	FYN	CCL4	CALCRL	MMRN2	AGO3	APOD	FNIP2	RPL10A	MT-ND3	NA	RAN	IGHA2
MS4A1	CXCR4	CREM	RALA	SERF2	AGPAT5	APP	CYP1B1	LXN	NA	NA	S100A4	FAM49A
COX7C	SC5D	NA	TNFSF13B	IL6	AGR2	ARC	PNRC1	HSPE1	NA	NA	S100A6	ATF4
DUSP1	CNOT6L	NA	NQO2	RNASE1	AGR3	ARF1	FN1	CST3	NA	NA	SLC3A2	RNF149
ADRM1	CXCL3	NA	FNBP1	CYCS	AHI1	ARFGAP3	CAPG	HLA-C	NA	NA	SOD2	TUBA1C
AGO2	UBB	NA	RPL10	ITM2B	AHSA1	ARHGDIA	CXCL1	SLC18A2	NA	NA	SOD3	THAP2
TES	YBX1	NA	IER2	INSR	AIG1	ARHGEF2	LGALS1	YBX3	NA	NA	SPARC	PIM3
EIF2S2	PITPNC1	NA	CASP2	RPL9	AK2	ARID4B	SRGAP1	MTRNR2L12	NA	NA	SPARCL1	FLNA
RPLP0	ATP5MC2	NA	VPS26A	GCLM	AK4	ARID5A	FOS	SCGB2A2	NA	NA	TAGLN	IQGAP1
EIF3J	SNX9	NA	CRLF2	CD81	AK6	ARID5B	SEMA6B	CD37	NA	NA	TMSB4X	GJB2
KRT17	AKNA	NA	TYROBP	COL4A2	AKAP12	ARIH1	S100A4	EGLN1	NA	NA	TPM1	LMNA
RSL24D1	SAMSN1	NA	SIPA1L1	FOSL1	AKAP13	ARIH2	C5AR1	RPL39	NA	NA	TUBB4B	CLIP1
EMP3	TUBA4A	NA	NCS1	PLXND1	AKAP9	ARL13B	SLAMF1	CYSTM1	NA	NA	SAT1	EHD1
PLIN2	MYH9	NA	ATP5MC2	ANGPT2	AKIRIN1	ARL6IP1	TREM2	MELTF	NA	NA	MTRNR2L12	TXN
IFNGR2	PTPRC	NA	ANO6	SLC3A2	AKIRIN2	ARL6IP4	IRAK2	RPS2	NA	NA	PDK4	MAP4
PSMA7	DNAJB1	NA	NFKB1	TPT1	AKR1A1	ARL8B	SH3BP5	SELENOS	NA	NA	SELENOW	SLC7A1
LAMTOR5	SLC7A5	NA	C15orf48	SELENOW	AKR1C1	ARPC3	TUBB4B	BRI3	NA	NA	SERF2	CAST
VAPA	SYTL2	NA	KRAS	SPAG9	AKR1C3	ARPC5L	SERF2	PHACTR4	NA	NA	CCL2	XBP1
MORF4L1	CD74	NA	TUBB	CAVIN3	AKR7A2	ARSG	CEBPB	PLIN2	NA	NA	CEBPB	SPCS2
YWHAH	ITGB2	NA	PFKFB3	CYP1A1	AKR7A3	ASAP1	MAP2K3	SEC61B	NA	NA	PLIN2	SESN2
ORAI2	KTN1	NA	CD63	MEF2C	AKT1	ASH1L	PLIN2	IL1RL1	NA	NA	PNP	MT-CO3
ARID5A	CD53	NA	TVP23A	TUBB4B	ALCAM	ASNSD1	ANXA1	RPS6	NA	NA	TXN	TUBB4B
GPX4	CD3D	NA	BCL2A1	MTHFD2	ALDH1A3	ASPN	FGFR1	MGP	NA	NA	MGP	ANKLE2
VPREB3	CREM	NA	DYNLT1	TGFBR2	ALDH3B2	ASXL1	TFPI	RPS28	NA	NA	MAFF	CDV3
SLC25A5	RAC2	NA	SLC16A10	NAA38	ALDH9A1	ATF4	LY6E	DUSP4	NA	NA	UQCR11	SPAG9
LDHA	CYSTM1	NA	C5AR1	DNTTIP2	ALDOA	ATG101	PSAP	DDX5	NA	NA	ITM2B	ACOT9
MAGOH	PIK3R1	NA	TES	EIF5	ALG8	ATOX1	CCL20	APOC1	NA	NA	ANXA5	RTN4
PGK1	EEF2	NA	EEF1D	EMCN	ALKBH2	ATP13A3	MALAT1	GATA2	NA	NA	CMSS1	PABPC4
TMBIM6	H3F3A	NA	HUWE1	DNAJA1	ALKBH7	ATP1A1	ARFGAP3	S100A11	NA	NA	COX6C	FNDC3A
