B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	NK	NKT	Pericyte	Plasma
NA	NA	NA	NA	SMARCA4	RPL41	TMEM160	GLRX	NA	NA	NA	GRHPR	NA
NA	NA	NA	NA	PTK2	RPL5	OLFML2B	GUSB	NA	NA	NA	MT1E	NA
NA	NA	NA	NA	NDUFB5	RPL6	RBM19	PAK1	NA	NA	NA	LONRF1	NA
NA	NA	NA	NA	SNHG7	RPL7L1	CWC25	AKR7A2	NA	NA	NA	PHF14	NA
NA	NA	NA	NA	TSHZ2	RPL8	PHLDA3	PFDN4	NA	NA	NA	NAXE	NA
NA	NA	NA	NA	PLRG1	RPL9	CRTAP	NPL	NA	NA	NA	ZNF562	NA
NA	NA	NA	NA	CALM2	RPLP1	ABHD5	CLNS1A	NA	NA	NA	SREK1IP1	NA
NA	NA	NA	NA	NFATC2IP	RPN1	TMEM98	PARVG	NA	NA	NA	INPP1	NA
NA	NA	NA	NA	EBPL	RPP25L	CREG1	PPP1R7	NA	NA	NA	PDLIM4	NA
NA	NA	NA	NA	ZNF830	RPS10	TBRG4	NCKAP1L	NA	NA	NA	RDX	NA
NA	NA	NA	NA	FLT4	RPS15	MSRB2	CPVL	NA	NA	NA	RBMS3	NA
NA	NA	NA	NA	MAN1A2	RPS15A	CIB1	ILF3-DT	NA	NA	NA	BCAP29	NA
NA	NA	NA	NA	FASN	RPS17	LMAN1	PAXX	NA	NA	NA	NAB1	NA
NA	NA	NA	NA	C12orf29	RPS23	ADK	CENPX	NA	NA	NA	ADAR	NA
NA	NA	NA	NA	ATP2B4	RPS24	PDGFRB	COPZ1	NA	NA	NA	CD46	NA
NA	NA	NA	NA	PLK3	RPS27	CISD1	MRPL24	NA	NA	NA	AHCTF1	NA
NA	NA	NA	NA	QSOX1	RPS27A	MPHOSPH8	FIBP	NA	NA	NA	PSMF1	NA
NA	NA	NA	NA	MSX1	RPS27L	DUSP14	MRPS14	NA	NA	NA	PPP1R3C	NA
NA	NA	NA	NA	SOCS1	RPS6	DUT	ACP2	NA	NA	NA	TRAM1	NA
NA	NA	NA	NA	SNN	RPS6KA3	PBDC1	AIMP1	NA	NA	NA	SUMO3	NA
NA	NA	NA	NA	CARD8	RPS6KB1	ADAR	H1FX	NA	NA	NA	FBXW5	NA
NA	NA	NA	NA	TBCB	RPS7	RPL18	MDH2	NA	NA	NA	TEX30	NA
NA	NA	NA	NA	TSC22D1	RPS9	RTL8C	LARP7	NA	NA	NA	PTGER3	NA
NA	NA	NA	NA	CLDN15	RRAGA	LSM3	RRAS	NA	NA	NA	FLYWCH2	NA
NA	NA	NA	NA	LPCAT2	RRAS2	MACF1	RCSD1	NA	NA	NA	SLC16A1	NA
NA	NA	NA	NA	FXYD3	RRP1	LAMC1	FAM213A	NA	NA	NA	LIMA1	NA
NA	NA	NA	NA	BCAR3	RRP12	PPP4R3B	ABRACL	NA	NA	NA	PRDX3	NA
NA	NA	NA	NA	RASSF8	RRP15	PRMT5	AXL	NA	NA	NA	TM2D1	NA
NA	NA	NA	NA	HLA-B	RRP1B	PLRG1	ERRFI1	NA	NA	NA	ST5	NA
NA	NA	NA	NA	TXN2	RRP7A	PDK4	DARS	NA	NA	NA	DAAM2	NA
NA	NA	NA	NA	LAGE3	RRP9	SLC36A4	NDUFAF8	NA	NA	NA	BAX	NA
NA	NA	NA	NA	COMMD2	RRS1	LBR	KRT7	NA	NA	NA	TUBA4A	NA
NA	NA	NA	NA	TAF4B	RSBN1L	TUT7	CCL4L2	NA	NA	NA	ELL	NA
NA	NA	NA	NA	RNF5	RSL1D1	FAM89A	CYBC1	NA	NA	NA	WIPI1	NA
NA	NA	NA	NA	PAIP1	RSL24D1	IL6R	ABI3	NA	NA	NA	BABAM1	NA
NA	NA	NA	NA	AIMP2	RSRC2	RER1	CD47	NA	NA	NA	HMGCS1	NA
NA	NA	NA	NA	CARD16	RSU1	PFN1	NUP214	NA	NA	NA	C1orf123	NA
NA	NA	NA	NA	LGALS9	RTCB	PLCXD1	SCAMP2	NA	NA	NA	GPNMB	NA
NA	NA	NA	NA	HOXB3	RTF2	NR4A2	DNAJB1	NA	NA	NA	ANXA4	NA
NA	NA	NA	NA	RUNX1T1	RTN4	SPOCK1	DCTN3	NA	NA	NA	GGCX	NA
NA	NA	NA	NA	PHLDB1	RUNX1	TSG101	COX20	NA	NA	NA	COL6A2	NA
NA	NA	NA	NA	TUBB	RXRA	PSMB9	MRPL17	NA	NA	NA	METRNL	NA
NA	NA	NA	NA	NDUFA8	S100A10	PLP2	ATP5PB	NA	NA	NA	NRP1	NA
NA	NA	NA	NA	HES4	S100A11	COA7	GPR65	NA	NA	NA	GLRX	NA
NA	NA	NA	NA	SLC6A6	S100A13	CYTOR	NEK6	NA	NA	NA	SEC23A	NA
NA	NA	NA	NA	CRBN	S100A16	RASAL2	IDH1	NA	NA	NA	CNOT9	NA
NA	NA	NA	NA	PLAUR	S100A2	UACA	DOCK2	NA	NA	NA	PIP4P1	NA
NA	NA	NA	NA	NDST1	S100A4	PDLIM5	LIMD2	NA	NA	NA	ADRA2A	NA
NA	NA	NA	NA	FADS3	S100A6	LSM5	TXN2	NA	NA	NA	ITM2C	NA
NA	NA	NA	NA	SUN2	S100A8	GXYLT2	GPSM3	NA	NA	NA	STT3B	NA
NA	NA	NA	NA	MYL9	S100A9	MINDY2	ARHGAP18	NA	NA	NA	FILIP1L	NA
NA	NA	NA	NA	MRPS2	S100P	CKLF	PQLC3	NA	NA	NA	SH3KBP1	NA
NA	NA	NA	NA	RBMS2	SAA1	CDC42EP2	SNRPC	NA	NA	NA	ZMYND8	NA
NA	NA	NA	NA	TRMT6	SAA2	C12orf29	TWF2	NA	NA	NA	SMARCB1	NA
NA	NA	NA	NA	MARCH5	SACS	GLRX5	CD86	NA	NA	NA	THOC7	NA
NA	NA	NA	NA	DGKZ	SAFB	CHRDL1	PDCD5	NA	NA	NA	H1F0	NA
NA	NA	NA	NA	ITFG1	SAMD4A	DHX33	SIGLEC1	NA	NA	NA	ABCC9	NA
NA	NA	NA	NA	RPL6	SAP18	PCNX1	MDH1	NA	NA	NA	MPC1	NA
NA	NA	NA	NA	ZFHX3	SAP30BP	VGLL4	SRI	NA	NA	NA	SORBS1	NA
NA	NA	NA	NA	MRPL34	SARS	POLR3E	OTULINL	NA	NA	NA	CCND1	NA
NA	NA	NA	NA	ZDHHC3	SAT1	ARPC4	TECR	NA	NA	NA	SLC20A1	NA
NA	NA	NA	NA	HLA-DQB1	SAV1	KIF1B	CCL4	NA	NA	NA	MYADM	NA
NA	NA	NA	NA	FILIP1	SBDS	SDAD1	S100A9	NA	NA	NA	FAM210B	NA
NA	NA	NA	NA	IFI16	SBNO1	PLOD1	TMEM14B	NA	NA	NA	CDKN2AIP	NA
NA	NA	NA	NA	TMEM181	SCAND1	NR4A3	SLC15A3	NA	NA	NA	SEH1L	NA
NA	NA	NA	NA	TBL1XR1	SCCPDH	TCEAL8	VOPP1	NA	NA	NA	NDUFB5	NA
NA	NA	NA	NA	APOL1	SCD	SARAF	MARCO	NA	NA	NA	NRGN	NA
NA	NA	NA	NA	TRMT61A	SCFD1	SPEN	DHRS7	NA	NA	NA	ASAH1	NA
NA	NA	NA	NA	SLFN5	SCGB1D2	SCP2	ECH1	NA	NA	NA	CIR1	NA
NA	NA	NA	NA	TMEM205	SCGB2A2	ANKH	SELENOP	NA	NA	NA	PSIP1	NA
NA	NA	NA	NA	RLF	SCGB3A1	SLC41A1	PDIA4	NA	NA	NA	HYPK	NA
NA	NA	NA	NA	HACD3	SCOC	NUAK1	ACOT13	NA	NA	NA	FKBP3	NA
NA	NA	NA	NA	STMP1	SCP2	CSTB	CARD16	NA	NA	NA	RSRC1	NA
NA	NA	NA	NA	COL6A2	SCUBE2	FIBIN	MTIF3	NA	NA	NA	MACO1	NA
NA	NA	NA	NA	NAV1	SDAD1	TMEM123	IFI16	NA	NA	NA	RRAS2	NA
NA	NA	NA	NA	ZFP36L1	SDC1	NDUFS7	MYC	NA	NA	NA	NSMCE1	NA
NA	NA	NA	NA	EHBP1L1	SDC4	KCTD9	CMTM7	NA	NA	NA	PHACTR2	NA
NA	NA	NA	NA	NKX3-1	SDCBP	ATP6V0A1	EIF2S3	NA	NA	NA	MAP3K13	NA
NA	NA	NA	NA	MED24	SDCBP2	RIOK2	GADD45G	NA	NA	NA	HOMER1	NA
NA	NA	NA	NA	GNS	SDHC	H2AFX	CCDC124	NA	NA	NA	NOL11	NA
NA	NA	NA	NA	TP53	SEC14L1	ID1	MRPS33	NA	NA	NA	TMEM147	NA
NA	NA	NA	NA	TMEM14B	SEC61G	UNC5B	SLC7A7	NA	NA	NA	TMEM123	NA
NA	NA	NA	NA	NR4A1	SEH1L	MSRB3	IL1RN	NA	NA	NA	TMEM109	NA
NA	NA	NA	NA	METTL26	SELENBP1	LMCD1	MRPL11	NA	NA	NA	REEP3	NA
NA	NA	NA	NA	SHMT2	SELENOF	TNFRSF4	ABCC3	NA	NA	NA	ERLEC1	NA
NA	NA	NA	NA	SMIM7	SELENOH	YIF1A	C19orf24	NA	NA	NA	PKNOX1	NA
NA	NA	NA	NA	TMEM47	SELENOK	PRMT2	MLEC	NA	NA	NA	RPL37	NA
NA	NA	NA	NA	MAK16	SELENOM	EEF1E1	TCEAL8	NA	NA	NA	SVIL	NA
NA	NA	NA	NA	ATP11A	SELENOP	PARVA	ZNF428	NA	NA	NA	RAB11B	NA
NA	NA	NA	NA	TRIM33	SELENOS	AKR1A1	DOCK8	NA	NA	NA	RCN2	NA
NA	NA	NA	NA	SMC1A	SELENOW	KDELR3	MRPS16	NA	NA	NA	RAB20	NA
NA	NA	NA	NA	GUCY1A1	SEM1	LSM8	HCFC1R1	NA	NA	NA	VPS35	NA
NA	NA	NA	NA	ADRB2	SEPT7	PTGFRN	EIF2AK2	NA	NA	NA	ARPC4	NA
NA	NA	NA	NA	CLDN5	SERBP1	TRAM1	S100A13	NA	NA	NA	TALDO1	NA
NA	NA	NA	NA	HGSNAT	SERF2	SGK1	TCOF1	NA	NA	NA	ZC3HAV1	NA
NA	NA	NA	NA	ZFYVE16	SERINC2	CWC22	RWDD1	NA	NA	NA	LRRC32	NA
NA	NA	NA	NA	GSTM3	SERPINA3	IQGAP1	SVBP	NA	NA	NA	TRAPPC3	NA
NA	NA	NA	NA	SEPT8	SERPINB1	SUPV3L1	PFDN6	NA	NA	NA	KPNA1	NA
NA	NA	NA	NA	STT3B	SERPINB5	GPX8	FTL	NA	NA	NA	C1orf54	NA
NA	NA	NA	NA	TIA1	SERPINB8	F2R	NUCB1	NA	NA	NA	PTTG1IP	NA
NA	NA	NA	NA	DCTN3	SERPINE1	RPP40	GGCT	NA	NA	NA	FARP1	NA
NA	NA	NA	NA	PLXNB2	SERPINE2	BMS1	RSBN1L	NA	NA	NA	ZFP36L2	NA
NA	NA	NA	NA	SHE	SERTAD2	ERLEC1	CTNND1	NA	NA	NA	NDUFA8	NA
NA	NA	NA	NA	TIMM50	SESN2	PPFIBP1	RSU1	NA	NA	NA	GNB4	NA
NA	NA	NA	NA	C6orf48	SESTD1	FAT1	ZFHX3	NA	NA	NA	SERPINE2	NA
NA	NA	NA	NA	SEMA6B	SET	DUSP16	NAA10	NA	NA	NA	KRT18	NA
NA	NA	NA	NA	PPIL4	SETX	SRPK1	USF2	NA	NA	NA	DHX33	NA
NA	NA	NA	NA	CDC42BPB	SEZ6L2	ELN	SREK1IP1	NA	NA	NA	HIKESHI	NA
NA	NA	NA	NA	ELMO1	SF3A3	CASC4	CD300A	NA	NA	NA	GUCY1A2	NA
NA	NA	NA	NA	CENPX	SF3B1	DNMBP	MARCH2	NA	NA	NA	ANAPC5	NA
NA	NA	NA	NA	TMEM50B	SF3B6	LONRF2	TEX264	NA	NA	NA	ANO6	NA
NA	NA	NA	NA	ZNF622	SFN	METTL1	PDLIM7	NA	NA	NA	COMMD7	NA
NA	NA	NA	NA	ADGRL2	SFPQ	CTNNBL1	NDUFB6	NA	NA	NA	MDH1	NA
NA	NA	NA	NA	CHSY1	SFRP1	RRN3	PIGP	NA	NA	NA	FDFT1	NA
NA	NA	NA	NA	TP53TG1	SGK1	C9orf3	NAXE	NA	NA	NA	ARHGDIB	NA
NA	NA	NA	NA	AAK1	SGK3	RPLP1	SNRNP25	NA	NA	NA	ITGB1BP1	NA
NA	NA	NA	NA	CYLD	SGMS2	RBM6	PRDX4	NA	NA	NA	CASQ2	NA
NA	NA	NA	NA	PTTG1	SH2D3A	FASTKD2	NMT1	NA	NA	NA	SP3	NA
NA	NA	NA	NA	ZDHHC20	SH3BGRL	KAZN	TAP1	NA	NA	NA	RPS17	NA
NA	NA	NA	NA	SSR1	SH3BGRL3	DYNLT3	CIITA	NA	NA	NA	FAM200B	NA
NA	NA	NA	NA	SNRNP200	SH3GLB1	AZGP1	TMEM230	NA	NA	NA	POGZ	NA
NA	NA	NA	NA	WIPF1	SH3GLB2	GLRX2	APPL1	NA	NA	NA	ERN1	NA
NA	NA	NA	NA	CPD	SH3PXD2A	PBX1	MT-CO3	NA	NA	NA	SPTBN1	NA
NA	NA	NA	NA	CARD19	SH3RF1	SMDT1	RAC2	NA	NA	NA	SYNE1	NA
NA	NA	NA	NA	ADAM17	SHARPIN	TFB2M	HLA-F	NA	NA	NA	TNRC6A	NA
NA	NA	NA	NA	NDUFS7	SHISA2	UCHL3	TXNL4A	NA	NA	NA	TMEM173	NA
NA	NA	NA	NA	KANK3	SHMT2	EPB41L3	ESD	NA	NA	NA	MAFB	NA
NA	NA	NA	NA	PLA2G16	SIAH2	ASAH1	SNX10	NA	NA	NA	NNMT	NA
NA	NA	NA	NA	INTS3	SIGIRR	BAG5	MESD	NA	NA	NA	NT5C	NA
NA	NA	NA	NA	TBX3	SINHCAF	ZEB1	COX7A2L	NA	NA	NA	S1PR3	NA
NA	NA	NA	NA	DNAJC19	SIVA1	DNPH1	CD48	NA	NA	NA	CEMIP2	NA
NA	NA	NA	NA	PIM1	SLC12A2	ARHGAP10	NDUFA8	NA	NA	NA	KANSL1	NA
NA	NA	NA	NA	HERC4	SLC16A1	COX14	MTX1	NA	NA	NA	NDUFS3	NA
NA	NA	NA	NA	PLAC9	SLC16A1-AS1	NUCB1	MRPS26	NA	NA	NA	ARID1A	NA
NA	NA	NA	NA	ZKSCAN1	SLC18B1	MTERF3	SDHC	NA	NA	NA	TECR	NA
NA	NA	NA	NA	SUMF2	SLC1A5	XAF1	KLF6	NA	NA	NA	RAB6A	NA
NA	NA	NA	NA	IPO11	SLC20A2	FAM198B	GTF2I	NA	NA	NA	RBFOX2	NA
NA	NA	NA	NA	SPINT2	SLC22A18	LACTB	CHCHD1	NA	NA	NA	TMED4	NA
NA	NA	NA	NA	PTPRK	SLC25A1	MAN1A1	MRC1	NA	NA	NA	SMAP1	NA
NA	NA	NA	NA	PSMC2	SLC25A29	DST	NDUFV3	NA	NA	NA	NME4	NA
NA	NA	NA	NA	MIEN1	SLC25A3	HSPB8	CSK	NA	NA	NA	NME2	NA
NA	NA	NA	NA	RPS9	SLC25A37	FBLN1	COA4	NA	NA	NA	PMVK	NA
NA	NA	NA	NA	MT1M	SLC25A5	CFDP1	PAPSS1	NA	NA	NA	MTUS1	NA
NA	NA	NA	NA	RBMS3	SLC25A6	ABI3BP	CD82	NA	NA	NA	FAM162A	NA
NA	NA	NA	NA	PKM	SLC26A2	LSG1	MRPL21	NA	NA	NA	RBCK1	NA
NA	NA	NA	NA	TNFAIP8L1	SLC2A10	MYLIP	MAT2B	NA	NA	NA	ZFAND1	NA
NA	NA	NA	NA	TSPAN14	SLC2A4RG	TBX15	SLC11A1	NA	NA	NA	RUNX1T1	NA
NA	NA	NA	NA	TSC2	SLC34A2	PMP22	GRHPR	NA	NA	NA	CD36	NA
NA	NA	NA	NA	NUMB	SLC36A4	AC245595.1	ERO1A	NA	NA	NA	SOCS2	NA
NA	NA	NA	NA	AOC3	SLC38A1	MAFB	EML4	NA	NA	NA	FOXC1	NA
NA	NA	NA	NA	ARMCX3	SLC38A2	IGKC	C1orf35	NA	NA	NA	TXN2	NA
NA	NA	NA	NA	MAF	SLC39A1	DMAC1	PLXNC1	NA	NA	NA	FOXC2	NA
NA	NA	NA	NA	TNKS2	SLC39A14	CSRP1	CPNE3	NA	NA	NA	CNST	NA
NA	NA	NA	NA	RBCK1	SLC39A4	SEC23A	DCTPP1	NA	NA	NA	DUSP1	NA
NA	NA	NA	NA	RPS17	SLC39A6	CARHSP1	GCA	NA	NA	NA	RSBN1L	NA
NA	NA	NA	NA	ERGIC1	SLC3A2	NPDC1	AGPAT2	NA	NA	NA	HNMT	NA
NA	NA	NA	NA	ARHGEF3	SLC40A1	PXK	CTBP1	NA	NA	NA	BLVRB	NA
NA	NA	NA	NA	ACLY	SLC43A3	MAP3K4	PLEK	NA	NA	NA	TGFBR3	NA
NA	NA	NA	NA	LEPR	SLC44A1	DNAJC15	CFD	NA	NA	NA	TNFAIP8	NA
NA	NA	NA	NA	CPXM2	SLC49A3	CDC42EP4	NBDY	NA	NA	NA	KCNJ8	NA
NA	NA	NA	NA	DGCR6L	SLC50A1	HMGN3	FKBP8	NA	NA	NA	PSMB8	NA
NA	NA	NA	NA	REL	SLC6A14	ELF3	CUEDC2	NA	NA	NA	AK3	NA
NA	NA	NA	NA	HAPLN3	SLC7A1	HEATR1	KLF2	NA	NA	NA	CPM	NA
NA	NA	NA	NA	ORAI1	SLC7A11	SSPN	CD151	NA	NA	NA	SYTL2	NA
NA	NA	NA	NA	ANKRD29	SLC7A5	MLF1	MEA1	NA	NA	NA	SMARCA4	NA
NA	NA	NA	NA	LAMTOR3	SLC7A8	UTP14A	ATM	NA	NA	NA	CRTC3	NA
NA	NA	NA	NA	DOCK4	SLC9A3R1	PIN4	COMMD7	NA	NA	NA	RBBP4	NA
NA	NA	NA	NA	RND3	SLC9A3R2	P3H4	MRPL22	NA	NA	NA	CITED2	NA
NA	NA	NA	NA	NDUFB8	SLK	TMEM141	MCRIP2	NA	NA	NA	CLEC2B	NA
NA	NA	NA	NA	KCNJ15	SLMAP	AKR1B1	ADIRF	NA	NA	NA	TRIP6	NA
NA	NA	NA	NA	DDIT3	SLPI	DYNC1I2	SOCS6	NA	NA	NA	UQCRC1	NA
NA	NA	NA	NA	LIX1L	SMAD3	HSPA1B	STAT2	NA	NA	NA	IFITM1	NA
NA	NA	NA	NA	FLI1	SMARCA5	CDKL1	FCGR2B	NA	NA	NA	POLR2G	NA
NA	NA	NA	NA	MAPK1	SMC3	DUSP23	TMEM126A	NA	NA	NA	SHISA5	NA
NA	NA	NA	NA	ADD3	SMC5	BAX	PHB	NA	NA	NA	YIPF3	NA
NA	NA	NA	NA	CD44	SMDT1	PER1	MRPL34	NA	NA	NA	HEBP2	NA
NA	NA	NA	NA	NLRP1	SMG1	PRR13	MPEG1	NA	NA	NA	PHGDH	NA
NA	NA	NA	NA	RAPGEF2	SMIM1	NRP2	PFKL	NA	NA	NA	H1FX	NA
NA	NA	NA	NA	BNIP3L	SMIM12	PNKD	HSD17B11	NA	NA	NA	CCDC50	NA
NA	NA	NA	NA	SORBS2	SMIM14	MIR99AHG	STX16	NA	NA	NA	USP22	NA
NA	NA	NA	NA	DCHS1	SMIM19	COMT	CADM1	NA	NA	NA	ADGRF5	NA
NA	NA	NA	NA	CCPG1	SMIM22	PLAT	ELF3	NA	NA	NA	DCAF7	NA
NA	NA	NA	NA	SAMHD1	SMIM26	EPB41L2	GYG1	NA	NA	NA	LRRC10B	NA
NA	NA	NA	NA	BCL2L11	SMIM29	VCL	DGUOK	NA	NA	NA	FCGRT	NA
NA	NA	NA	NA	PRKD2	SMIM7	NHLRC3	PTPN18	NA	NA	NA	BMPR2	NA
NA	NA	NA	NA	TGFB1	SMS	NAA25	RPL26L1	NA	NA	NA	ZKSCAN1	NA
NA	NA	NA	NA	RPS8	SMTN	TSHZ2	TTC1	NA	NA	NA	SCARB2	NA
NA	NA	NA	NA	ITGB5	SMURF2	DIS3	SNX5	NA	NA	NA	MEA1	NA
NA	NA	NA	NA	MRPS35	SMYD3	PAICS	KCNQ1OT1	NA	NA	NA	MFSD10	NA
NA	NA	NA	NA	CD79B	SNAPC1	PTTG1	CCDC107	NA	NA	NA	KLF2	NA
NA	NA	NA	NA	NUMA1	SNAPIN	COPZ2	DNMT1	NA	NA	NA	RASL11A	NA
NA	NA	NA	NA	TMEM245	SNCG	SERINC2	BABAM1	NA	NA	NA	SMIM37	NA
NA	NA	NA	NA	MPG	SNHG12	KATNA1	COMMD1	NA	NA	NA	PTGIR	NA
NA	NA	NA	NA	ERLEC1	SNHG15	ZMAT3	NDUFV1	NA	NA	NA	GLUD1	NA
NA	NA	NA	NA	ARHGAP18	SNHG19	EID3	RAB11FIP1	NA	NA	NA	CNOT7	NA
NA	NA	NA	NA	PXN	SNHG25	SUMF2	NCF4	NA	NA	NA	HSPA2	NA
NA	NA	NA	NA	RALA	SNHG9	ADD3	MKNK1	NA	NA	NA	JPX	NA
NA	NA	NA	NA	CASP4	SNORC	SVIL	HACD3	NA	NA	NA	HSPB8	NA
NA	NA	NA	NA	PSMG4	SNRNP25	EMC10	MRPS12	NA	NA	NA	CNN2	NA
NA	NA	NA	NA	PTPRA	SNRPA1	HBEGF	C9orf78	NA	NA	NA	INHBA	NA
NA	NA	NA	NA	HEATR1	SNRPB	SDC2	MT-CO1	NA	NA	NA	KIDINS220	NA
NA	NA	NA	NA	MRPL17	SNRPD1	NBDY	CNDP2	NA	NA	NA	PFDN1	NA
NA	NA	NA	NA	LTBP3	SNRPD2	ECH1	SMAP1	NA	NA	NA	CYBA	NA
NA	NA	NA	NA	PITRM1	SNRPG	RAMP1	PPCS	NA	NA	NA	GCC2	NA
NA	NA	NA	NA	DNMT1	SNU13	S100A14	SYK	NA	NA	NA	DNAJB4	NA
NA	NA	NA	NA	STK25	SNW1	JOSD2	COMMD4	NA	NA	NA	MRPS16	NA
NA	NA	NA	NA	VSIR	SNX9	YIPF3	IKZF1	NA	NA	NA	RHOB	NA
NA	NA	NA	NA	DNAJC15	SOCS3	ZDBF2	CFDP1	NA	NA	NA	SSR1	NA
NA	NA	NA	NA	MPZL2	SOD1	NDUFA12	AKR1B1	NA	NA	NA	NDUFV1	NA
NA	NA	NA	NA	LENG8	SOD2	ANXA11	FAM173A	NA	NA	NA	IER5	NA
NA	NA	NA	NA	MMP7	SON	IGFBP5	HSPB11	NA	NA	NA	MINDY2	NA
NA	NA	NA	NA	GFOD2	SORD	TP53TG1	THOC7	NA	NA	NA	EGFLAM	NA
NA	NA	NA	NA	COA7	SORL1	MAGED2	CCL18	NA	NA	NA	CFL2	NA
NA	NA	NA	NA	CBR3	SOX4	PNP	POLR3GL	NA	NA	NA	JUNB	NA
NA	NA	NA	NA	FBLN5	SPAG9	FNIP2	PIGT	NA	NA	NA	CCDC80	NA
NA	NA	NA	NA	CYB5B	SPARCL1	THAP9-AS1	ODF3B	NA	NA	NA	TSC22D1	NA
NA	NA	NA	NA	RGS12	SPART	ZFHX4	FKBP3	NA	NA	NA	SOX4	NA
NA	NA	NA	NA	SSR3	SPATS2L	ADAMTS1	GLB1	NA	NA	NA	RRAD	NA
NA	NA	NA	NA	ARHGEF1	SPCS1	PPAT	COLGALT1	NA	NA	NA	MAF	NA
NA	NA	NA	NA	GALNT1	SPDEF	PLD3	ARF5	NA	NA	NA	KLF10	NA
NA	NA	NA	NA	CCDC88A	SPEN	PCSK7	MPG	NA	NA	NA	MT-ATP6	NA
NA	NA	NA	NA	EBF1	SPG21	LSM2	HSPE1	NA	NA	NA	FOS	NA
NA	NA	NA	NA	AP2B1	SPHK1	GPX3	NMI	NA	NA	NA	RGS16	NA
NA	NA	NA	NA	PKN2	SPINT1-AS1	GLT8D2	ZDHHC12	NA	NA	NA	PLCG2	NA
NA	NA	NA	NA	HIPK1	SPINT2	SMIM14	DNAJC19	NA	NA	NA	CTGF	NA
NA	NA	NA	NA	SNTB2	SPOPL	TNXB	SP100	NA	NA	NA	ZFP36	NA
NA	NA	NA	NA	LYRM1	SPPL2A	RALBP1	FUCA2	NA	NA	NA	MT1M	NA
NA	NA	NA	NA	TRIM22	SPR	SSR1	MRPS18B	NA	NA	NA	NA	NA
NA	NA	NA	NA	CCNY	SPRY2	CSRP2	MAP3K1	NA	NA	NA	NA	NA
NA	NA	NA	NA	EPS15	SPSB3	GOLM1	C8orf59	NA	NA	NA	NA	NA
NA	NA	NA	NA	MALAT1	SPTSSA	YPEL3	ANXA4	NA	NA	NA	NA	NA
NA	NA	NA	NA	EIF2AK4	SQOR	DNAJB1	MRPS23	NA	NA	NA	NA	NA
NA	NA	NA	NA	NME4	SQSTM1	ARID1B	MEAF6	NA	NA	NA	NA	NA
NA	NA	NA	NA	EOGT	SRARP	RGS2	MMP24OS	NA	NA	NA	NA	NA
NA	NA	NA	NA	ASS1	SREBF1	MIF	CLEC2B	NA	NA	NA	NA	NA
NA	NA	NA	NA	ZNF521	SRFBP1	AMFR	SLC25A39	NA	NA	NA	NA	NA
NA	NA	NA	NA	ERAP2	SRGAP1	MSH6	NCEH1	NA	NA	NA	NA	NA
NA	NA	NA	NA	CHD3	SRI	HIVEP3	ERLEC1	NA	NA	NA	NA	NA
NA	NA	NA	NA	DNAJC10	SRM	SCPEP1	UTRN	NA	NA	NA	NA	NA
NA	NA	NA	NA	GATAD1	SRP19	SLC7A8	SLC4A7	NA	NA	NA	NA	NA
NA	NA	NA	NA	MGST1	SRP72	MSC	SELENOM	NA	NA	NA	NA	NA
NA	NA	NA	NA	PCGF2	SRP9	IRAK3	SHTN1	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPS12	SRPK1	P4HA1	ARHGAP30	NA	NA	NA	NA	NA
NA	NA	NA	NA	KLC1	SRPRB	SDHC	COA6	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPS27	SRRM1	ARHGDIB	EVI2B	NA	NA	NA	NA	NA
NA	NA	NA	NA	COMMD7	SRRT	CEMIP2	GPI	NA	NA	NA	NA	NA
NA	NA	NA	NA	RBFOX2	SRSF1	CXCL12	CMSS1	NA	NA	NA	NA	NA
NA	NA	NA	NA	DGKE	SRSF10	PUS7	MRPS15	NA	NA	NA	NA	NA
NA	NA	NA	NA	LYL1	SRSF11	LTBP3	IRF2BP2	NA	NA	NA	NA	NA
NA	NA	NA	NA	MRPL55	SRSF2	COPA	RNPEP	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPAIN	SRSF3	NME4	MAF	NA	NA	NA	NA	NA
NA	NA	NA	NA	YIPF3	SRSF4	ZBTB1	CD24	NA	NA	NA	NA	NA
NA	NA	NA	NA	NUP35	SRSF7	A1BG	PRKDC	NA	NA	NA	NA	NA
NA	NA	NA	NA	PKN1	SSB	OS9	ZSWIM7	NA	NA	NA	NA	NA
NA	NA	NA	NA	NOVA2	SSBP1	MLLT11	IDS	NA	NA	NA	NA	NA
NA	NA	NA	NA	DOCK1	SSBP4	BAD	SRA1	NA	NA	NA	NA	NA
NA	NA	NA	NA	TSPAN15	SSFA2	CHMP3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LAMP2	SSNA1	MYO1C	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MANSC1	SSR2	MEAF6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	YPEL3	SSR4	FAAP20	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IKBKB	SSRP1	LSM4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NHSL2	STARD10	CCDC71L	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BTG2	STAT1	CAMTA2	NA	NA	NA	NA	NA	NA
