"";"orig.ident";"seurat_clusters";"cancer_name";"nCount_RNA";"nFeature_RNA";"percent.mito";"group";"Celltype_main";"Celltype_final"
"14350";"GSM3516669";4;"Lung";3088;1195;0;"T";"Epithelial";"Epithelial"
"14351";"GSM3516669";5;"Lung";4423;1055;0;"T";"Lymphocytes";"Plasma"
"14352";"GSM3516669";2;"Lung";1204;499;0;"T";"Lymphocytes";"CD8T"
"14353";"GSM3516669";10;"Lung";454;203;0;"T";"Myeloids";"DC"
"14354";"GSM3516669";0;"Lung";1238;339;0;"T";"Lymphocytes";"CD4T"
"14355";"GSM3516669";8;"Lung";1473;529;0;"T";"Myeloids";"Mast"
"14356";"GSM3516669";4;"Lung";7958;2046;0;"T";"Epithelial";"Epithelial"
"14357";"GSM3516669";5;"Lung";1286;416;0;"T";"Lymphocytes";"B"
"14358";"GSM3516669";0;"Lung";1131;449;0;"T";"Lymphocytes";"Epithelial"
"14359";"GSM3516669";4;"Lung";2098;618;0;"T";"Epithelial";"Epithelial"
"14360";"GSM3516669";7;"Lung";2409;830;0;"T";"Myeloids";"Monocyte"
"14361";"GSM3516669";1;"Lung";8661;1964;0;"T";"Myeloids";"Macrophage"
"14362";"GSM3516669";12;"Lung";816;451;0;"T";"Stromal";"Endothelial"
"14363";"GSM3516669";10;"Lung";513;288;0;"T";"Myeloids";"Macrophage"
"14364";"GSM3516669";1;"Lung";4288;1357;0;"T";"Myeloids";"Macrophage"
"14365";"GSM3516669";5;"Lung";2027;696;0;"T";"Lymphocytes";"B"
"14366";"GSM3516669";0;"Lung";1613;560;0;"T";"Lymphocytes";"CD4T"
"14367";"GSM3516669";2;"Lung";1089;482;0;"T";"Lymphocytes";"NK"
"14368";"GSM3516669";5;"Lung";1431;423;0;"T";"Lymphocytes";"B"
"14369";"GSM3516669";4;"Lung";4074;1455;0;"T";"Epithelial";"Epithelial"
"14370";"GSM3516669";0;"Lung";1639;455;0;"T";"Lymphocytes";"CD4T"
"14371";"GSM3516669";6;"Lung";1974;749;0;"T";"Lymphocytes";"CD4T"
"14372";"GSM3516669";3;"Lung";856;438;0;"T";"Lymphocytes";"NK"
"14373";"GSM3516669";4;"Lung";10626;2522;0;"T";"Epithelial";"Epithelial"
"14374";"GSM3516669";1;"Lung";3395;961;0;"T";"Myeloids";"Macrophage"
"14375";"GSM3516669";11;"Lung";1368;714;0;"T";"Stromal";"Fibroblast"
"14376";"GSM3516669";11;"Lung";1743;654;0;"T";"Stromal";"Fibroblast"
"14377";"GSM3516669";8;"Lung";1406;452;0;"T";"Myeloids";"Mast"
"14378";"GSM3516669";1;"Lung";15700;3063;0;"T";"Myeloids";"Macrophage"
"14379";"GSM3516669";5;"Lung";745;369;0;"T";"Lymphocytes";"B"
"14380";"GSM3516669";4;"Lung";2225;843;0;"T";"Epithelial";"Epithelial"
