,CD8T,Epithelial,Fibroblast,Pericyte,Macrophage,Endothelial,CD4T,DC,B,NKT,Mast,Monocyte,NK,Plasma
5891,EIF3J,PRAF2,ANGPT2,GNG10,CYB561A3,DCAF12,FBXW4,DEPDC7,RBM19,MRPL16,ATE1,DYRK2,TPI1,ECHS1
5892,SPG11,WDR45,AGPAT5,UGCG,TMEM138,UBAP1,NPM3,TCP11L1,MED13L,MS4A6A,HTRA1,MDM1,SPSB2,PAOX
5893,PATL2,GPKOW,DEFB1,SUSD1,TMEM216,NUDT2,MGEA5,LINC00294,C12orf49,MS4A4A,C10orf88,RAP1B,ATN1,MTG1
5894,B2M,MAGIX,SGK223,PTBP3,CPSF7,KIAA1161,C10orf76,CSTF3,FBXW8,MS4A7,ACADSB,NUP107,C12orf57,KDM5A
5895,TRIM69,PLP2,CLDN23,HSDL2,SDHAF2,FAM219A,HPS6,HIPK3,TESC,MS4A14,BUB3,SLC35E3,PTPN6,CCDC77
5896,DUOX1,PRICKLE3,MFHAS1,KIAA1958,TMEM258,RPP25L,LDB1,CD59,FBXO21,CCDC86,CHST15,MDM2,PHB2,NINJ2
5897,C15orf48,SYP,ERI1,INIP,FEN1,DCTN3,PPRC1,FBXO3,WSB2,PRPF19,OAT,CPM,EMG1,RP11-218M22.1
5898,BLOC1S6,CCDC22,PPP1R3B,SNX30,FADS2,SIGMAR1,NOLC1,LMO2,PEBP1,TMEM109,LHPP,CPSF6,LPCAT3,WNK1
5899,SQRDL,PPP1R3F,TNKS,ZNF883,FADS1,GALT,GBF1,CAPRIN1,TAOK3,SLC15A3,METTL10,LYZ,C1S,ERC1
5900,DUT,USP27X,MSRA,ZFP37,FADS3,IL11RA,NFKB2,NAT10,SUDS3,CD6,FAM175B,RP11-1143G9.4,C1R,WNT5B
5901,FBN1,CLCN5,PINX1,SLC31A2,RAB3IL1,RP11-195F19.5,FBXL15,CAT,PRKAB1,CD5,ZRANB1,YEATS4,C1RL,ADIPOR2
5902,CEP152,SHROOM4,MTMR9,FKBP15,BEST1,CCL21,CUEDC2,EHF,RAB35,VPS37C,RP11-298J20.3,FRS2,C1RL-AS1,DCP1B
5903,EID1,GSPT2,GATA4,SLC31A1,FTH1,DNAJB5,MFSD13A,APIP,GCN1,DDB1,CTBP2,CCT2,CLSTN3,CACNA1C
5904,SECISBP2L,MAGED1,NEIL2,CDC26,SCGB2A1,VCP,ACTR1A,PDHX,RPLP0,TKFC,EDRF1,RAB3IP,CD163,FKBP4
5905,COPS2,GPR173,FDFT1,PRPF4,ASRGL1,FANCG,SUFU,CD44,COX6A1,CYB561A3,UROS,LINC01481,SLC2A14,RP4-816N1.6
5906,GALK2,TSPYL2,CTSB,WDR31,AHNAK,PIGO,TRIM8,PAMR1,TRIAP1,TMEM138,BCCIP,CNOT2,SLC2A3,ITFG2
5907,FGF7,RP11-258C19.7,FAM86B1,HDHD3,EEF1G,STOML2,ARL3,TRIM44,GATC,TMEM216,ADAM12,ZFC3H1,FOXJ2,RHNO1
5908,DTWD1,KDM5C,AC145124.2,ALAD,TUT1,FAM214B,WBP1L,LDLRAD3,SRSF9,CPSF7,PTPRE,THAP2,C3AR1,TULP3
5909,GABPB1,IQSEC2,LONRF1,POLE3,MTA2,UNC13B,BORCS7,COMMD9,DYNLL1,SDHAF2,MKI67,TMEM19,NECAP1,PARP11
5910,GABPB1-AS1,SMC1A,KIAA1456,RGS3,EML3,RUSC2,NT5C2,PRR5L,COQ5,TMEM258,MGMT,RAB21,MFAP5,CCND2
5911,USP8,RIBC1,DLC1,ZNF618,B3GAT3,TESK1,PCGF6,TRAF6,RNF10,FEN1,GLRX3,TBC1D15,RIMKLB,TIGAR
5912,TRPM7,HSD17B10,TUSC3,COL27A1,GANAB,CCDC107,TAF5,C11orf74,POP5,FADS1,PPP2R2D,ATXN7L3B,PHC1,C12orf4
5913,SPPL2A,HUWE1,MSR1,AKNA,INTS5,TPM2,USMG5,API5,MLEC,FADS3,RP11-45A17.4,GLIPR1,M6PR,DYRK4
5914,LYSMD2,PHF8,MICU3,ATP6V1G1,METTL12,TLN1,PDCD11,TTC17,UNC119B,BEST1,STK32C,KRR1,KLRG1,NDUFA9
5915,TMOD3,FAM120C,ZDHHC2,C9orf91,UQCC3,CREB3,CALHM2,HSD17B12,ACADS,FTH1,LRRC27,PHLDA1,A2M-AS1,KCNA5
5916,LEO1,WNK3,CNOT7,TNC,UBXN1,GBA2,SH3PXD2A,ALKBH3,SPPL3,INCENP,PWWP2B,NAP1L1,A2M,VWF
5917,MAPK6,TSR2,VPS37A,PAPPA,HNRNPUL2,RGP1,OBFC1,ACCS,C12orf43,SCGB2A1,MIR202HG,BBS10,LINC00987,CD9
5918,GNB5,FGD1,SLC7A2,ASTN2,TTC9C,MSMP,SLK,EXT2,P2RX4,SCGB1D2,ADAM8,OSBPL8,KLRB1,SCNN1A
5919,MYO5A,GNL3L,PDGFRL,TRIM32,POLR2G,NPR2,SFR1,CD82,ANAPC5,ASRGL1,TUBGCP2,ZDHHC17,CLEC2D,LTBR
5920,ARPP19,MAGED2,MTUS1,CDK5RAP2,TAF6L,HINT2,GSTO1,TP53I11,RNF34,AHNAK,ZNF511,PPP1R12A,CD69,CD27
5921,FAM214A,TRO,PCM1,MEGF9,TMEM223,HRCT1,ITPRIP,SLC35C1,KDM2B,EEF1G,FUOM,LIN7A,KLRF1,TAPBPL
5922,RSL24D1,APEX2,ASAH1,FBXW2,TMEM179B,LINC00961,XPNPEP1,CRY2,ORAI1,TUT1,ECHS1,CCDC59,CLEC2B,VAMP1
5923,RAB27A,FAM104B,NAT1,PSMD5,NXF1,RECK,ADD3,PEX16,TMEM120B,MTA2,MTG1,METTL25,CLEC12A,MRPL51
5924,PIGBOS1,MTRNR2L10,PSD3,PSMD5-AS1,STX5,GLIPR2,MXI1,PHF21A,RHOF,EML3,KDM5A,TMTC2,GABARAPL1,GAPDH
5925,PIGB,MAGEH1,SH2D4A,PHF19,RP11-727F15.9,CLTA,SMNDC1,DGKZ,LINC01089,ROM1,NINJ2,C12orf29,KLRD1,RP5-940J5.9
5926,CCPG1,USP51,CSGALNACT1,TRAF1,WDR74,GNE,DUSP5,MDK,SETD1B,B3GAT3,RP11-218M22.1,CEP290,KLRK1,IFFO1
5927,RFX7,RRAGB,INTS10,CNTRL,SLC3A2,RNF38,SMC3,HARBI1,PSMD9,GANAB,WNK1,DUSP6,KLRC4,NOP2
5928,ZNF280D,RP13-188A5.1,LPL,RAB14,RARRES3,EBLN3,PDCD4-AS1,ATG13,BCL7A,INTS5,ERC1,POC1B,KLRC3,CHD4
5929,TCF12,KLF8,ATP6V1B2,GSN,PLA2G16,ZCCHC7,PDCD4,ARHGAP1,MLXIP,METTL12,ADIPOR2,ATP2B1,KLRC2,ING4
5930,POLR2M,UBQLN2,LZTS1,STOM,ATL3,GRHPR,BBIP1,ZNF408,DIABLO,UQCC3,CACNA2D4,LINC00936,KLRC1,COPS7A
5931,ADAM10,LINC01420,XPO7,DAB2IP,RTN3,ZBTB5,SHOC2,CKAP5,VPS33A,UBXN1,RP5-1096D14.6,LUM,RP11-291B21.2,MLF2
5932,FAM63B,SPIN3,FGF17,NDUFA8,MARK2,POLR1E,ACSL5,C11orf49,CLIP1,HNRNPUL2,FKBP4,DCN,MAGOHB,PTMS
5933,RNF111,SPIN2B,FAM160B2,RBM18,NAA40,TOMM5,ZDHHC6,ARFGAP2,ZCCHC8,TTC9C,ITFG2,BTG1,YBX3,LAG3
5934,SLTM,FAAH2,NUDT18,MRRF,COX8A,TRMT10B,VTI1A,DDB2,RSRC2,POLR2G,FOXM1,RP11-796E2.4,PRR4,CD4
5935,GTF2A2,ZXDB,REEP4,PDCL,OTUB1,EXOSC3,CASP7,ACP2,DENR,TMEM223,RHNO1,EEA1,SMIM10L1,P3H3
5936,BNIP2,SPIN4,BMP1,RC3H2,MACROD1,DCAF10,NHLRC2,NR1H3,HIP1R,TMEM179B,TULP3,NUDT4,ETV6,GNB3
5937,ANXA2,ARHGEF9,PHYHIP,ZBTB6,STIP1,SLC25A51,CCDC186,MADD,VPS37B,NXF1,TSPAN9,UBE2N,MANSC1,CDCA3
5938,ICE2,ZC4H2,POLR3D,ZBTB26,FERMT3,SHB,ABLIM1,SPI1,OGFOD2,STX5,PARP11,MRPL42,LOH12CR2,USP5
5939,RORA,LAS1L,SLC39A14,RABGAP1,TRPT1,ALDH1B1,FAM160B1,SLC39A13,ARL6IP4,RP11-727F15.9,CCND2,CRADD,BORCS5,TPI1
5940,VPS13C,MSN,PPP3CC,STRBP,NUDT22,CNTNAP3,TRUB1,PSMC3,MPHOSPH9,WDR74,C12orf4,PLXNC1,DUSP16,SPSB2
5941,TPM1,VSIG4,SORBS3,DENND1A,DNAJC4,PGM5P2,PDZD8,CELF1,C12orf65,SLC3A2,DYRK4,TMCC3,CREBL2,ENO2
5942,RPS27L,EDA2R,PDLIM2,PSMB7,VEGFB,RP11-4L24.3,RAB11FIP2,NDUFS3,SBNO1,RARRES3,NDUFA9,NDUFA12,CDKN1B,ATN1
5943,RAB8B,AR,C8orf58,OLFML2A,FKBP2,CNTNAP3B,FAM204A,PTPMT1,RP13-942N8.1,PLA2G16,KCNA1,NR2C1,APOLD1,C12orf57
5944,APH1B,OPHN1,CCAR2,RPL35,PPP1R14B,RP11-262H14.4,CACUL1,KBTBD4,RILPL2,ATL3,VWF,FGD6,HEBP1,PTPN6
5945,USP3,YIPF6,BIN3,ARPC5L,PLCB3,CBWD5,EIF3A,MTCH2,SNRNP35,RTN3,CD9,VEZT,EMP1,PHB2
5946,HERC1,EFNB1,EGR3,GOLGA1,BAD,CBWD3,FAM45A,FNBP4,TMED2,MARK2,TNFRSF1A,METAP2,ATF7IP,EMG1
5947,DAPK2,PJA1,RHOBTB2,SCAI,GPR137,PGM5,SFXN4,NUP160,DDX55,NAA40,LTBR,SNRPF,H2AFJ,LPCAT3
5948,FAM96A,EDA,TNFRSF10B,PPP6C,ESRRA,PGM5-AS1.1,PRDX3,PTPRJ,EIF2B1,COX8A,TAPBPL,HAL,WBP11,C1S
5949,SNX1,IGBP1,TNFRSF10D,RABEPK,TRMT112,FAM122A,GRK5,SSRP1,GTF2H3,OTUB1,MRPL51,LTA4H,MGP,C1R
5950,PPIB,PDZD11,CHMP7,HSPA5,PRDX5,FXN,RGS10,SLC43A3,ATP6V0A2,MACROD1,NCAPD2,ELK3,ARHGDIB,C1RL
5951,CSNK1G1,KIF4A,R3HCC1,GAPVD1,CCDC88B,TJP2,TIAL1,SLC43A1,CCDC92,STIP1,GAPDH,CDK17,STRAP,C1RL-AS1
5952,KIAA0101,DLG3,LOXL2,MAPKAP1,RPS6KA4,FAM189A2,BAG3,TIMM10,ZNF664,FERMT3,IFFO1,NEDD1,DERA,CLSTN3
5953,TRIP4,SNX12,ENTPD4,PBX3,RASGRP2,APBA1,INPP5F,UBE2L6,NCOR2,TRPT1,NOP2,TMPO-AS1,MGST1,SLC2A3
5954,ZNF609,FOXO4,SLC25A37,MVB12B,SF1,PTAR1,MCMBP,SERPING1,UBC,NUDT22,CHD4,TMPO,PLEKHA5,FOXJ2
5955,OAZ2,IL2RG,STC1,ZBTB43,MAP4K2,SMC5,SEC23IP,YPEL4,BRI3BP,DNAJC4,LPAR5,SLC25A3,AEBP2,NECAP1
5956,PIF1,MED12,DOCK5,ZBTB34,MEN1,KLF9,WDR11,CLP1,LINC00944,VEGFB,ACRBP,IKBIP,PYROXD1,LINC00937
5957,PLEKHO2,GJB1,KCTD9,RALGPS1,EHD1,TMEM2,ATE1,ZDHHC5,SLC15A4,FKBP2,ING4,APAF1,RECQL,M6PR
5958,SPG21,ZMYM3,EBF2,ANGPTL2,ATG2A,ABHD17B,NSMCE4A,MED19,RAN,PPP1R14B,ZNF384,UHRF1BP1L,GOLT1B,KLRG1
5959,MTFMT,NONO,PPP2R2A,GARNL3,PPP2R5B,C9orf85,PLEKHA1,TMX2,SFSWAP,PLCB3,COPS7A,ACTR6,LDHB,A2M
5960,PDCD7,TAF1,BNIP3L,SLC2A8,BATF2,ZFAND5,HTRA1,C11orf31,ULK1,BAD,MLF2,SCYL2,CMAS,KLRB1
5961,CLPX,OGT,PNMA2,RPL12,ARL2,ALDH1A1,FAM24B,CTNND1,PUS1,GPR137,PTMS,ARL1,C2CD5,CLEC2D
5962,PARP16,NHSL2,DPYSL2,LRSAM1,SAC3D1,ANXA1,C10orf88,LPXN,EP400,ESRRA,CD4,CHPT1,ETNK1,CD69
5963,DPP8,RGAG4,TRIM35,FAM129B,NAALADL1,TRPM6,IKZF5,ZFP91,EP400NL,TRMT112,P3H3,GNPTAB,LRMP,CLEC2B
5964,HACD3,PIN4,PTK2B,STXBP1,CDCA5,C9orf40,ACADSB,FAM111A,DDX51,PRDX5,USP5,DRAM1,LYRM5,CLEC7A
5965,VWA9,RPS4X,EPHX2,PTRH1,ZFPL1,CARNMT1,BUB3,MPEG1,NOC4L,AP003774.1,TPI1,CCDC53,KRAS,GABARAPL1
5966,DENND4A,HDAC8,CLU,TOR2A,VPS51,NMRK1,OAT,OSBP,FBRSL1,CCDC88B,LRRC23,NUP37,RP11-707G18.1,KLRD1
5967,RAB11A,PHKA1,SCARA3,SH2D3C,TM7SF2,OSTF1,LHPP,PATL1,PGAM5,RPS6KA4,ENO2,IGF1,RASSF8-AS1,RP11-277P12.20
5968,DIS3L,NAP1L2,CCDC25,CDK9,ZNHIT2,PCSK5,FAM53B,STX3,ANKLE2,RASGRP2,ATN1,NT5DC3,SSPN,KLRC2
5969,TIPIN,CHIC1,SCARA5,FPGS,FAU,RFK,METTL10,MRPL16,GOLGA3,SF1,C12orf57,HSP90B1,ITPR2,KLRC1
5970,MAP2K1,XIST,ELP3,ENG,SYVN1,GCNT1,FAM175B,MS4A6A,CHFR,MAP4K2,PTPN6,C12orf73,ASUN,MAGOHB
5971,SNAPC5,JPX,PNOC,AK1,MRPL49,PRUNE2,ZRANB1,MS4A4E,ZNF605,MEN1,PHB2,TDG,FGFR1OP2,YBX3
5972,RPL4,FTX,ZNF395,ST6GALNAC6,CAPN1,VPS13A,CTBP2,MS4A4A,ZNF26,EHD1,EMG1,HCFC2,TM7SF3,PRH1
5973,ZWILCH,SLC16A2,FBXO16,ST6GALNAC4,POLA2,GNA14,EDRF1,MS4A7,ZNF84,ATG2A,LPCAT3,NFYB,MED21,PRR4
5974,SMAD3,RLIM,FZD3,DPM2,CDC42EP2,GNAQ,UROS,MS4A14,ZNF140,PPP2R5B,C1S,TXNRD1,STK38L,TAS2R14
5975,AAGAB,ABCB7,EXTL3,FAM102A,DPF2,CEP78,BCCIP,CCDC86,ZNF891,ARL2,C1R,CHST11,PPFIBP1,SMIM10L1
5976,C15orf61,UPRT,INTS9,NAIF1,SLC25A45,PSAT1,FANK1,PRPF19,ZNF10,SAC3D1,C1RL,C12orf45,MRPS35,ETV6
5977,MAP2K5,PBDC1,HMBOX1,SLC25A25,FRMD8,TLE4,ADAM12,TMEM109,ZNF268,NAALADL1,C1RL-AS1,KIAA1033,KLHL42,MANSC1
5978,PIAS1,MAGEE1,KIF13B,PTGES2,NEAT1,TLE1,PTPRE,SLC15A3,MPHOSPH8,CDCA5,CLSTN3,APPL2,CCDC91,LOH12CR2
5979,CLN6,ATRX,DUSP4,C9orf16,CMB9-22P13.1,FRMD3,MKI67,CD6,PSPC1,ZFPL1,CD163,C12orf75,ERGIC2,BORCS5
5980,FEM1B,MAGT1,SARAF,CIZ1,MALAT1,IDNK,MGMT,CD5,ZMYM5,VPS51,SLC2A3,CKAP4,IPO8,DUSP16
5981,ANP32A,COX7B,LEPROTL1,GOLGA2,AP000769.1,UBQLN1,GLRX3,VPS37C,ZMYM2,TM7SF2,FOXJ2,TCP11L2,CAPRIN2,CREBL2
5982,RPLP1,ATP7A,RP11-51J9.5,SWI5,SCYL1,RP11-522I20.3,PPP2R2D,DDB1,CRYL1,ZNHIT2,C3AR1,PWP1,DDX11,CDKN1B
5983,PCAT29,PGK1,DCTN6,TRUB2,LTBP3,GKAP1,BNIP3,TKFC,IFT88,FAU,NECAP1,PRDM4,FAM60A,APOLD1
5984,TLE3,TAF9B,RBPMS-AS1,COQ4,SSSCA1,KIF27,STK32C,CYB561A3,XPO4,SYVN1,FAM66C,CMKLR1,AMN1,RP11-392P7.6
5985,MYO9A,LPAR4,RBPMS,SLC27A4,FAM89B,C9orf64,PWWP2B,TMEM138,SAP18,MRPL49,MFAP5,SART3,RP11-467L13.7,HEBP1
5986,PKM,ITM2A,GTF2E2,URM1,EHBP1L1,HNRNPK,ADAM8,TMEM216,MRPL57,CAPN1,RIMKLB,ISCU,H3F3C,EMP1
5987,PARP6,BRWD3,GSR,CERCAM,SIPA1,RMI1,TUBGCP2,CPSF7,ZDHHC20,POLA2,PHC1,SELPLG,KIAA1551,ATF7IP
5988,HEXA,HMGN5,UBXN8,ODF2,MAP3K11,NTRK2,ZNF511,SDHAF2,MICU2,DPF2,M6PR,CORO1C,RP11-50I19.2,PLBD1
5989,ARIH1,SH3BGRL,PPP2CB,GLE1,PCNXL3,AGTPBP1,FUOM,TMEM258,SACS,SLC25A45,KLRG1,SSH1,BICD1,HIST4H4
5990,BBS4,RPS6KA6,WRN,SPTAN1,RELA,NAA35,ECHS1,FEN1,SPATA13,FRMD8,A2M-AS1,USP30,FGD4,H2AFJ
5991,ADPGK,HDX,RP11-11N9.4,WDR34,KAT5,GOLM1,PAOX,FADS2,PARP4,NEAT1,A2M,ALKBH2,DNM1L,WBP11
5992,NPTN,APOOL,FUT10,SET,RNASEH2C,ISCA1,MTG1,FADS1,PABPC3,CMB9-22P13.1,LINC00987,KCTD10,YARS2,MGP
5993,LOXL1,ZNF711,TTI2,ZDHHC12,AP5B1,ZCCHC6,KDM5A,FADS3,MTMR6,MALAT1,KLRB1,UBE3B,KIF21A,ERP27
5994,PML,CHM,MAK16,ZER1,CFL1,GAS1,CCDC77,BEST1,NUP58,AP000769.1,CLECL1,MMAB,ABCD2,ARHGDIB
5995,ISLR,KLHL4,RNF122,TBC1D13,MUS81,DAPK1,NINJ2,FTH1,RNF6,SCYL1,CD69,GLTP,SLC2A13,STRAP
5996,UBL7,NAP1L3,DUSP26,ENDOG,EFEMP2,CTSL,WNK1,SCGB2A1,USP12,LTBP3,CLEC2B,TCHP,GXYLT1,DERA
5997,UBL7-AS1,DIAPH2,ZNF703,C9orf114,CTSW,SPIN1,ERC1,ASRGL1,RPL21,SSSCA1,CLEC12A,GIT2,YAF2,MGST1
5998,ARID3B,PCDH19,ERLIN2,CCBL1,FIBP,S1PR3,ADIPOR2,AHNAK,GTF3A,FAM89B,GABARAPL1,ANKRD13A,PPHLN1,AEBP2
5999,CLK3,TSPAN6,PROSC,LRRC8A,CCDC85B,CKS2,CACNA2D4,EEF1G,MTIF3,EHBP1L1,MAGOHB,C12orf76,ZCRB1,PYROXD1
6000,EDC3,SRPX2,ADGRA2,PHYHD1,C11orf68,SECISBP2,DCP1B,TUT1,POLR1D,SIPA1,YBX3,ATP2A2,PUS7L,RECQL
6001,CSK,SYTL4,BRF2,DOLK,DRAP1,SEMA4D,FKBP4,MTA2,ATP5EP2,MAP3K11,PRR4,ANAPC7,IRAK4,GOLT1B
6002,ULK3,CSTF2,RAB11FIP1,NUP188,SART1,GADD45G,ITFG2,EML3,PAN3,PCNXL3,TAS2R14,ARPC3,TWF1,LDHB
6003,SCAMP2,TRMT2B,ADRB3,SH3GLB2,EIF1AD,AUH,FOXM1,B3GAT3,POMP,RELA,SMIM10L1,GPN3,TMEM117,CMAS
6004,MPI,TMEM35,EIF4EBP1,FAM73B,BANF1,NFIL3,RHNO1,GANAB,SLC46A3,KAT5,ETV6,FAM216A,ANO6,C2CD5
6005,FAM219B,TIMM8A,ASH2L,DOLPP1,CST6,SPTLC1,TULP3,INTS5,SLC7A1,RNASEH2C,LRP6,VPS29,RP11-352M15.2,ETNK1
6006,COX5A,RPL36A,STAR,CRAT,CATSPER1,IARS,CRACR2A,METTL12,UBL3,AP5B1,MANSC1,PPTC7,ARID2,SOX5
6007,COMMD4,GLA,LSM1,PPP2R4,SF3B2,NOL8,PARP11,UQCC3,LINC00426,CFL1,BORCS5,HVCN1,SCAF11,BCAT1
6008,MAN2C1,HNRNPH2,BAG4,IER5L,PACS1,OGN,RP11-664D1.1,UBXN1,HMGB1,MUS81,CREBL2,PPP1CC,SLC38A1,LRMP
6009,SIN3A,ARMCX4,DDHD2,C9orf106,RAB1B,OMD,CCND2,HNRNPUL2,USPL1,EFEMP2,CDKN1B,FAM109A,SLC38A2,LYRM5
6010,PTPN9,ARMCX1,PLPP5,LINC01503,YIF1A,ASPN,TIGAR,TTC9C,ALOX5AP,CTSW,GPRC5A,RP3-473L9.4,RP11-446N19.1,KRAS
6011,SNUPN,ARMCX6,WHSC1L1,NTMT1,RIN1,ECM2,C12orf4,POLR2G,HSPH1,FIBP,HEBP1,SH2B3,PCED1B,RP11-707G18.1
6012,IMP3,ARMCX3,FGFR1,ASB6,BRMS1,IPPK,RAD51AP1,TAF6L,BRCA2,CCDC85B,EMP1,ATXN2,RP11-493L12.4,BHLHE41
6013,UBE2Q2,ARMCX2,TACC1,PRRX2,B4GAT1,BICD2,DYRK4,TMEM223,N4BP2L1,C11orf68,ATF7IP,BRAP,RPAP3,SSPN
6014,FBXO22,ZMAT1,PLEKHA2,TOR1B,MRPL11,ZNF484,NDUFA9,TMEM179B,N4BP2L2,DRAP1,PLBD1,ACAD10,RAPGEF3,ITPR2
6015,ETFA,TCEAL2,TM2D2,TOR1A,DPP3,SUSD3,VWF,NXF1,PDS5B,SART1,H2AFJ,ALDH2,HDAC7,ASUN
6016,SCAPER,TCEAL6,ADAM9,C9orf78,ZDHHC24,CARD19,CD9,STX5,RFC3,EIF1AD,WBP11,MAPKAPK5-AS1,TMEM106C,FGFR1OP2
6017,RCN2,BEX5,C8orf4,USP20,CTSF,NINJ1,TNFRSF1A,RP11-727F15.9,SPG20,BANF1,MGP,MAPKAPK5,SENP1,TM7SF3
6018,PSTPIP1,TMSB15A,SFRP1,FNBP1,CCS,FAM120AOS,SCNN1A,WDR74,RFXAP,CST6,ARHGDIB,TMEM116,PFKM,MED21
6019,TSPAN3,ARMCX5,GOLGA7,GPR107,RBM14,FAM120A,LTBR,SLC3A2,ALG5,CATSPER1,STRAP,ERP29,ASB8,STK38L
6020,TBC1D2B,GPRASP1,GINS4,NCS1,RBM4,PHF2,CD27,LGALS12,EXOSC8,SF3B2,DERA,NAA25,ZNF641,PPFIBP1
6021,IDH3A,GPRASP2,GPAT4,ASS1,RBM4B,PTPDC1,TAPBPL,RARRES3,SUPT20H,PACS1,PLEKHA5,TRAFD1,KANSL2,MRPS35
6022,WDR61,BHLHB9,KAT6A,FUBP3,RP11-658F2.8,RP11-2B6.2,VAMP1,PLA2G16,POSTN,KLC2,AEBP2,HECTD4,CCNT1,KLHL42
6023,IREB2,BEX1,AP3M2,EXOSC2,RCE1,ZNF169,MRPL51,ATL3,UFM1,RAB1B,PDE3A,RPL6,DDX23,CCDC91
6024,PSMA4,NXF3,PLAT,ABL1,PC,MFSD14B,NCAPD2,RTN3,PROSER1,YIF1A,PYROXD1,PTPN11,CCDC65,RP11-996F15.4
6025,MORF4L1,BEX4,IKBKB,LAMC3,KDM2A,C9orf3,GAPDH,MARK2,NHLRC3,BRMS1,RECQL,RPH3A,FKBP11,RP11-996F15.5
6026,CTSH,TCEAL8,POLB,AIF1L,ADRBK1,FANCC,RP5-940J5.9,NAA40,LHFP,MRPL11,GOLT1B,OAS1,ARF3,ERGIC2
6027,TMED3,TCEAL5,VDAC3,NUP214,ANKRD13D,PTCH1,IFFO1,COX8A,FOXO1,CTD-3074O7.5,LDHB,OAS3,PRKAG1,IPO8
6028,MTHFS,BEX2,SLC20A2,RP11-544A12.8,SSH3,ERCC6L2,NOP2,OTUB1,MRPS31,DPP3,CMAS,OAS2,KMT2D,DDX11
6029,ST20,TCEAL7,SMIM19,PLPP7,RAD9A,SLC35D2,CHD4,MACROD1,ELF1,ZDHHC24,ST8SIA1,DDX54,LMBR1L,FAM60A
6030,BCL2A1,WBP5,THAP1,PRRC2B,POLD4,HABP4,ING4,STIP1,WBP4,CTSF,C2CD5,TPCN1,TUBA1B,DENND5B
6031,ZFAND6,NGFRAP1,RNF170,POMT1,PPP1CA,CDC14B,ZNF384,FERMT3,KBTBD6,CCS,ETNK1,SLC8B1,TUBA1A,METTL20
6032,FAH,TCEAL4,HOOK3,UCK1,TBC1D10C,AAED1,COPS7A,TRPT1,KBTBD7,RBM14,BCAT1,PLBD2,TUBA1C,AMN1
6033,MESDC2,TCEAL3,FNTA,RAPGEF1,RPS6KB2,ZNF510,MLF2,NUDT22,NAA16,RBM4,LYRM5,SDSL,SPATS2,RP11-467L13.7
6034,MESDC1,TCEAL1,HGSNAT,MED27,CORO1B,CCDC180,PTMS,DNAJC4,RGCC,RBM4B,KRAS,RBM19,MCRS1,KIAA1551
6035,IL16,MORF4L2,SPIDR,SETX,TMEM134,TDRD7,LAG3,VEGFB,AKAP11,RP11-658F2.8,RP11-707G18.1,MED13L,FMNL3,RP11-50I19.2
6036,RPS17,MORF4L2-AS1,CEBPD,TTF1,AIP,TMOD1,CD4,FKBP2,EPSTI1,C11orf80,BHLHE41,MAP1LC3B2,TMBIM6,BICD1
6037,WHAMM,PLP1,PRKDC,DDX31,PITPNM1,TSTD2,CDCA3,PPP1R14B,DNAJC15,RCE1,ITPR2,C12orf49,NCKAP5L,DNM1L
6038,FAM103A1,RAB9B,MCM4,GTF3C4,CDK2AP2,NCBP1,USP5,RP11-783K16.5,LACC1,RHOD,ASUN,TESC,BCDIN3D,YARS2
6039,C15orf40,TMSB15B,UBE2V2,C9orf9,GSTP1,XPA,TPI1,PLCB3,TSC22D1,KDM2A,FGFR1OP2,FBXO21,SMARCD1,ALG10
6040,BTBD1,SLC25A53,EFCAB1,TSC1,NDUFV1,TRMO,SPSB2,BAD,GPALPP1,ADRBK1,TM7SF3,WSB2,COX14,KIF21A
6041,WDR73,FAM199X,SNAI2,GTF3C5,NUDT8,ANP32B,LRRC23,GPR137,GTF2F2,ANKRD13D,MED21,PEBP1,RP4-605O3.4,ABCD2
6042,NMB,MUM1L1,PCMTD1,RALGDS,UNC93B1,NANS,ENO2,ESRRA,TPT1,SSH3,MRPS35,TAOK3,CERS5,GXYLT1
6043,SEC11A,TBC1D8B,RP11-110G21.1,GBGT1,ALDH3B1,TRIM14,ATN1,TRMT112,TPT1-AS1,RAD9A,KLHL42,SUDS3,LIMA1,YAF2
6044,ZNF592,MORC4,RB1CC1,SURF6,NDUFS8,CORO2A,C12orf57,PRDX5,COG3,POLD4,CCDC91,PRKAB1,LARP4,PPHLN1
6045,AKAP13,RBM41,ATP6V1H,MED22,TCIRG1,TBC1D2,PTPN6,AP003774.1,ZC3H13,CLCF1,FAR2,RAB35,DIP2B,ZCRB1
6046,MRPL46,NUP62CL,TCEA1,RPL7A,RP11-802E16.3,ANKS6,PHB2,CCDC88B,LCP1,PPP1CA,ERGIC2,RP1-267D11.6,ATF1,PRICKLE1
6047,MRPS11,PRPS1,LYPLA1,SURF1,CHKA,COL15A1,EMG1,RPS6KA4,KIAA0226L,TBC1D10C,IPO8,RPLP0,METTL7A,PUS7L
6048,AEN,TSC22D3,MRPL15,SURF2,KMT5B,RP11-92C4.6,LPCAT3,AP003774.6,LRCH1,RPS6KB2,CAPRIN2,PXN,SLC11A2,IRAK4
6049,ISG20,PSMD10,SOX17,SURF4,C11orf24,TGFBR1,C1S,RASGRP2,ESD,CORO1B,DDX11,COX6A1,LETMD1,TWF1
