,CD8T,Epithelial,Fibroblast,Pericyte,Macrophage,Endothelial,CD4T,DC,B,NKT,Mast,Monocyte,NK,Plasma
92,AKR7A2,ERRFI1,TMEM201,KIF1B,AGTRAP,UBE4B,PLOD1,SRM,SPEN,PGD,MFN2,TMEM51,MAD2L2,PLOD1
93,CAPZB,RERE,PIK3CD,PGD,MTHFR,KIF1B,MFN2,EXOSC10,ZBTB17,APITD1,MIIP,EFHD2,DRAXIN,MFN2
94,MINOS1,ENO1,PIK3CD-AS2,APITD1,CLCN6,PGD,MIIP,MTOR,FBXO42,DFFA,VPS13D,CASP9,AGTRAP,MIIP
95,NBL1,GPR157,CLSTN1,DFFA,KIAA2013,APITD1,TNFRSF1B,UBIAD1,SZRD1,PEX14,DHRS3,DNAJC16,MTHFR,DHRS3
96,PLA2G2A,MIR34AHG,CTNNBIP1,PEX14,PLOD1,DFFA,VPS13D,FBXO2,NECAP2,CASZ1,RP11-474O21.5,DDI2,KIAA2013,PDPN
97,MUL1,RP3-510D11.2,LZIC,CASZ1,MFN2,PEX14,DHRS3,FBXO44,CROCC,TARDBP,PDPN,PLEKHM2,PLOD1,PRDM2
98,DDOST,H6PD,NMNAT1,TARDBP,MIIP,CASZ1,PRDM2,FBXO6,RP11-108M9.4,SRM,PRDM2,UQCRHL,MFN2,EFHD2
99,HP1BP3,SPSB1,RBP7,SRM,TNFRSF8,TARDBP,EFHD2,MAD2L2,ATP13A2,EXOSC10,KAZN,FLJ37453,MIIP,DNAJC16
100,EIF4G3,SLC25A33,UBE4B,EXOSC10,TNFRSF1B,SRM,CASP9,AGTRAP,SDHB,MTOR,EFHD2,SPEN,TNFRSF1B,DDI2
101,ECE1,TMEM201,KIF1B,MTOR,VPS13D,EXOSC10,DNAJC16,MTHFR,RCC2,UBIAD1,AGMAT,ZBTB17,VPS13D,PLEKHM2
102,USP48,PIK3CD,PGD,UBIAD1,DHRS3,MTOR,AGMAT,CLCN6,UBR4,FBXO2,DDI2,FBXO42,DHRS3,UQCRHL
103,HSPG2,PIK3CD-AS2,APITD1,FBXO44,PDPN,UBIAD1,DDI2,KIAA2013,EMC1,FBXO44,RP4-680D5.9,SZRD1,PRDM2,FLJ37453
104,CDC42,CLSTN1,DFFA,FBXO6,PRDM2,FBXO2,PLEKHM2,PLOD1,MRTO4,FBXO6,PLEKHM2,NECAP2,EFHD2,SPEN
105,C1QA,CTNNBIP1,PEX14,MAD2L2,TMEM51,FBXO44,UQCRHL,MFN2,AKR7A2,MAD2L2,UQCRHL,RP11-108M9.4,DDI2,ZBTB17
106,C1QC,LZIC,TARDBP,AGTRAP,FHAD1,FBXO6,FLJ37453,MIIP,PQLC2,DRAXIN,FLJ37453,SDHB,PLEKHM2,EPHA2
107,C1QB,NMNAT1,SRM,C1orf167,EFHD2,MAD2L2,SPEN,TNFRSF8,CAPZB,AGTRAP,SPEN,PADI2,UQCRHL,ARHGEF19
108,LUZP1,RBP7,EXOSC10,MTHFR,CASP9,AGTRAP,ZBTB17,TNFRSF1B,MINOS1,MTHFR,ZBTB17,PADI4,FLJ37453,FBXO42
109,HNRNPR,UBE4B,MTOR,CLCN6,DNAJC16,C1orf167,FBXO42,VPS13D,NBL1,CLCN6,SZRD1,RCC2,SPEN,SZRD1
110,ID3,KIF1B,ANGPTL7,KIAA2013,DDI2,MTHFR,SZRD1,DHRS3,PLA2G2A,KIAA2013,NECAP2,ARHGEF10L,ZBTB17,NECAP2
111,RPL11,PGD,UBIAD1,PLOD1,PLEKHM2,CLCN6,NECAP2,PDPN,MUL1,PLOD1,RP4-798A10.2,UBR4,ARHGEF19,NBPF1
112,TCEB3,APITD1,FBXO2,MFN2,FBLIM1,KIAA2013,CROCC,PRDM2,DDOST,MFN2,RP4-798A10.4,EMC1,FBXO42,MFAP2
113,PITHD1,DFFA,FBXO44,MIIP,UQCRHL,PLOD1,RP11-108M9.4,TMEM51,HP1BP3,MIIP,NBPF1,MRTO4,SZRD1,ATP13A2
114,LYPLA2,PEX14,FBXO6,TNFRSF1B,FLJ37453,MFN2,ATP13A2,FHAD1,EIF4G3,TNFRSF1B,RP11-108M9.4,AKR7A2,NECAP2,SDHB
115,HMGCL,CASZ1,MAD2L2,VPS13D,SPEN,MIIP,SDHB,EFHD2,ECE1,VPS13D,RP11-108M9.6,PQLC2,RP11-108M9.4,RCC2
116,FUCA1,TARDBP,DRAXIN,DHRS3,ZBTB17,TNFRSF8,RCC2,CASP9,ALPL,DHRS3,MFAP2,CAPZB,ATP13A2,UBR4
117,PNRC2,SRM,AGTRAP,PRDM2,EPHA2,TNFRSF1B,IFFO2,DNAJC16,USP48,PDPN,ATP13A2,MINOS1,SDHB,RP1-43E13.2
118,SRSF10,EXOSC10,C1orf167,KAZN,FBXO42,VPS13D,UBR4,DDI2,HSPG2,PRDM2,SDHB,NBL1,RCC2,EMC1
119,NIPAL3,MTOR,MTHFR,TMEM51-AS1,SZRD1,DHRS3,EMC1,PLEKHM2,CDC42,TMEM51,PADI2,TMCO4,UBR4,MRTO4
120,RCAN3,ANGPTL7,CLCN6,TMEM51,NECAP2,PDPN,MRTO4,UQCRHL,ZBTB40,EFHD2,PADI4,PLA2G2A,EMC1,AKR7A2
121,RP4-594I10.3,UBIAD1,KIAA2013,EFHD2,NBPF1,PRDM2,AKR7A2,FLJ37453,C1QA,CASP9,RCC2,MUL1,MRTO4,PQLC2
122,SRRM1,FBXO2,PLOD1,CASP9,CROCC,KAZN,CAPZB,SPEN,C1QC,DNAJC16,KLHDC7A,CDA,AKR7A2,CAPZB
123,RUNX3,FBXO44,MFN2,DNAJC16,RP11-108M9.4,TMEM51,MINOS1,ZBTB17,C1QB,AGMAT,ALDH4A1,PINK1,CAPZB,MINOS1
124,SYF2,FBXO6,MIIP,DDI2,ATP13A2,EFHD2,NBL1,EPHA2,KDM1A,DDI2,IFFO2,DDOST,MINOS1,NBL1
125,RSRP1,MAD2L2,TNFRSF8,PLEKHM2,SDHB,CASP9,TMCO4,ARHGEF19,LUZP1,PLEKHM2,UBR4,HP1BP3,NBL1,TMCO4
126,TMEM50A,DRAXIN,TNFRSF1B,FBLIM1,PADI2,DNAJC16,PLA2G2A,FBXO42,LINC01355,UQCRHL,EMC1,EIF4G3,PLA2G2A,OTUD3
127,TMEM57,AGTRAP,VPS13D,UQCRHL,RCC2,DDI2,UBXN10-AS1,SZRD1,HNRNPR,FLJ37453,MRTO4,ECE1,MUL1,PLA2G2A
128,LDLRAP1,C1orf167,DHRS3,FLJ37453,ARHGEF10L,PLEKHM2,MUL1,NECAP2,ID3,SPEN,AKR7A2,USP48,PINK1,MUL1
129,RP1-187B23.1,MTHFR,PDPN,SPEN,IGSF21,RP11-169K16.4,DDOST,NBPF1,RPL11,ZBTB17,PQLC2,HSPG2,DDOST,PINK1
130,MTFR1L,CLCN6,PRDM2,ZBTB17,UBR4,FBLIM1,HP1BP3,CROCC,TCEB3,ARHGEF19,CAPZB,LINC00339,HP1BP3,DDOST
131,STMN1,KIAA2013,KAZN,HSPB7,EMC1,UQCRHL,EIF4G3,RP11-108M9.4,TCEB3-AS1,FBXO42,MINOS1,CDC42,EIF4G3,HP1BP3
132,PAFAH2,PLOD1,TMEM51,EPHA2,MRTO4,FLJ37453,ECE1,ATP13A2,PITHD1,SZRD1,NBL1,C1QA,ECE1,EIF4G3
133,ZNF593,MFN2,EFHD2,ARHGEF19,AKR7A2,SPEN,USP48,SDHB,LYPLA2,NECAP2,TMCO4,C1QC,USP48,ECE1
134,SH3BGRL3,MIIP,CASP9,FBXO42,PQLC2,ZBTB17,HSPG2,PADI2,GALE,CROCC,PLA2G2A,C1QB,HSPG2,USP48
135,UBXN11,TNFRSF1B,DNAJC16,SZRD1,CAPZB,EPHA2,CDC42,RCC2,HMGCL,RP11-108M9.4,UBXN10-AS1,KDM1A,LINC00339,HSPG2
136,CD52,VPS13D,DDI2,NECAP2,MINOS1,ARHGEF19,ZBTB40,ARHGEF10L,FUCA1,ATP13A2,UBXN10,LUZP1,CDC42,LINC00339
