,NK,NKT,CD4T,CD8T,Endothelial,Epithelial,Macrophage,Monocyte,DC,B,Plasma,Mast,Fibroblast,Pericyte
5680,TBRG1,LCOR,BIRC2,CNPY2,CYC1,DNASE1L1,SECISBP2,APOA1,NDST2,KIF21A,URM1,NA,PLEKHA2,S1PR3
5681,TMEM218,C10orf12,TMEM123,IL23A,SHARPIN,TAZ,SEMA4D,SIK3,CAMK2G,LRRK2,CERCAM,NA,TM2D2,CKS2
5682,FEZ1,RP11-175O19.4,DCUN1D5,STAT2,MAF1,ATP6AP1,GADD45G,PAFAH1B2,PLAU,GXYLT1,ODF2,NA,ADAM9,SECISBP2
5683,EI24,FRAT1,CASP4,SPRYD4,MROH1,GDI1,SYK,SIDT2,VCL,YAF2,GLE1,NA,C8orf4,SEMA4D
5684,STT3A,RRP12,CASP1,BAZ2A,HSF1,FAM50A,AUH,TAGLN,AP3M1,PPHLN1,SPTAN1,NA,GOLGA7,GADD45G
5685,HYLS1,PGAM1,CARD16,ATP5B,DGAT1,PLXNA3,NFIL3,PCSK7,ADK,ZCRB1,WDR34,NA,GINS4,AUH
5686,PUS3,EXOSC1,MSANTD4,PTGES3,SLC52A2,LAGE3,SPTLC1,RNF214,KAT6B,PRICKLE1,SET,NA,AGPAT6,NFIL3
5687,RPUSD4,ZDHHC16,KBTBD3,NACA,FBXL6,UBL4A,IARS,BACE1,SAMD8,PUS7L,ZDHHC12,NA,ANK1,SPTLC1
5688,FAM118B,MMS19,AASDHPPT,PRIM1,ADCK5,SLC10A3,NOL8,CEP164,VDAC2,IRAK4,RP11-545E17.3,NA,KAT6A,IARS
5689,SRPR,UBTD1,CWF19L2,NAB2,CPSF1,FAM3A,CENPP,FXYD2,COMTD1,TWF1,ZER1,NA,AP3M2,NOL8
5690,FOXRED1,PI4K2A,SLC35F2,STAT6,SLC39A4,G6PD,IPPK,FXYD6,ZNF503,ANO6,TBC1D13,NA,PLAT,CENPP
5691,DCPS,AVPI1,CUL5,SHMT2,VPS28,IKBKG,BICD2,IL10RA,C10orf11,LINC00938,ENDOG,NA,IKBKB,OGN
5692,ST3GAL4,MARVELD1,ACAT1,R3HDM2,TONSL,GAB3,FGD3,AMICA1,POLR3A,ARID2,C9orf114,NA,POLB,IPPK
5693,ETS1,ZFYVE27,NPAT,ARHGAP9,CYHR1,DKC1,SUSD3,MPZL3,RPS24,SCAF11,CCBL1,NA,VDAC3,BICD2
5694,FLI1,R3HCC1L,ATM,MARS,PPP1R16A,MPP1,C9orf89,MPZL2,ZMIZ1,SLC38A1,LRRC8A,NA,SLC20A2,ZNF484
5695,SENCR,PYROXD2,KDELC2,DDIT3,MFSD3,F8,NINJ1,CD3E,PPIF,SLC38A2,PHYHD1,NA,SMIM19,C9orf89
5696,NFRKB,HPS1,DDX10,MBD6,LRRC14,F8A1,FAM120AOS,CD3D,ZCCHC24,RP11-446N19.1,DOLK,NA,THAP1,NINJ1
5697,APLP2,GOT1,RDX,DCTN2,C8orf82,FUNDC2,FAM120A,CD3G,EIF5AL1,PCED1B,NUP188,NA,RNF170,FAM120AOS
5698,ZBTB44,SLC25A28,FDX1,PIP4K2C,ZNF251,CMC4,PHF2,UBE4A,RP11-506M13.3,RPAP3,SH3GLB2,NA,HOOK3,FAM120A
5699,SNX19,CUTC,POU2AF1,DTX3,ZNF34,BRCC3,PTPDC1,ATP5L,RP11-119F19.2,HDAC7,FAM73B,NA,FNTA,PHF2
5700,NCAPD3,COX15,LAYN,OS9,RPL8,VBP1,ZNF169,KMT2A,RP11-773D16.1,TMEM106C,DOLPP1,NA,HGSNAT,PTPDC1
5701,VPS26B,DNMBP,SIK2,AGAP2,ZNF7,CLIC2,HIATL1,ARCN1,RP11-182L21.6,SENP1,CRAT,NA,SPIDR,HIATL1
5702,THYN1,ERLIN1,PPP2R1B,TSPAN31,COMMD5,TMLHE,FBP1,PHLDB1,SFTPD,ASB8,PPP2R4,NA,CEBPD,FBP1
5703,ACAD8,CHUK,FDXACB1,CDK4,ZNF250,VAMP7,C9orf3,DDX6,TMEM254,KANSL2,IER5L,NA,PRKDC,C9orf3
5704,KDM5A,CWF19L1,C11orf1,MARCH9,ZNF16,FBXO25,FANCC,CCDC84,ANXA11,CCNT1,RP11-65J3.1,NA,MCM4,FANCC
5705,CCDC77,BLOC1S2,DLAT,METTL1,C8orf33,TDRP,ERCC6L2,RPS25,FAM213A,DDX23,RP11-492E3.2,NA,UBE2V2,PTCH1
5706,NINJ2,SCD,C11orf57,TSFM,CBWD1,ERICH1,SLC35D2,TRAPPC4,TSPAN14,RND1,NTMT1,NA,PCMTD1,ERCC6L2
5707,WNK1,NDUFB8.1,TIMM8B,CTDSP2,DOCK8,CLN8,HABP4,HYOU1,GHITM,FKBP11,ASB6,NA,AC090186.1,LINC00092
5708,ERC1,HIF1AN,SDHD,RP11-620J15.3,KANK1,CTD-2336O2.1,AAED1,RP11-110I1.13,CCSER2,ARF3,PTGES,NA,RP11-110G21.1,SLC35D2
5709,ADIPOR2,FAM178A,PTS,XRCC6BP1,SMARCA2,ARHGEF10,ZNF510,VPS11,WAPAL,PRKAG1,TOR1B,NA,RB1CC1,HABP4
5710,CACNA2D4,MRPL43,NCAM1,SLC16A7,KIAA0020,MYOM2,CTSV,HMBS,SNCG,KMT2D,TOR1A,NA,ATP6V1H,CDC14B
5711,DCP1B,LZTS2,ZW10,FAM19A2,RFX3,RP11-115C21.2,TDRD7,H2AFX,ADIRF,RHEBL1,C9orf78,NA,TCEA1,AAED1
5712,FKBP4,SFXN3,USP28,USP15,GLIS3,MCPH1,TSTD2,DPAGT1,GLUD1,LMBR1L,USP20,NA,LYPLA1,ZNF510
5713,ITFG2,BTRC,ZBTB16,MON2,SPATA6L,ANGPT2,NCBP1,C2CD2L,FAM35A,RP11-386G11.10,FNBP1,NA,MRPL15,ZNF782
5714,RHNO1,DPCD,NNMT,TMEM5,PPAPDC2,AGPAT5,XPA,HINFP,NUTM2A-AS1,TUBA1B,GPR107,NA,SOX17,CCDC180
5715,TULP3,POLL,C11orf71,XPOT,RP11-6J24.6,DEFB1,C9orf156,CCDC153,LINC00863,TUBA1A,ASS1,NA,TMEM68,TDRD7
5716,EFCAB4B,FBXW4,RBM7,TBK1,CDC37L1,SGK223,ANP32B,CBL,MINPP1,TUBA1C,FUBP3,NA,TGS1,TMOD1
5717,PARP11,NPM3,REXO2,RASSF3,AK3,CLDN23,NANS,RNF26,PAPSS2,SPATS2,EXOSC2,NA,LYN,TSTD2
5718,CCND2,MGEA5,CADM1,GNS,RCL1,MFHAS1,TRIM14,OAF,ATAD1,MCRS1,ABL1,NA,RPS20,NCBP1
5719,C12orf5,C10orf76,BUD13,LEMD3,JAK2,ERI1,CORO2A,TBCEL,PTEN,FMNL3,AIF1L,NA,PLAG1,XPA
5720,C12orf4,HPS6,ZNF259,LLPH,PLGRKT,PPP1R3B,TBC1D2,SC5D,RNLS,TMBIM6,NUP214,NA,CHCHD7,C9orf156
5721,DYRK4,LDB1,APOC3,TMBIM4.1,CD274,TNKS,GALNT12,SORL1,ANKRD22,NCKAP5L,RP11-544A12.8,NA,IMPAD1,ANP32B
5722,NDUFA9,PPRC1,APOA1,HELB,PDCD1LG2,MSRA,TGFBR1,UBASH3B,STAMBPL1,SMARCD1,FAM78A,NA,FAM110B,NANS
5723,CD9,NOLC1,SIK3,CAND1,KIAA1432,SOX7,ALG2,CRTAM,ACTA2,COX14,PRRC2B,NA,UBXN2B,COL15A1
5724,TNFRSF1A,GBF1,PAFAH1B2,DYRK2,ERMP1,PINX1,SEC61B,HSPA8,FAS,CERS5,POMT1,NA,SDCBP,TGFBR1
5725,LTBR,NFKB2,SIDT2,IFNG-AS1,KIAA2026,XKR6,NR4A3,AP000783.1,LIPA,LIMA1,UCK1,NA,NSMAF,ALG2
5726,CD27-AS1,FBXL15,TAGLN,IFNG,RANBP6,AF131215.5,STX17,TBRG1,IFIT2,LARP4,RAPGEF1,NA,TOX,SEC61B
5727,CD27,CUEDC2,PCSK7,IL26,IL33,MTMR9,ERP44,SPA17,IFIT3,DIP2B,MED27,NA,RAB2A,NR4A3
5728,TAPBPL,TMEM180,RNF214,MDM1,UHRF2,NEIL2,INVS,NRGN,IFIT1,ATF1,SETX,NA,CHD7,STX17
5729,VAMP1,ACTR1A,CEP164,RP11-81H14.2,C9orf38,FDFT1,TEX10,MSANTD2,IFIT5,METTL7A,TTF1,NA,ASPH,ERP44
5730,MRPL51,SUFU,FXYD2,RAP1B,KDM4C,RP11-297N6.4,MSANTD3,SLC37A2,KIF20B,SLC11A2,DDX31,NA,GGH,INVS
5731,NCAPD2,TRIM8,IL10RA,NUP107,TMEM261,CTSB,MRPL50,TMEM218,LINC00865,LETMD1,GTF3C4,NA,YTHDF3-AS1,TEX10
5732,GAPDH,ARL3,AMICA1,SLC35E3,MPDZ,FAM86B1,ZNF189,EI24,RPP30,CSRNP2,C9orf9,NA,YTHDF3,MSANTD3
5733,RP5-940J5.9,WBP1L,MPZL3,MDM2,NFIB,FAM85A,ALDOB,STT3A,PCGF5,TFCP2,TSC1,NA,ARMC1,MRPL50
5734,IFFO1,C10orf32,CD3E,CPSF6,ZDHHC21,LONRF1,RNF20,PUS3,TNKS2,DAZAP2,GTF3C5,NA,MTFR1,ZNF189
5735,NOP2,CNNM2,CD3D,LYZ,TTC39B,DLC1,GRIN3A,RPUSD4,BTAF1,SMAGP,RALGDS,NA,PDE7A,ALDOB
5736,CHD4,NT5C2,CD3G,RP11-1143G9.4,SNAPC3,TUSC3,SMC2,FAM118B,CPEB3,BIN2,GBGT1,NA,RRS1,RNF20
5737,LPAR5,PCGF6,UBE4A,YEATS4,PSIP1,MSR1,NIPSNAP3A,SRPR,MARCH5,GALNT6,SURF6,NA,ADHFE1,SMC2
5738,ING4,TAF5,ATP5L,FRS2,CCDC171,MICU3,ABCA1,TIRAP,IDE,GRASP,MED22,NA,MYBL1,NIPSNAP3A
5739,COPS7A,USMG5,KMT2A,CCT2,BNC2,ZDHHC2,SLC44A1,DCPS,HHEX,NR4A1,RPL7A,NA,VCPIP1,NIPSNAP3B
5740,MLF2,PDCD11,ARCN1,RAB3IP,CNTLN,CNOT7,FSD1L,ST3GAL4,EXOC6,C12orf44,SURF1,NA,C8orf44,ABCA1
5741,PTMS,CALHM2,PHLDB1,RP11-611E13.2,RRAGA,VPS37A,FKTN,ETS1,MYOF,KRT8,SURF2,NA,SGK3,SLC44A1
5742,LAG3,SH3PXD2A,DDX6,CNOT2,HAUS6,MTUS1,TMEM38B,FLI1,CEP55,KRT18,SURF4,NA,COPS5,FSD1L
5743,CD4,OBFC1,BCL9L,ZFC3H1,PLIN2,FGL1,RAD23B,SENCR,FFAR4,EIF4B,REXO4,NA,CSPP1,FKTN
5744,USP5,SLK,CCDC84,THAP2,DENND4C,PCM1,KLF4,APLP2,RBP4,SPRYD3,CACFD1,NA,ARFGEF1,TMEM38B
5745,TPI1,SFR1,RPS25,TMEM19,RP11-513M16.8,ASAH1,IKBKAP,ST14,FRA10AC1,CSAD,SLC2A6,NA,PREX2,ZNF462
5746,SPSB2,GSTO1,TRAPPC4,RAB21,RPS6,NAT1,FAM206A,ZBTB44,PLCE1,ZNF740,SARDH,NA,NCOA2,RAD23B
5747,LRRC23,ITPRIP,SLC37A4,TBC1D15,MLLT3,PSD3,CTNNAL1,SNX19,NOC3L,ITGB7,VAV2,NA,TRAM1,KLF4
5748,ENO2,XPNPEP1,HYOU1,ATXN7L3B,FOCAD,SH2D4A,TMEM245,NCAPD3,TBC1D12,MFSD5,LINC00094,NA,LACTB2,IKBKAP
5749,ATN1,ADD3,VPS11,GLIPR1,PTPLAD2,CSGALNACT1,TXN,VPS26B,HELLS,PFDN5,BRD3,NA,RP11-383H13.1,FAM206A
5750,C12orf57,MXI1,HMBS,KRR1,KLHL9,INTS10,KIAA0368,THYN1,PDLIM1,C12orf10,WDR5,NA,MSC,CTNNAL1
5751,PTPN6,SMNDC1,H2AFX,PHLDA1,MTAP,ATP6V1B2,PTGR1,ACAD8,ALDH18A1,AAAS,RXRA,NA,TERF1,TMEM245
5752,EMG1,DUSP5,DPAGT1,NAP1L1,CDKN2A,DOK2,DNAJC25,RP11-598F7.3,TCTN3,SP1,COL5A1,NA,RPL7,PTPN3
5753,PHB2,SMC3,C2CD2L,OSBPL8,CDKN2B,XPO7,GNG10,SLC6A12,ENTPD1,PRR13,FCN2,NA,RDH10,AKAP2
5754,LPCAT3,PDCD4-AS1,HINFP,ZDHHC17,CAAP1,NPM2,UGCG,KDM5A,ENTPD1-AS1,PCBP2,FCN1,NA,STAU2,TXN
5755,C1S,PDCD4,CBL,PPP1R12A,PLAA,DMTN,SUSD1,NINJ2,CCNJ,TARBP2,C9orf116,NA,UBE2W,KIAA0368
5756,C1R,BBIP1,MCAM,CCDC59,IFT74,FAM160B2,PTBP3,WNK1,BLNK,ATF7,MRPS2,NA,TCEB1,ZNF483
5757,C1RL,SHOC2,RNF26,METTL25,TEK,NUDT18,HSDL2,ERC1,TM9SF3,ATP5G2,CAMSAP1,NA,TMEM70,PTGR1
5758,CLSTN3,ACSL5,ARHGEF12,C12orf29,MOB3B,REEP4,KIAA1958,ADIPOR2,PIK3AP1,CALCOCO1,UBAC1,NA,LY96,DNAJC25
5759,PEX5,ZDHHC6,SC5D,CEP290,C9orf72,BMP1,INIP,CACNA2D4,LCOR,SMUG1,NACC2,NA,GDAP1,GNG10
5760,SLC2A3,VTI1A,SORL1,DUSP6,ACO1,POLR3D,SNX30,FKBP4,C10orf12,CBX5,C9orf69,NA,PEX2,UGCG
5761,FOXJ2,TCF7L2,UBASH3B,POC1B,DDX58,SLC39A14,ZNF883,ITFG2,RP11-175O19.4,HNRNPA1,QSOX2,NA,PKIA,SUSD1
5762,C3AR1,CASP7,CRTAM,RP11-734K2.4,TOPORS,PPP3CC,SLC31A2,RHNO1,ARHGAP19,COPZ1,SNAPC4,NA,ZC2HC1A,PTBP3
5763,NECAP1,NHLRC2,HSPA8,ATP2B1,TOPORS-AS1,SORBS3,FKBP15,PARP11,FRAT2,ZNF385A,SDCCAG3,NA,IL7,HSDL2
5764,PHC1,ADRB1,AP000783.1,LINC00936,NDUFB6,PDLIM2,SLC31A1,CCND2,RRP12,ITGA5,PMPCA,NA,HEY1,INIP
5765,M6PR,C10orf118,VWA5A,BTG1,APTX,C8orf58,CDC26,C12orf5,PGAM1,GTSF1,INPP5E,NA,MRPS28,SNX30
5766,KLRG1,ABLIM1,TBRG1,RP11-796E2.4,DNAJA1,CCAR2,PRPF4,C12orf4,EXOSC1,NCKAP1L,SEC16A,NA,TPD52,ZNF883
5767,A2M-AS1,FAM160B1,TMEM218,EEA1,SMU1,BIN3,HDHD3,DYRK4,ZDHHC16,TESPA1,NOTCH1,NA,ZBTB10,ZFP37
5768,A2M,TRUB1,FEZ1,NUDT4,B4GALT1,EGR3,ALAD,NDUFA9,MMS19,BLOC1S1,EGFL7,NA,RP11-48B3.4,SLC31A2
5769,LINC00987,KIAA1598,EI24,UBE2N,BAG1,RHOBTB2,POLE3,CD9,UBTD1,CD63,AGPAT2,NA,ZNF704,FKBP15
5770,KLRB1,PDZD8,STT3A,MRPL42,CHMP5,TNFRSF10B,RGS3,TNFRSF1A,PI4K2A,SARNP,SNHG7,NA,PAG1,SLC31A1
5771,CLEC2D,RAB11FIP2,CHEK1,SOCS2,NFX1,TNFRSF10D,ZNF618,LTBR,AVPI1,ORMDL2,TMEM141,NA,FABP5,CDC26
5772,CLECL1,FAM204A,HYLS1,CRADD,AQP3,TNFRSF10A,AMBP,CD27-AS1,MARVELD1,DNAJC14,RABL6,NA,FABP4,PRPF4
5773,CD69,CACUL1,PUS3,PLXNC1,NOL6,CHMP7,ORM1,CD27,ZFYVE27,WIBG,PHPT1,NA,IMPA1,HDHD3
5774,KLRF1,EIF3A,RPUSD4,CCDC41,UBE2R2,R3HCC1,ORM2,TAPBPL,R3HCC1L,DGKA,MAMDC4,NA,ZFAND1,ALAD
5775,CLEC2B,FAM45A,FAM118B,TMCC3,UBAP2,LOXL2,AKNA,VAMP1,HPS1,CDK2,EDF1,NA,CHMP4C,POLE3
5776,CLEC12A,SFXN4,SRPR,NDUFA12,DCAF12,ENTPD4,DFNB31,MRPL51,GOT1,RAB5B,TRAF2,NA,SNX16,RGS3
5777,CLEC1B,PRDX3,FOXRED1,NR2C1,UBAP1,SLC25A37,ATP6V1G1,NCAPD2,SLC25A28,RPS26,FBXW5,NA,LRRCC1,ZNF618
5778,CLEC7A,GRK5,DCPS,VEZT,NUDT2,NKX3-1,C9orf91,GAPDH,ENTPD7,PA2G4,C8G,NA,E2F5,AMBP
5779,GABARAPL1,RGS10,ST3GAL4,METAP2,KIAA1161,STC1,TNFSF15,RP5-940J5.9,CUTC,RPL41,PTGDS,NA,C8orf59,COL27A1
5780,KLRD1,TIAL1,ETS1,SNRPF,FAM219A,ADAM28,TNFSF8,IFFO1,COX15,ZC3H10,C9orf142,NA,CA13,ORM1
5781,KLRK1,BAG3,FLI1,LTA4H,RPP25L,DOCK5,TLR4,NOP2,DNMBP,ESYT1,CLIC3,NA,CA2,ORM2
5782,KLRC4,INPP5F,NFRKB,ELK3,DCTN3,GNRH1,CDK5RAP2,CHD4,ERLIN1,MYL6B,ABCA2,NA,WWP1,AKNA
5783,KLRC3,MCMBP,APLP2,CDK17,SIGMAR1,KCTD9,MEGF9,ACRBP,CHUK,MYL6,NPDC1,NA,RMDN1,ATP6V1G1
5784,KLRC2,SEC23IP,ZBTB44,NEDD1,GALT,CDCA2,FBXW2,ING4,CWF19L1,SMARCC2,UAP1L1,NA,CPNE3,C9orf91
5785,KLRC1,WDR11,SNX19,TMPO,IL11RA,PPP2R2A,PSMD5,ZNF384,BLOC1S2,RNF41,MAN1B1,NA,RP11-37B2.1,TNFSF15
5786,RP11-291B21.2,ATE1,IGSF9B,SLC25A3,RP11-195F19.5,BNIP3L,PSMD5-AS1,COPS7A,SCD,NABP2,DPP7,NA,RIPK2,TRIM32
5787,MAGOHB,NSMCE4A,NCAPD3,IKBIP,CCL21,DPYSL2,PHF19,MLF2,SEC31B,ANKRD52,ANAPC2,NA,OSGIN2,TLR4
5788,YBX3,PLEKHA1,VPS26B,APAF1,DNAJB5,TRIM35,TRAF1,PTMS,NDUFB8.1,COQ10A,SSNA1,NA,NBN,CDK5RAP2
5789,PRR4,FAM24B,THYN1,UHRF1BP1L,VCP,PTK2B,C5,LAG3,HIF1AN,CS,TMEM203,NA,DECR1,MEGF9
5790,ETV6,C10orf88,ACAD8,ACTR6,FANCG,EPHX2,CNTRL,CD4,FAM178A,CNPY2,TUBB4B,NA,TMEM64,FBXW2
5791,LOH12CR1,PSTK,KDM5A,SCYL2,PIGO,CLU,RAB14,GPR162,MRPL43,PAN2,NELFB,NA,C8orf88,PSMD5
5792,DUSP16,IKZF5,NINJ2,UTP20,STOML2,CCDC25,GSN,USP5,LZTS2,IL23A,TOR4A,NA,TMEM55A,PSMD5-AS1
5793,CREBL2,ACADSB,WNK1,ARL1,FAM214B,ESCO2,STOM,TPI1,SFXN3,STAT2,NRARP,NA,GS1-251I9.4,PHF19
5794,CDKN1B,BUB3,ERC1,CHPT1,UNC13B,PBK,NDUFA8,SPSB2,BTRC,TIMELESS,EXD3,NA,OTUD6B,TRAF1
5795,APOLD1,CHST15,ADIPOR2,GNPTAB,TESK1,ELP3,RBM18,LRRC23,DPCD,BAZ2A,NOXA1,NA,LRRC69,C5
5796,DDX47,OAT,CACNA2D4,DRAM1,CD72,PNOC,MRRF,ATN1,POLL,ATP5B,NSMF,NA,TRIQK,CNTRL
5797,HEBP1,LHPP,DCP1B,CCDC53,CCDC107,ZNF395,PTGS1,C12orf57,FBXW4,PTGES3,MRPL41,NA,FAM92A1,RAB14
5798,ATF7IP,FAM53B,FKBP4,NUP37,TPM2,FBXO16,PDCL,PTPN6,NPM3,NACA,DPH7,NA,RBM12B,GSN
5799,H2AFJ,METTL10,ITFG2,HSP90B1,TLN1,FZD3,RC3H2,EMG1,MGEA5,PRIM1,ZMYND19,NA,TMEM67,STOM
5800,WBP11,FAM175B,RHNO1,C12orf73,CREB3,EXTL3,ZBTB6,PHB2,C10orf76,HSD17B6,ARRDC1,NA,PDP1,DAB2IP
5801,C12orf60,ZRANB1,TULP3,TDG,GBA2,INTS9,ZBTB26,LPCAT3,HPS6,TMEM194A,C9orf37,NA,GEM,NDUFA8
5802,MGP,RP11-298J20.3,EFCAB4B,HCFC2,RGP1,HMBOX1,RABGAP1,C1S,LDB1,NAB2,EHMT1,NA,RAD54B,RBM18
5803,ARHGDIB,CTBP2,PARP11,NFYB,MSMP,KIF13B,STRBP,C1R,PPRC1,STAT6,ZMYND11,NA,KIAA1429,MRRF
5804,STRAP,EDRF1,RP11-664D1.1,TXNRD1,NPR2,DUSP4,DENND1A,C1RL,NOLC1,SHMT2,LARP4B,NA,DPY19L4,PDCL
5805,DERA,UROS,CCND2,EID3,HINT2,TMEM66,NEK6,CD163,GBF1,STAC3,GTPBP4,NA,INTS8,RC3H2
5806,MGST1,BCCIP,C12orf5,CHST11,TMEM8B,RP11-489E7.4,PSMB7,SLC2A3,NFKB2,R3HDM2,IDI1,NA,CCNE2,ZBTB26
5807,PLEKHA5,ADAM12,C12orf4,C12orf45,RECK,LEPROTL1,NR6A1,FOXJ2,FBXL15,ARHGAP9,WDR37,NA,NDUFAF6,RABGAP1
5808,AEBP2,PTPRE,RAD51AP1,KIAA1033,GLIPR2,RP11-51J9.5,RPL35,C3AR1,CUEDC2,MARS,PFKP,NA,TP53INP1,STRBP
5809,PYROXD1,MKI67,DYRK4,APPL2,CLTA,DCTN6,ARPC5L,NECAP1,TMEM180,DDIT3,PITRM1,NA,PLEKHF2,DENND1A
5810,RECQL,MGMT,NDUFA9,C12orf75,GNE,RBPMS,GOLGA1,CLEC4A,ACTR1A,DCTN2,KLF6,NA,C8orf37,NEK6
5811,GOLT1B,GLRX3,CD9,TCP11L2,RNF38,GTF2E2,SCAI,LINC00937,SUFU,PIP4K2C,AKR1C1,NA,UQCRB,PSMB7
5812,LDHB,PPP2R2D,TNFRSF1A,RIC8B,RP11-220I1.1,GSR,PPP6C,CLEC4D,RP11-47A8.5,OS9,AKR1C3,NA,MTERFD1,NR6A1
5813,CMAS,BNIP3,LTBR,C12orf23,ZCCHC7,PPP2CB,RABEPK,CLEC4E,TRIM8,AGAP2,AKR1C4,NA,PTDSS1,RPL35
5814,C2CD5,STK32C,CD27-AS1,MTERFD3,GRHPR,WRN,HSPA5,RIMKLB,ARL3,TSPAN31,NET1,NA,SDC2,ARPC5L
5815,ETNK1,LRRC27,CD27,CRY1,ZBTB5,NRG1,GAPVD1,PHC1,WBP1L,CDK4,FAM208B,NA,CPQ,GOLGA1
5816,LRMP,PWWP2B,TAPBPL,PWP1,POLR1E,RP11-11N9.4,MAPKAP1,M6PR,C10orf32,MARCH9,GDI2,NA,TSPYL5,SCAI
5817,LYRM5,ADAM8,VAMP1,PRDM4,FBXO10,FUT10,PBX3,KLRG1,NT5C2,METTL1,ANKRD16,NA,MTDH,PPP6C
5818,KRAS,TUBGCP2,MRPL51,SART3,TOMM5,TTI2,MVB12B,A2M,PCGF6,TSFM,FBXO18,NA,LAPTM4B,RABEPK
5819,ITPR2,ZNF511,NCAPD2,ISCU,TRMT10B,MAK16,ZBTB43,KLRB1,TAF5,CTDSP2,IL15RA,NA,MATN2,HSPA5
5820,ASUN,FUOM,GAPDH,SELPLG,EXOSC3,RNF122,ZBTB34,CLEC2D,USMG5,RP11-620J15.3,RBM17,NA,RPL30,GAPVD1
5821,FGFR1OP2,ECHS1,RP5-940J5.9,CORO1C,DCAF10,ZNF703,SLC2A8,CLECL1,PDCD11,SLC16A7,PFKFB3,NA,C8orf47,MAPKAP1
5822,TM7SF3,PAOX,IFFO1,SSH1,SLC25A51,ERLIN2,RPL12,CD69,CALHM2,USP15,PRKCQ,NA,HRSP12,PBX3
5823,MED21,MTG1,NOP2,USP30-AS1,SHB,PROSC,LRSAM1,KLRF1,NEURL1,MON2,PRKCQ-AS1,NA,POP1,MVB12B
5824,STK38L,CYP2E1,CHD4,ALKBH2,ALDH1B1,BRF2,FAM129B,CLEC2B,SH3PXD2A,TMEM5,SFMBT2,NA,NIPAL2,ZBTB43
5825,MRPS35,BET1L,ING4,UNG,ZNF658,RAB11FIP1,PTRH1,CLEC12A,OBFC1,XPOT,ITIH2,NA,STK3,ZBTB34
5826,KLHL42,RIC8A,COPS7A,KCTD10,RP11-204M4.2,EIF4EBP1,TOR2A,CLEC1B,SLK,TBK1,KIN,NA,OSR2,SLC2A8
5827,CCDC91,SIRT3,MLF2,UBE3B,RP11-475I24.3,ASH2L,SH2D3C,CLEC7A,SFR1,RASSF3,ATP5C1,NA,RP11-410L14.2,RPL12
5828,FAR2,PSMD13,PTMS,MMAB,RP11-187C18.2,LSM1,CDK9,OLR1,GSTO1,GNS,TAF3,NA,VPS13B,LRSAM1
5829,ERGIC2,ATHL1,LAG3,MVK,FAM27A,BAG4,FPGS,TMEM52B,ITPRIP,LEMD3,GATA3,NA,COX6C,FAM129B
5830,IPO8,IFITM2,CD4,GLTP,RP11-111F5.4,DDHD2,ENG,GABARAPL1,XPNPEP1,LLPH,CELF2,NA,POLR2K,STXBP1
5831,CAPRIN2,IFITM1,CDCA3,TCHP,RP11-262H14.4,PPAPDC1B,AK1,KLRD1,ADD3,TMBIM4.1,USP6NL,NA,SPAG1,PTRH1
5832,FAM60A,RP11-326C3.11,USP5,GIT2,CBWD6,WHSC1L1,ST6GALNAC6,KLRC1,MXI1,IRAK3,ECHDC3,NA,RNF19A,TOR2A
5833,AMN1,IFITM3,TPI1,ANKRD13A,ANKRD20A4,RP11-350N15.5,ST6GALNAC4,MAGOHB,SMNDC1,HELB,UPF2,NA,ANKRD46,SH2D3C
5834,H3F3C,SIGIRR,SPSB2,C12orf76,CBWD5,LETM2,DPM2,YBX3,DUSP5,CAND1,DHTKD1,NA,PABPC1,CDK9
5835,KIAA1551,ANO9,LRRC23,ATP2A2,AL591479.1,FGFR1,FAM102A,PRR4,SMC3,DYRK2,SEC61A2,NA,YWHAZ,FPGS
5836,DNM1L,PTDSS2,ENO2,ANAPC7,CBWD3,TACC1,NAIF1,ETV6,PDCD4-AS1,IFNG,NUDT5,NA,ZNF706,ENG
5837,YARS2,RNH1,ATN1,ARPC3,PGM5,PLEKHA2,SLC25A25,LOH12CR1,PDCD4,MDM1,CDC123,NA,NCALD,AK1
5838,KIF21A,HRAS,C12orf57,GPN3,RP11-88I18.2,TM2D2,PTGES2,CREBL2,BBIP1,RP11-81H14.2,CAMK1D,NA,RRM2B,ST6GALNAC6
5839,ABCD2,RASSF7,PTPN6,VPS29,FAM122A,ADAM9,LCN2,CDKN1B,SHOC2,RAP1B,OPTN,NA,KB-431C1.4,ST6GALNAC4
5840,SLC2A13,PHRF1,EMG1,PPTC7,FXN,IDO1,C9orf16,APOLD1,ACSL5,NUP107,PHYH,NA,UBR5,DPM2
5841,GXYLT1,IRF7,PHB2,HVCN1,TJP2,C8orf4,CIZ1,DDX47,ZDHHC6,SLC35E3,SEPHS1,NA,KLF10,FAM102A
5842,YAF2,DEAF1,LPCAT3,PPP1CC,PTAR1,GOLGA7,GOLGA2,HEBP1,VTI1A,MDM2,PRPF18,NA,KB-1732A1.1,NAIF1
5843,PPHLN1,EPS8L2,C1S,SH2B3,SMC5,GINS4,SWI5,EMP1,TCF7L2,CPSF6,FAM107B,NA,AZIN1,SLC25A25
5844,ZCRB1,TMEM80,C1R,ATXN2,KLF9,AGPAT6,TRUB2,ATF7IP,CASP7,LYZ,CDNF,NA,KB-1507C5.2,PTGES2
