B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	Neurons	NK	NKT	Pericyte	Plasma
NA	BAZ2A	TSPO	NA	ARPC4	PHLDA1	PROCR	MAMDC2	NA	NA	CAV1	NA	NA	SIVA1	FKBP11
NA	TNFRSF1B	TMEM123	NA	SPP1	DUSP1	SDCBP	NUPR1	NA	NA	RPL35	NA	NA	ATF6B	EIF3D
NA	HLA-DQB1	TIGIT	NA	IVNS1ABP	ZFP36L2	PTK7	FUCA1	NA	NA	RPL38	NA	NA	DDX21	RPL36AL
NA	MAST4	SH2D1A	NA	C19orf24	CD109	CEBPD	LYZ	NA	NA	TPM4	NA	NA	MT-ND4L	EEF1B2
NA	GGNBP2	DDX3X	NA	RPL17	PRKACB	MMP1	PLAU	NA	NA	EPB41L2	NA	NA	ABRACL	RPN2
NA	ZFP36	CD96	NA	HERPUD1	GLIPR2	SLC20A1	CD82	NA	NA	PPDPF	NA	NA	CTSC	SLC25A6
NA	IL21R	ABI3	NA	ANGPTL2	CSTB	SCPEP1	AGR2	NA	NA	CNN3	NA	NA	SF3B5	EVI2A
NA	BCAP31	MLLT3	NA	HSPE1	TPPP3	ADD3	IL7R	NA	NA	NAP1L1	NA	NA	TNFAIP6	RPS28
NA	TRAF1	MIR155HG	NA	SYPL1	TRMT112	VMP1	MEF2C	NA	NA	ERMN	NA	NA	S100A11	GLIPR1
NA	TOMM7	CTSD	NA	IFI6	SULT1B1	SPOCK1	WASF2	NA	NA	NT5E	NA	NA	COL12A1	S100A4
NA	PCED1B	PTMS	NA	PGM2L1	ITGB4	GLUL	NCF4	NA	NA	LINC00520	NA	NA	RRBP1	CD79A
NA	OCIAD2	GNLY	NA	HLA-C	WNK2	ITM2B	RPS12	NA	NA	GJA1	NA	NA	MYH9	RHOA
NA	MAP1LC3A	PSTPIP1	NA	TPM1	HOXB13	ATP2A2	PLTP	NA	NA	SRSF5	NA	NA	SRSF10	NUPR1
NA	LGALS3	BBX	NA	NDST1	SLC44A4	CPXM1	COL1A2	NA	NA	ABCA8	NA	NA	ECE1	NDUFAF6
NA	MAGEH1	MXD4	NA	GIMAP1	NR4A1	LGALS3BP	GATM	NA	NA	RPS26	NA	NA	GUCY1A2	CTA-384D8.34
NA	DYNLRB1	LAG3	NA	ARL6IP5	EGR1	DKK3	PGK1	NA	NA	NACA	NA	NA	CTSB	KLF13
NA	NDUFC1	ATP5EP2	NA	SH3GLB1	UNC93B1	CD82	GPR34	NA	NA	SYPL1	NA	NA	GPX7	IL2RG
NA	RP11-138A9.1	PHF1	NA	ARHGDIB	RARRES2	GPX7	FCGR2A	NA	NA	JUN	NA	NA	TM9SF2	RPS21
NA	PIM2	SSBP4	NA	CCT6A	TPM4	ADAMTS12	NCF1	NA	NA	RAB13	NA	NA	KCNE4	RPL37A
NA	RFTN1	TNIP3	NA	AKAP13	COX5B	CLIC4	GLTSCR2	NA	NA	HES1	NA	NA	REEP3	PDXK
NA	SOD1	ATF4	NA	MRPL41	KLK8	PI16	SEC61G	NA	NA	CLEC2B	NA	NA	IL6ST	CHST12
NA	MTDH	VPS28	NA	HLA-DPA1	ZFAS1	IGFBP7	S100P	NA	NA	RHOB	NA	NA	MYL12A	SERF2
NA	PDE3B	HLA-DMA	NA	FSCN1	CRIP1	NNMT	RPL35	NA	NA	RPSA	NA	NA	FRZB	FXYD5
NA	MX1	AP3S1	NA	SEC61A1	DUSP4	MSRB3	GSTO1	NA	NA	MIR210HG	NA	NA	ATP6V0B	RPL36
NA	LDHA	NSA2	NA	PLOD1	FAM162A	LXN	CSF1R	NA	NA	CAPG	NA	NA	PEAK1	CPEB4
NA	DUT	ARPC1B	NA	EIF4EBP1	RARRES3	RUNX2	RPL4	NA	NA	TUBA1A	NA	NA	NDUFB9	NDUFB11
NA	HLA-DQA1	ATP5H	NA	TPM4	IL32	QSOX1	SERF2	NA	NA	ENO2	NA	NA	LASP1	RPL36A
NA	YWHAB	TNFAIP3	NA	MT1E	MX1	SUGCT	PLA2G7	NA	NA	LTBP1	NA	NA	ANAPC16	H1FX
NA	PRDM1	IFNG	NA	SHC1	METTL7A	COL6A3	WWP1	NA	NA	CA12	NA	NA	MT-ND5	RPL12
NA	CRIP1	FAM96B	NA	IGFBP3	KLK7	MATN2	RPS28	NA	NA	LINC00152	NA	NA	LAMB3	HSPA6
NA	MT-CO1	RPL24	NA	MYO1B	EPSTI1	TMEM59	IL1RN	NA	NA	TUBA1B	NA	NA	PDIA6	PDIA6
NA	DYNLL1	STMN3	NA	SPRY1	PDZK1IP1	DSG2	SEPW1	NA	NA	NCAM1	NA	NA	HIF1A	NOP10
NA	ZC3H7A	SLIRP	NA	IGHA2	SPIB	JUN	MS4A7	NA	NA	TPBG	NA	NA	ZFP36	RP11-160E2.6
NA	CCDC85B	MYL12A	NA	COX7B	CYB5B	MYO1B	TGM2	NA	NA	FAU	NA	NA	SEC61A1	IGLC2
NA	NSA2	MX1	NA	SLC29A1	PTP4A1	RP11-400N13.3	PLA2G16	NA	NA	SPHK1	NA	NA	MT-CO1	ELF3
NA	NUCB2	TOX	NA	EMP1	TMPRSS3	RCN3	PLIN2	NA	NA	CNN2	NA	NA	PCNP	ST13
NA	RELB	SNF8	NA	CYSTM1	ACAT1	BLVRB	MT-ND2	NA	NA	ADAMTS6	NA	NA	MAF1	COX6B1
NA	MIR4435-2HG	GZMB	NA	NHP2	BAIAP2	EVA1A	PABPC1	NA	NA	SLC2A1	NA	NA	GLRX3	HBA2
NA	CCR7	DDIT4	NA	THBS1	POMP	EDNRA	TPT1	NA	NA	ERRFI1	NA	NA	SHMT2	SLC5A3
NA	ISCU	AC133644.2	NA	SLC14A1	UQCRFS1	PLD3	GPX2	NA	NA	TXNIP	NA	NA	HLA-A	NDUFA4
NA	BTG3	GLIPR1	NA	SERF2	FOS	KIF26B	CXCL12	NA	NA	HIGD2A	NA	NA	ASPN	RPL23
NA	MGAT4A	PNRC2	NA	GJA1	AOC1	CUX1	FOS	NA	NA	PFDN5	NA	NA	CALR	RPS9
NA	SYNE3	CCT3	NA	PTP4A2	CPM	DPYSL3	MT-ND1	NA	NA	RPS21	NA	NA	TNFAIP3	LAP3
NA	PARP8	RCAN3	NA	HES1	OCIAD2	CNBP	RPL18	NA	NA	RPL4	NA	NA	SPTBN1	SSR3
NA	AC020571.3	PUM1	NA	HLA-DMA	TFCP2L1	FLNA	RPS7	NA	NA	TMEM91	NA	NA	MVP	CD74
NA	RP11-596C23.2	CD55	NA	SOX4	RPS7	ATRAID	IGFBP7	NA	NA	TTYH1	NA	NA	NID2	LY96
NA	XAF1	GGA2	NA	FSTL1	ACADS	RHOB	HSPA1B	NA	NA	GNG5	NA	NA	IFI6	UQCR11
NA	ATP6AP2	HSPB11	NA	RHOJ	DPYSL2	LCN2	ERO1A	NA	NA	FSTL1	NA	NA	CIRBP	COX8A
NA	GIMAP4	SYNE1	NA	FLNA	LAMA5	TCF21	TIMP1	NA	NA	TBCB	NA	NA	CD248	RASGRP3
NA	S100A11	PIGR	NA	PDLIM7	DPEP1	RP11-14N7.2	B3GNT5	NA	NA	RHEB	NA	NA	KDELR2	RPL22
NA	TMEM123	RPLP1	NA	GRB10	REEP6	BCAR1	BHLHE40	NA	NA	GYPC	NA	NA	LHFP	FKBP1A
NA	MRPL57	TMEM107	NA	CNIH1	IL1R2	ITGB1	GPX4	NA	NA	COMMD6	NA	NA	TNFRSF1A	ATP5L
NA	SYTL3	BTN3A2	NA	AHNAK	RHOD	RAB27A	HLA-DMA	NA	NA	RPL3	NA	NA	ADAMTS2	RPS4Y1
NA	PAG1	DTHD1	NA	FAAP20	S100A13	MAP4K4	DAB2	NA	NA	ANXA1	NA	NA	RCN1	LAX1
NA	TRAM1	HSPB1	NA	RGS3	CXCL8	F10	IGHG1	NA	NA	PDLIM4	NA	NA	TNFRSF12A	NDUFA6
NA	TSPAN14	RP11-222K16.2	NA	MGAT4A	FSCN1	PLEC	RHEB	NA	NA	ARL4C	NA	NA	INHBA	TSPAN8
NA	PARK7	CD7	NA	OAF	GTF3A	TMEM2	FKBP5	NA	NA	GLIPR1	NA	NA	PCMT1	TBCA
NA	JUNB	CCZ1	NA	PRSS23	HADH	PAM	ID3	NA	NA	ARHGAP15	NA	NA	TMEM165	PRDX1
NA	THEMIS	HAX1	NA	ABRACL	PRAC1	CAV2	CD109	NA	NA	CDCP1	NA	NA	MCL1	ALDOA
NA	DUSP2	CFLAR	NA	LPAR6	WDR72	APP	C4orf3	NA	NA	FAP	NA	NA	CAMTA1	RPL24
NA	PRKX	RNASET2	NA	IPO11	ASPHD1	MAPKAPK2	ITGA5	NA	NA	DARS	NA	NA	CNIH1	NME1
NA	SELPLG	CD24	NA	GTF2I	LDHD	SEC61A1	OTOA	NA	NA	HMGA1	NA	NA	NAP1L1	C19orf24
NA	SEC61G	APOBEC3C	NA	RNF7	URAD	CNN1	IFI16	NA	NA	PPP1R12A	NA	NA	PARVA	RPS10
NA	NEAT1	RPL30	NA	ACTG1	S100A2	TNC	HEXB	NA	NA	GFRA3	NA	NA	TACC1	POMP
NA	TMIGD2	NA	NA	TGFB1	ALDOA	TNS3	RPS27	NA	NA	PLIN2	NA	NA	ILF2	GAPDH
NA	CD58	NA	NA	SEMA6B	ID1	TSPAN2	PLXDC2	NA	NA	RAB34	NA	NA	SSR3	MALAT1
NA	SYNGR2	NA	NA	ARHGEF15	LMTK3	SOD2	RPL3	NA	NA	KRT8	NA	NA	EGFL6	RNF213
NA	HSPE1	NA	NA	WWTR1	IER2	OSTC	FAU	NA	NA	FTH1	NA	NA	SDC2	SMDT1
NA	PTGER2	NA	NA	NDUFB2	NPM1	XIST	BGN	NA	NA	PHB2	NA	NA	MGST3	CD27
NA	PRNP	NA	NA	JAK1	COX5A	CSGALNACT2	DPT	NA	NA	TMEM71	NA	NA	TMEM30A	PRDX5
NA	NDUFA6	NA	NA	MYO5A	MIR4435-2HG	FBLN5	HPGDS	NA	NA	VAMP2	NA	NA	SRSF5	RABAC1
NA	ANKRD28	NA	NA	FAM198B	HSP90AA1	MIR4435-2HG	RPL12	NA	NA	COL9A3	NA	NA	LGI4	HLA-A
NA	HLA-C	NA	NA	MLEC	RP11-350J20.12	IGHA2	CD81	NA	NA	AP1S2	NA	NA	ATP5EP2	PSME2
NA	IKZF1	NA	NA	LDHB	GUCA2A	NBL1	ASAH1	NA	NA	NBEAL1	NA	NA	MT-CO3	JUNB
NA	EFHD2	NA	NA	SHROOM4	RP11-395B7.2	PXDN	TUBA1C	NA	NA	EIF3H	NA	NA	ZNF90	LAPTM5
NA	REXO2	NA	NA	PSMB9	RNF186	BLOC1S1	MMP14	NA	NA	DAB2	NA	NA	PPIB	FTL
NA	EIF3H	NA	NA	LEF1	MIR4458HG	FAT1	IFI30	NA	NA	ITGA5	NA	NA	ADAM9	ARID5B
NA	C12orf57	NA	NA	TM9SF3	CA7	PDPN	KLF2	NA	NA	ENTHD1	NA	NA	DNAJC15	EEF2
NA	ERAP2	NA	NA	CD81	ENO1	EPSTI1	TMEM167A	NA	NA	UNC5B	NA	NA	EPHX1	HSPA8
NA	TC2N	NA	NA	PCDH12	GGT6	SHC1	SDS	NA	NA	CALB2	NA	NA	MXRA8	NA
NA	CH17-373J23.1	NA	NA	GRAMD1A	OLFM4	KIFC3	FTL	NA	NA	MME	NA	NA	PLOD2	NA
NA	CD226	NA	NA	CALU	IGFBP7	TSPAN4	CADM1	NA	NA	MMP7	NA	NA	AHCYL1	NA
NA	IL4R	NA	NA	CMIP	UBA52	F2R	RPL36A	NA	NA	WFDC3	NA	NA	FOXS1	NA
NA	GNG5	NA	NA	TJP1	CDHR1	VGLL4	AHNAK	NA	NA	NRN1	NA	NA	EGR1	NA
NA	ELOVL5	NA	NA	GALNT1	HLA-G	SLC6A6	PFN1	NA	NA	KRT19	NA	NA	SELK	NA
NA	PIP4K2A	NA	NA	CNN3	FOSB	APOE	RPS29	NA	NA	HNMT	NA	NA	MLX	NA
NA	CHCHD10	NA	NA	CHD3	PARM1	TMEM167A	RPS15A	NA	NA	RUNX1	NA	NA	RPL39	NA
NA	ZFAS1	NA	NA	ATP6V0B	KIAA1324	BHLHE40	CORO1C	NA	NA	SPTSSA	NA	NA	NDUFC1	NA
NA	LPAR6	NA	NA	ZFP36L2	PMEPA1	LAPTM4A	NAMPT	NA	NA	FHL3	NA	NA	ACTR3	NA
NA	LGALS9	NA	NA	LIMCH1	RBPMS	C9orf3	THEMIS2	NA	NA	PNISR	NA	NA	KRT19	NA
NA	GBP5	NA	NA	SOD1	WFDC2	ID3	ITM2B	NA	NA	NTM	NA	NA	ENC1	NA
NA	CTSL	NA	NA	HLA-DRA	SPNS2	LOX	TMEM51	NA	NA	COL3A1	NA	NA	PFN1	NA
NA	RHBDD2	NA	NA	TINAGL1	GRINA	FHL3	A2M	NA	NA	CADM1	NA	NA	SEC11A	NA
NA	CLEC2B	NA	NA	THSD7A	MAOA	C1QTNF1	GUCA2A	NA	NA	DDX24	NA	NA	LAMB1	NA
NA	STOM	NA	NA	BACE2	GMNN	DUSP23	YWHAZ	NA	NA	CMTM5	NA	NA	KRT8	NA
NA	REEP3	NA	NA	SNHG7	TMEM54	COL8A1	FCGR2B	NA	NA	SMIM3	NA	NA	AP2S1	NA
NA	GNAI2	NA	NA	ELF1	RPS5	ADAMTS6	MXD1	NA	NA	CCDC109B	NA	NA	ITIH5	NA
NA	SUB1	NA	NA	LGALS3	GSTA1	GRN	GNB2L1	NA	NA	PFN1	NA	NA	S100A13	NA
NA	NA	NA	NA	G3BP1	COX4I1	UGCG	ERRFI1	NA	NA	KLF6	NA	NA	CD44	NA
NA	NA	NA	NA	ATP2A2	MDK	PTTG1IP	FRMD4B	NA	NA	ATP6AP2	NA	NA	SF1	NA
NA	NA	NA	NA	CAPZA2	DEFB1	REXO2	CD163L1	NA	NA	DYNC1I2	NA	NA	RBMX	NA
NA	NA	NA	NA	UBQLN1	C12orf75	CXCL8	CKLF	NA	NA	ADM	NA	NA	MYL9	NA
NA	NA	NA	NA	NONO	MT1F	IDH2	FLNA	NA	NA	VEGFA	NA	NA	SEC24D	NA
NA	NA	NA	NA	FBL	RPL36	RPL26L1	CD52	NA	NA	COMP	NA	NA	AEBP1	NA
NA	NA	NA	NA	ACTN1	ADAM8	LGALS1	DSE	NA	NA	XKR4	NA	NA	SNRPN	NA
NA	NA	NA	NA	HSPH1	CNN2	PKM	BTG1	NA	NA	SEZ6L2	NA	NA	TGFBI	NA
NA	NA	NA	NA	FBN1	MGST1	OSR2	RPL38	NA	NA	APP	NA	NA	ATP1A1	NA
NA	NA	NA	NA	DNAJC15	VAV3	VAMP2	DCN	NA	NA	CLMP	NA	NA	NSA2	NA
NA	NA	NA	NA	TMEM59	EZR	DCBLD1	GFRA2	NA	NA	ARHGAP22	NA	NA	OSMR	NA
NA	NA	NA	NA	RAP1B	S100P	CST3	BTF3	NA	NA	MSC-AS1	NA	NA	DDOST	NA
NA	NA	NA	NA	CDC42BPB	STARD10	SUSD6	MRC1	NA	NA	SPOCD1	NA	NA	IGFBP5	NA
NA	NA	NA	NA	IGFBP6	AIFM3	PRRX1	COLEC12	NA	NA	PTMA	NA	NA	CRYAB	NA
NA	NA	NA	NA	CALM2	CES3	RTN3	C4orf48	NA	NA	RGCC	NA	NA	PCYOX1	NA
NA	NA	NA	NA	TPM3	LGALS2	PDLIM7	PEA15	NA	NA	SNCA	NA	NA	RPLP2	NA
NA	NA	NA	NA	MRPL17	GPX4	ATP5E	RETN	NA	NA	PAFAH1B3	NA	NA	TOP1	NA
NA	NA	NA	NA	SYCE1L	SLC28A2	GYPC	RPL37A	NA	NA	PRIMA1	NA	NA	CYSTM1	NA
NA	NA	NA	NA	BZW1	CHCHD10	TGFBR3	SCN9A	NA	NA	PHLDB1	NA	NA	VCAN	NA
NA	NA	NA	NA	PLXND1	CXCL16	PLXNB2	RP11-1143G9.4	NA	NA	GREM1	NA	NA	MRPL32	NA
NA	NA	NA	NA	SLC25A3	SMIM14	ACTN4	ITGB1	NA	NA	TYMP	NA	NA	MYOF	NA
NA	NA	NA	NA	HSPD1	GPA33	ITGA5	SULT1A1	NA	NA	THBS1	NA	NA	OSTC	NA
NA	NA	NA	NA	MAP1S	SYNGR2	TMEM132A	RPSA	NA	NA	ACTN1	NA	NA	PXDN	NA
NA	NA	NA	NA	ID1	RPS20	GLS	VMP1	NA	NA	FIBIN	NA	NA	ADGRA2	NA
NA	NA	NA	NA	H2AFY	CA9	NEAT1	BASP1	NA	NA	WSB1	NA	NA	DPYSL2	NA
NA	NA	NA	NA	CD276	CHPF	RAMP1	PPIF	NA	NA	CCT4	NA	NA	UTRN	NA
NA	NA	NA	NA	SNRPD1	RPS19	P4HA3	ABCC3	NA	NA	GABARAPL2	NA	NA	CDC42EP1	NA
NA	NA	NA	NA	EPN1	FCGRT	EMILIN1	MARCKSL1	NA	NA	CAB39L	NA	NA	FOS	NA
NA	NA	NA	NA	GADD45GIP1	FAM127B	STK17B	CCL20	NA	NA	SLC25A6	NA	NA	FAT1	NA
NA	NA	NA	NA	RNF145	CTSS	OLFML3	ATP13A3	NA	NA	CMIP	NA	NA	RSRP1	NA
NA	NA	NA	NA	UBE2F	MACC1	CD55	RARRES3	NA	NA	MFAP2	NA	NA	ZBTB16	NA
NA	NA	NA	NA	CEBPD	CYP4F3	PLN	GAS6	NA	NA	C19orf24	NA	NA	COL6A3	NA
NA	NA	NA	NA	CHP1	CLCA1	P3H4	YWHAH	NA	NA	S100A6	NA	NA	C2	NA
NA	NA	NA	NA	LOXL2	ANXA10	FIGF	TPM1	NA	NA	HSPA2	NA	NA	ARPC5	NA
NA	NA	NA	NA	CLTB	UNC5B-AS1	CTNNB1	ASPH	NA	NA	FAM96B	NA	NA	FAM96B	NA
NA	NA	NA	NA	IGLC2	TFF3	CHI3L1	THBD	NA	NA	ADD3	NA	NA	ZFYVE21	NA
NA	NA	NA	NA	SNRPB	TNNI3	KLF4	SCD	NA	NA	ZFP36	NA	NA	MGP	NA
NA	NA	NA	NA	LINC00657	C2orf88	ICAM1	CEBPD	NA	NA	ELOF1	NA	NA	IER3	NA
NA	NA	NA	NA	CLEC14A	SNU13	C1R	IFI6	NA	NA	RPS10	NA	NA	ARHGAP1	NA
NA	NA	NA	NA	SHE	NEURL1	IL1R1	NQO1	NA	NA	RNF7	NA	NA	HEG1	NA
NA	NA	NA	NA	PMEPA1	SLC6A20	WNT2	RGCC	NA	NA	EID1	NA	NA	CCT6A	NA
NA	NA	NA	NA	PEA15	NOX1	SEC61G	FAM129B	NA	NA	PYCR1	NA	NA	HES1	NA
NA	NA	NA	NA	CDC37	CLIC3	SHISA3	ITSN1	NA	NA	TMEM158	NA	NA	TMED3	NA
NA	NA	NA	NA	PPFIBP1	TNFRSF12A	ANGPTL1	RPS5	NA	NA	SLC12A8	NA	NA	TAX1BP3	NA
NA	NA	NA	NA	TKT	C19orf33	PGM2L1	FAM26F	NA	NA	STC2	NA	NA	CNN3	NA
NA	NA	NA	NA	MYL6	GULP1	TACC1	DNASE2	NA	NA	AEBP1	NA	NA	HSPH1	NA
NA	NA	NA	NA	TRIM28	SAP18	AC090498.1	LILRB4	NA	NA	QKI	NA	NA	RPL13	NA
NA	NA	NA	NA	HNRNPD	SCD	LRPAP1	TCEB2	NA	NA	ZFYVE21	NA	NA	AGTR1	NA
NA	NA	NA	NA	SH3GL1	RPS15A	CD276	RPS21	NA	NA	RPL10A	NA	NA	ANP32B	NA
NA	NA	NA	NA	SEPW1	MIA	LTBP1	AIF1	NA	NA	NFKBIA	NA	NA	GTF3A	NA
NA	NA	NA	NA	PGAM1	TFPI	ZNF281	MIR4435-2HG	NA	NA	DDX5	NA	NA	SMIM3	NA
NA	NA	NA	NA	CD93	ENO2	C9orf16	PDPN	NA	NA	MIEN1	NA	NA	NDUFA5	NA
NA	NA	NA	NA	SH3TC1	BTG2	CPVL	ATOX1	NA	NA	ARHGAP5	NA	NA	SRSF7	NA
NA	NA	NA	NA	USP22	SLCO4A1	PLOD1	GAPLINC	NA	NA	ILK	NA	NA	HSP90B1	NA
NA	NA	NA	NA	DOCK6	BGN	PAMR1	RGS10	NA	NA	RDX	NA	NA	PVRL2	NA
NA	NA	NA	NA	NDUFS8	IFI27L2	GSTM5	ELL2	NA	NA	PCSK2	NA	NA	RPL37	NA
NA	NA	NA	NA	MT2A	ABHD2	CHID1	SDSL	NA	NA	COX7A2L	NA	NA	HN1	NA
NA	NA	NA	NA	SRRM1	ECI2	TMEM176B	HDAC9	NA	NA	ARL3	NA	NA	CAP1	NA
NA	NA	NA	NA	FNDC3B	ZFP36L1	ATP6V1D	SKIL	NA	NA	ID2	NA	NA	RAPGEF2	NA
NA	NA	NA	NA	ELK3	FAM46C	CLTB	PDGFC	NA	NA	TACC1	NA	NA	SLC38A2	NA
NA	NA	NA	NA	FAM101B	PITX1	EIF3J	INHBA	NA	NA	MTHFD2	NA	NA	AGR2	NA
NA	NA	NA	NA	BDKRB2	POLR1D	HSPH1	VEGFA	NA	NA	EEF1B2	NA	NA	KRT10	NA
NA	NA	NA	NA	SLC16A3	ITM2B	UQCC2	LCN2	NA	NA	C8orf4	NA	NA	PTPRE	NA
NA	NA	NA	NA	ATP6V0D1	MAPK13	INAFM1	TNFRSF12A	NA	NA	ARL6IP1	NA	NA	MTRNR2L8	NA
NA	NA	NA	NA	HMGB2	DUSP27	CYBRD1	FLOT1	NA	NA	OCIAD2	NA	NA	PSME2	NA
NA	NA	NA	NA	UGCG	RAB32	SPCS3	GAL3ST4	NA	NA	SCCPDH	NA	NA	WASF2	NA
NA	NA	NA	NA	OSTC	HKDC1	BTG2	CTTNBP2	NA	NA	ARPC4	NA	NA	C1QTNF6	NA
NA	NA	NA	NA	CTDNEP1	CCND2	YAP1	DHRS9	NA	NA	FBL	NA	NA	EPSTI1	NA
NA	NA	NA	NA	SRSF5	LPCAT1	ITPRIPL2	GNG2	NA	NA	EEF2	NA	NA	LMAN1	NA
NA	NA	NA	NA	RGCC	ACVRL1	LBH	MMP19	NA	NA	FRMD4A	NA	NA	COL5A3	NA
NA	NA	NA	NA	BMP1	TRIM54	FBN1	IGHM	NA	NA	RPS7	NA	NA	FAM114A1	NA
NA	NA	NA	NA	ATP5E	SLC4A11	MYH10	LPAR6	NA	NA	ZEB2	NA	NA	CTSK	NA
NA	NA	NA	NA	CKLF	FKBP10	GEM	HN1	NA	NA	CHURC1	NA	NA	EAPP	NA
NA	NA	NA	NA	AFAP1L1	SERPINB5	SRSF5	PGAM1	NA	NA	GOLT1B	NA	NA	PLOD3	NA
NA	NA	NA	NA	NQO1	OST4	LRRFIP1	ALDH1A1	NA	NA	ANXA2	NA	NA	IKBIP	NA
NA	NA	NA	NA	C7orf73	DMKN	C11orf24	ATP6V1B2	NA	NA	GBE1	NA	NA	RP11-14N7.2	NA
NA	NA	NA	NA	EIF4G2	PADI1	CST1	MPEG1	NA	NA	AP3S1	NA	NA	CD9	NA
NA	NA	NA	NA	GTF2A2	CYC1	CYB5A	DBI	NA	NA	CRIP2	NA	NA	DCAF7	NA
NA	NA	NA	NA	TEAD4	RP11-462G2.1	ABHD2	TXNIP	NA	NA	PDGFRA	NA	NA	KNOP1	NA
NA	NA	NA	NA	PSME1	CEMIP	EBF1	ACP5	NA	NA	PTPRN	NA	NA	NDUFV1	NA
NA	NA	NA	NA	FOSL2	PROCR	CDC42EP1	PDXK	NA	NA	SPAG4	NA	NA	EIF2S3	NA
NA	NA	NA	NA	DGKH	EIF1AY	SLC52A2	ADORA3	NA	NA	EVA1A	NA	NA	P4HB	NA
NA	NA	NA	NA	ZNF428	PGK1	IL32	RPS10	NA	NA	ASPHD1	NA	NA	SCP2	NA
NA	NA	NA	NA	RBPMS	STAP2	CLTC	SLC25A6	NA	NA	UPP1	NA	NA	AKAP1	NA
NA	NA	NA	NA	IFNGR1	EPS8L1	ESD	RPS27L	NA	NA	UQCRB	NA	NA	CERCAM	NA
NA	NA	NA	NA	PGF	ATHL1	EIF4E2	TSPAN8	NA	NA	TMEM50A	NA	NA	IFT20	NA
NA	NA	NA	NA	MGST2	ABHD12B	VCL	LPL	NA	NA	GTF2F1	NA	NA	PMEPA1	NA
NA	NA	NA	NA	TSPAN4	CKMT1B	ACTR3	ITGAV	NA	NA	ART3	NA	NA	PRR16	NA
NA	NA	NA	NA	S100P	GABRP	LIMD2	RPS15	NA	NA	PCOLCE	NA	NA	RABGAP1	NA
NA	NA	NA	NA	RBMS1	GAPDH	FSCN1	CPVL	NA	NA	FAM129B	NA	NA	SEP15	NA
NA	NA	NA	NA	TCF4	ID2	RBPJ	SIGLEC1	NA	NA	UGP2	NA	NA	PLIN3	NA
NA	NA	NA	NA	KRT18	ANXA3	PTS	SHMT1	NA	NA	P4HA1	NA	NA	LUC7L3	NA
NA	NA	NA	NA	UBC	FLNA	CILP2	VAMP5	NA	NA	BCYRN1	NA	NA	N4BP2L2	NA
NA	NA	NA	NA	THBD	AKR1B10	RBP4	PGD	NA	NA	RBM39	NA	NA	LZTS1	NA
NA	NA	NA	NA	PPP1R14B	UFM1	EMP3	ATP6V0E1	NA	NA	SPINK1	NA	NA	APOE	NA
NA	NA	NA	NA	PGLS	CTHRC1	SURF4	PLXNC1	NA	NA	PPP1R15A	NA	NA	YAP1	NA
NA	NA	NA	NA	LYVE1	ATP5B	SPON1	ADAM9	NA	NA	SOD1	NA	NA	ZNF207	NA
NA	NA	NA	NA	SPRY4	RPL13	EMC10	ABCG1	NA	NA	CST3	NA	NA	STUB1	NA
NA	NA	NA	NA	METTL9	RPS16	SEC24D	RBPJ	NA	NA	PGK1	NA	NA	BHLHE40	NA
NA	NA	NA	NA	CFL1	HIGD1A	PRELP	CXCL1	NA	NA	KCNK5	NA	NA	NTMT1	NA
NA	NA	NA	NA	HNRNPA3	PTTG1IP	PGRMC1	EEF1D	NA	NA	NUCKS1	NA	NA	SERPINE1	NA
NA	NA	NA	NA	HLA-F	EMP1	ATOX1	ROMO1	NA	NA	FEZ2	NA	NA	FAM162A	NA
NA	NA	NA	NA	MAP1LC3B	RBP1	PTP4A1	CD300E	NA	NA	PHLDA3	NA	NA	RARRES2	NA
NA	NA	NA	NA	ID2	FABP6	SERPING1	CLEC7A	NA	NA	FUNDC2	NA	NA	AKAP9	NA
NA	NA	NA	NA	MOB1A	PAPSS2	CKAP4	PHGR1	NA	NA	C12orf57	NA	NA	C14orf166	NA
NA	NA	NA	NA	RALGAPA2	AGPAT2	TMEM45A	TSC22D1	NA	NA	COL1A1	NA	NA	GPSM3	NA
NA	NA	NA	NA	APLNR	MRPS18A	GOLM1	MSR1	NA	NA	PIK3R1	NA	NA	AIMP1	NA
NA	NA	NA	NA	EPB41L2	RHOBTB3	CTSF	DYNLL1	NA	NA	NDUFB9	NA	NA	PNRC2	NA
NA	NA	NA	NA	VIM	IGHG1	STRA6	ZFHX3	NA	NA	PYURF	NA	NA	F3	NA
NA	NA	NA	NA	MTRNR2L8	MPC1	PLXDC2	EMP1	NA	NA	COX20	NA	NA	MRPL51	NA
NA	NA	NA	NA	PGK1	CES2	HN1	NUP58	NA	NA	PLAUR	NA	NA	CAPZA1	NA
NA	NA	NA	NA	DDX24	PPIA	COL18A1	JAML	NA	NA	ARL2	NA	NA	CHSY1	NA
NA	NA	NA	NA	KIFC3	PRNP	LRRC59	FXYD3	NA	NA	EIF2S3	NA	NA	MRPL36	NA
NA	NA	NA	NA	TM4SF1	BACE2	SCARF2	CHID1	NA	NA	PRPS2	NA	NA	PSMA4	NA
NA	NA	NA	NA	MYO10	SPINK1	STAT2	CD36	NA	NA	PTK7	NA	NA	AC013461.1	NA
