B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	Neurons	NK	NKT	Pericyte	Plasma
LY6E	NCK2	ABRACL	NA	YWHAG	IFITM2	HAPLN3	S100A6	NA	NA	GSN	NA	ATG3	MT-ATP6	RPS16
ZFP36	EIF5	LEPROTL1	NA	LAMB1	MSLN	TUBA1C	RPS3A	NA	NA	NDRG2	NA	GAA	AES	RPS27A
VIM	ADAR	NFKBIA	NA	ITGA5	DHRS11	ZBTB16	EEF1A1	NA	NA	CPE	NA	TNFRSF18	ENG	RPL21
MIDN	IL7R	RPS17	NA	ENO1	IGKC	FHL1	RPL22	NA	NA	SERPINE1	NA	EVL	THY1	DERL3
MBNL1	IL27RA	EIF3G	NA	PPIA	SPP1	PLAUR	LILRB5	NA	NA	RPS25	NA	SNRPC	PCSK7	TXNIP
PRKX	TFF3	DNPH1	NA	EEF1A1	SUCLG2	A1BG	REG4	NA	NA	LUM	NA	NA	SOX4	LDHA
CD37	NDFIP2	PMF1	NA	MAP4K4	PSCA	P4HB	FTH1	NA	NA	COL6A3	NA	NA	ISG15	EVI2B
PDCD4	PPM1G	GLO1	NA	EPHX1	TDP2	BMP1	RPS11	NA	NA	PLOD2	NA	NA	VCAM1	RPL32
UBE2J1	RTKN2	RGL4	NA	HNRNPAB	MMP1	ITGAV	SDC2	NA	NA	SEPP1	NA	NA	ZFAND5	HSPE1
SNHG7	SPARC	CD82	NA	PKM	CDX1	MXRA5	CCL2	NA	NA	INHBA	NA	NA	DKK3	LY6E
STAT1	HOPX	NDFIP2	NA	HECW2	LINC00152	NRP2	KRT19	NA	NA	RPL36A	NA	NA	RBM3	CLECL1
FCRL2	TOB1	RPL38	NA	TIMM13	KRT16	CLEC3B	RPL27	NA	NA	GPR155	NA	NA	PHLDA2	RPL17
TMEM107	ARID5B	CD44	NA	EIF4A2	MUC4	OCIAD2	SOD2	NA	NA	MT-CO2	NA	NA	TCF4	WDR74
TSPO	UCP2	PYHIN1	NA	STAB1	NUPR1	MDK	MGP	NA	NA	AC090498.1	NA	NA	ODF2L	TIMP1
SLC25A5	KLF2	SELT	NA	TGM2	TESC	ADIRF	VIM	NA	NA	NBL1	NA	NA	GPX3	RPL35A
CDC42	ETS1	LDHA	NA	PRKCDBP	ITLN1	NOVA1	RPS17	NA	NA	SEMA3B	NA	NA	DDAH2	CH17-373J23.1
SPCS2	MYL12A	ZFAS1	NA	KLF4	CD177	TPPP3	HCST	NA	NA	MPZ	NA	NA	ACAN	RPL41
TMSB10	PNISR	CD99	NA	C8orf4	SQRDL	MGST1	SESN1	NA	NA	SCG5	NA	NA	CTSA	FAM92B
IGHG2	COL1A2	CARD16	NA	F2R	FCGBP	LMO7	TPI1	NA	NA	S100A10	NA	NA	COMT	FTH1
HSPE1	ARID5A	CD52	NA	LIMA1	IGFBP3	RPL28	LINC01272	NA	NA	ACTA2	NA	NA	RBP1	C19orf33
EIF4H	COX17	AC016831.7	NA	RPL28	ANXA4	PIGT	RPS8	NA	NA	SAMHD1	NA	NA	CCDC107	RNU12
SYNE3	HSPH1	CALR	NA	PLEKHA1	AC006262.5	FBLIM1	ITGAX	NA	NA	SEC61G	NA	NA	NDUFB7	HNRNPA1
BTG2	EDF1	SMIM3	NA	NAP1L1	HSD11B2	LINC00152	DNASE1L3	NA	NA	FTL	NA	NA	COL14A1	TMCO1
ATM	S100A6	PLEK	NA	ADAMTS9	JUN	PAWR	EEF1B2	NA	NA	NPM1	NA	NA	NDUFA4L2	RPS27
KLF6	CD24	RPL37A	NA	ELOVL5	RPL35	DDAH2	PLP2	NA	NA	BCAT1	NA	NA	SEMA5A	EIF5
TXNIP	CTSC	HSPD1	NA	CANX	AGR3	PYCR1	RPL10A	NA	NA	PTGES	NA	NA	PPDPF	RPS7
EMP3	CD59	OCIAD2	NA	SOCS3	GUK1	CDC42EP3	LIMS1	NA	NA	RPS29	NA	NA	IFITM1	TYMP
LUC7L3	RNASET2	OPTN	NA	TXNDC17	RP1-122P22.4	MGP	RPS2	NA	NA	ENO1	NA	NA	HOPX	UBE2J1
FXYD5	SPOCK2	PRELID1	NA	ARF5	SRI	ARL4C	EGFL7	NA	NA	ZFAS1	NA	NA	TXNIP	HSPH1
CMTM7	TNFRSF25	RPL37	NA	GNS	CRABP2	SDC2	RPL7	NA	NA	EEF1D	NA	NA	SH3BGRL3	SRGN
CPNE5	WHSC1L1	APMAP	NA	HN1	KRT23	TMSB10	MCEMP1	NA	NA	POSTN	NA	NA	MT-CYB	GNB2L1
SERBP1	ATF4	TMEM109	NA	CTHRC1	RPS21	MYLK	RPL35A	NA	NA	RPS11	NA	NA	TAGLN2	RPS2
AKAP13	GAPDH	EGR1	NA	SVIL	NEU4	FBXO32	RPL32	NA	NA	SLC16A3	NA	NA	NREP	CTSB
NR4A2	GIMAP7	RPS24	NA	COL6A2	S100A6	FBLN2	ABCA6	NA	NA	RPL23	NA	NA	CDH6	HSPB1
CALM3	RDX	FABP5	NA	CXorf36	FABP2	ANKH	RPL18A	NA	NA	RPL30	NA	NA	RBMS1	RPL10
REL	KRT8	NFKBID	NA	GIMAP7	SLC39A5	WISP1	RPL10	NA	NA	SH3BGRL3	NA	NA	FBLIM1	EAF2
BCAS4	LYST	ANXA5	NA	BST2	SLC9A2	PID1	RPLP2	NA	NA	TREM1	NA	NA	STOM	HBB
RAB5C	PGM2L1	CD84	NA	ZFP36	C8orf4	C1QTNF6	KRT18	NA	NA	C5orf46	NA	NA	RPS12	RARRES2
HERPUD1	GATA3	H2AFZ	NA	MSN	ENTPD5	MFAP2	ANPEP	NA	NA	SULF1	NA	NA	CKB	THY1
COPZ1	DUSP1	METTL9	NA	SYNPO	C9orf16	ZFP36L2	RPL29	NA	NA	COMT	NA	NA	ARL6IP4	DERL1
PPIA	TRAT1	C12orf57	NA	VMP1	IFITM1	IER3	RPS3	NA	NA	RPL24	NA	NA	IFI16	UQCRQ
TYMP	MRPS6	PTGER4	NA	TIMP1	TCEA3	RGS3	FBP1	NA	NA	ALDOA	NA	NA	ODF3B	TMBIM6
BIRC3	RP11-160E2.6	CDC25B	NA	GNB1	SEC61G	GSTM3	RNASE1	NA	NA	FHL2	NA	NA	AC090498.1	RPS12
GRN	CD27	DYNLRB1	NA	ENTPD1	FABP5	PPP2R4	RGL1	NA	NA	SORBS2	NA	NA	CFH	RPS29
YPEL3	ADGRE5	MSH3	NA	SH2B3	FABP1	CFL1	SH3BGRL3	NA	NA	EVI2A	NA	NA	GPX1	RPS3A
GYPC	CARD16	INTS6	NA	PLEKHO1	GPRC5A	SDC1	RPL24	NA	NA	CD68	NA	NA	LGMN	ST6GAL1
CH17-373J23.1	DUSP10	SKAP1	NA	MCAM	GPT	CFI	SOCS3	NA	NA	SPARC	NA	NA	ANKRD28	CHCHD2
PSMB3	ICA1	SLC25A6	NA	SEC61G	MFI2	NENF	LSP1	NA	NA	UXT	NA	NA	CD36	RP11-386I14.4
SRGN	CD3G	LITAF	NA	YWHAZ	KRT80	SPECC1	EMB	NA	NA	PDLIM7	NA	NA	C8orf4	PHPT1
RNH1	SCML4	EDF1	NA	FAP	TSPAN7	ADAMTS2	TYMP	NA	NA	TM4SF1	NA	NA	TGFB1	IL32
PRKCB	DDIT4	CRIP1	NA	ACOT7	TAGLN2	ENAH	FCGBP	NA	NA	RPL27A	NA	NA	EPS8	RPS13
PLEKHF2	CTSA	FAM65B	NA	LBH	ETV4	PTMA	MMP1	NA	NA	MYOT	NA	NA	YTHDF2	HLA-DRB1
RP11-160E2.6	IQGAP1	MRPL51	NA	CTSB	SUCLG1	PALLD	RALA	NA	NA	PERP	NA	NA	TNS3	RPS17
EIF2AK2	TAP1	GADD45B	NA	ITM2A	TGFBI	TMEM158	EIF1	NA	NA	RPL19	NA	NA	ARPC1B	CTSD
NA	SQSTM1	DUSP1	NA	HDLBP	CRIP2	SH3PXD2A	GK	NA	NA	IGFBP3	NA	NA	C10orf10	PABPC1
NA	LSM14A	RGS10	NA	KCTD12	ATP5G1	NFIA	LINC00152	NA	NA	ARPC1B	NA	NA	PTMA	TECR
NA	SAMD9L	MLLT6	NA	SOX17	ATP5G3	PDGFC	CALM1	NA	NA	LMNA	NA	NA	FXYD1	RP11-16E12.2
NA	IL2RG	IFI44L	NA	F2RL3	PRAP1	AEBP1	TPM4	NA	NA	TNFRSF12A	NA	NA	PPP1R12A	SAT1
NA	PIM3	PPP1R14B	NA	CD200	LYPD8	PLTP	FNDC3B	NA	NA	RPL27	NA	NA	YWHAZ	RPLP1
NA	IL2RB	RPS21	NA	PTMA	CA4	CCDC80	RPS16	NA	NA	THBS2	NA	NA	AKR1A1	RPL14
NA	SMDT1	GMFG	NA	TMEM88	COMMD6	PHLDA2	RPL9	NA	NA	ANK3	NA	NA	FBN1	ZFP36
NA	SELT	PHACTR2	NA	SDCBP	AMN	CLU	IGF1	NA	NA	PLPP4	NA	NA	TMEM167A	COX7A2
NA	KRT19	ARF6	NA	UBTD1	MS4A12	CALU	RPL14	NA	NA	EGLN3	NA	NA	FXYD5	ISG15
NA	SLA	TRAPPC4	NA	RCC2	OAZ1	SPATS2L	PDLIM7	NA	NA	MARCKS	NA	NA	SULF1	ATP6V0B
NA	CD96	BTG2	NA	UBE2K	CD82	SFRP4	ALCAM	NA	NA	MMP2	NA	NA	RSU1	SSR4
NA	CALM3	IKZF3	NA	TIMM8B	PKIB	PVRL2	IGLC7	NA	NA	C12orf75	NA	NA	ACTG1	GSTP1
