B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT
SH3BP5	MGST3	NFKBIE	GLUL	RPL5	SPP1	SCGB1A1	S100B	RPL35	RPL37A	UBC	CD48
FCER1G	CD27	RPL26	G0S2	OST4	MYL9	DHRS4	SPN	DDX1	CORO1A	TPT1	CCT4
DR1	RBM3	MORF4L2	SERF2	HLA.DRB5	RNASE1	COX14	APOC1	ITM2C	LYZ	SPRY1	FKBP1A
FBP1	HSPA4	RPS26	DUSP22	HPGD	TXN	SET	ECSCR	ZFP36L2	EEF1B2	SLC16A3	EIF4A3
CCDC107	LYZ	KLRF1	SNAI1	C4ORF48	GALNT7	COL8A1	LSAMP	IDI1	BHLHE40	S1PR5	PMF1
CYSTM1	BIN2	RPS7	TSC22D3	FTH1	C4BPB	PRKAA1	CSF1R	TSPAN4	LYST	CCR7	CKS1B
NCL	SMAP2	IL32	CPM	DNAJC1	TMEM167A	FHL1	JCHAIN	ARG2	TCEB1	PLEK	RANBP1
IFRD1	TCP1	RELB	C1ORF162	UPP1	PRSS23	PRRX1	ALOX5AP	HES4	AP2S1	ZFP36	NDFIP2
SAT1	GAPDH	SCGB3A1	CH25H	RPL32	PABPC1	TRIOBP	MT.ND2	RPL21	MTSS1	RALGAPA1	SPON2
LGALS1	DNPH1	FCRL6	LINC01588	TSC22D2	WFS1	C8ORF33	TNNI2	MIR24.2	ST13	RPL28	NASP
DUSP4	TBC1D4	IFNG	TOB1	RPL36A	PHLDA2	ERP44	LILRB4	SLIRP	HNRNPC	LAPTM5	STIP1
RHOG	RPL22L1	CD160	IFNGR2	C1QB	SERF2	TMEM106C	BATF3	TIMP3	ISCU	KLRG1	HMGN1
NAMPT	DPP4	TNFRSF9	CD1C	COL18A1	BST2	UXS1	NMB	AHSA1	CCNH	NFKBIE	SEPT1
SOCS3	MRPL23	GZMA	TMSB10	BGN	CPE	RALA	TREM2	TOMM7	PTGES3	KLRF1	NFKB1
RPS29	MYO1F	RGCC	UQCR10	EHD4	SFTPD	SPECC1	C1ORF54	REL	VPS53	SAMSN1	KLF2
AC090498.1	KLRB1	GLTSCR2	MMP9	TMEM50A	TPM2	IGFBP4	ITIH5	CCL4	CCL3	TUBB4B	PMAIP1
DNAJA4	P2RY10	TMSB4X	MMP12	RPS24	TM4SF4	SEMA5A	RMDN3	RPS7	JUND	SCGB3A1	TOX2
RPS26	NAF1	GLA	ARL5B	HLA.DPA1	FSTL3	NAT14	CYB5A	SFTPA2	NDUFA1	ELL2	MIR4435.2HG
HSPA5	JMY	RPS28	IL10RA	MZT2B	TSC22D1	RHOB	LINC01272	SUB1	CST3	PRMT9	FDPS
MT.ND4	RELB	REL	DNAJA1	PRKCDBP	C1QA	PPP1R10	A2M	PFDN4	CD68	SH3BGRL3	RGS2
RCSD1	EIF3J	ICAM3	FOXP1	RPL13A	HLA.B	ATP6V1E1	ITGB8	WFDC2	SEPT9	BTG1	VOPP1
TYMP	PPIB	SELK	TACSTD2	ST13	JCHAIN	MARCH6	VMO1	CD99	WASF2	B3GNT7	MT2A
HLA.DPA1	KDM6B	RPS4X	PHYKPL	LAMA4	GEM	MAGEF1	LGALS3BP	HMGB1	MIIP	EFHD2	MCM5
LPIN1	S100A9	RPS27A	SDF2L1	GMFG	TPPP3	HSPA1B	RHBDD2	SRP72	RPL4	DNAJA4	MT.CO2
TRAF4	TXNIP	COTL1	ENO1	PDLIM5	MT.ND2	SKIV2L2	ACO1	MLPH	TSPO	FTL	PDCD1
CDKN1A	ALOX5AP	CCT3	LTB	PKM	NUPR1	RPL28	TYMP	PRDX6	PNISR	TNFRSF4	HMGN2
POLR2J3	CD63	ZNF683	EIF1	N4BP2L2	TOX3	SRD5A3	CTSB	RNF145	HSP90AB1	FOS	IGHG3
SEMA7A	TNFAIP3	LDLRAD4	DDT	ADRB1	PHLDA1	ZBTB20	PECAM1	HCST	GABARAPL2	ATP6V0E1	EED
ZNF165	MIF	HAVCR2	APOC1	LINC00152	ISG15	TINF2	ADGRE5	RPL18A	YWHAZ	SH3BP5	DYNLL1
PCF11	PIM3	SLBP	USP36	CFAP20	SLC2A3	SFTPC	RTN4	C1QA	CCL3L3	RPS24	PSMB8
RPS17	GPBP1	ITM2C	CD1A	C1ORF54	CRABP2	EZR	AMIGO2	BZW1	SRSF7	APMAP	HLA.DQA1
NA	TOB1	MT.ND4	ZFP36L2	HLA.DRA	RPS12	PPP1R12A	MTRNR2L1	TNFRSF18	SCP2	SKIL	EIF3J
NA	ITGB1	TYMP	CD52	RPL7A	FAM174A	ASAH1	S100A11	CYBA	MAP3K2	CD48	C11ORF31
NA	NEU1	STK17A	IFITM2	CD200	H3F3A	SERPINF1	CSTA	APOC1	NDFIP1	COTL1	DNAJC15
NA	MORF4L2	KLF3	SLC1A5	CDA	SELENBP1	ANO10	IGHM	RP11.373D23.3	CNIH1	PTGDS	CBX5
NA	DOK2	GEM	SLC29A1	IGHG1	LAMP3	CASP8AP2	NR4A2	RPL37	KLF4	IER5	DNAJC9
NA	LGALS3	CTSW	RPS4Y1	PCDH17	CLIC3	CITED2	PMP22	NA	MT.ND2	GPR183	ASF1B
NA	HLA.DQA2	MYBL1	PTGES3	NME1	RPL12	SNRNP40	PLA2G7	NA	RABAC1	CCND3	ZNRF1
NA	NR3C1	PIM3	RP6.91H8.3	HLA.A	SFTPA1	GSDMD	HERPUD1	NA	HCST	CALM1	GADD45G
NA	VAMP2	RPLP1	KCNMB1	SERPINB6	TCN1	ATXN10	MYADM	NA	WBP2	ZC3H12A	CENPF
NA	PTGES3	EIF4A2	ZC3H12A	RPL13	EFHC1	NT5DC2	IL1A	NA	EIF1B	CTSC	FAAP20
NA	ELL2	RAB29	USP53	CISD1	SH3BGRL3	ELAVL1	DYNLL1	NA	EIF4B	TCP1	VMP1
NA	CARD16	RPL18A	SRSF3	CSNK1A1	SLC7A11	DNAJB1	MTMR11	NA	RPL17	SUN2	BTG3
NA	DNAJA4	RPS21	TWISTNB	SNHG8	SLPI	NR3C1	NOP10	NA	HIGD2A	ANXA6	HLA.DMA
NA	HIST1H4C	PRKCB	METTL9	SH3GLB1	FAM3B	NCKAP1	BTG1	NA	PSMB3	RHOB	ITGAE
NA	NR4A2	RPS29	C1QB	DUSP23	STARD10	APH1A	TMSB4X	NA	HLA.F	SAMHD1	PSMD14
NA	CCL5	HMGB2	AKR1A1	NDFIP1	ATP5I	SERPINB6	IL4I1	NA	HADHA	XCL2	TUBA1C
NA	MOB4	OASL	HLA.DRB5	NAA38	MT.CO3	PAIP2	SLC11A1	NA	EPC1	FCRL6	TUBA1B
NA	DUSP2	NBL1	PNISR	TMBIM4	TMEM176B	COL12A1	PTPMT1	NA	STXBP2	GPBP1	PHPT1
NA	FAM215B	DUSP1	MS4A7	SERPINH1	IFT57	SOCS2	CREM	NA	LYN	ADGRG1	SNRPD3
NA	FNIP1	JUNB	CALM3	COMMD6	EFEMP1	CPM	FLNA	NA	PPA1	NEU1	ZC3H7A
NA	TSC22D3	TAF7	VAMP8	LUC7L3	ITLN2	FCGRT	C8B	NA	DDX6	MAFF	HNRNPAB
NA	BEST1	PFN1	HSPA8	COL6A2	PCYOX1	CIRBP	PEBP1	NA	GNAI2	ARHGDIB	ARL4C
NA	IL6ST	BCAS2	CALM2	CD52	TMPRSS4	TMEM147	SIRPB1	NA	MCOLN1	TXNIP	CLSPN
