"";"orig.ident";"seurat_clusters";"cancer_name";"nCount_RNA";"nFeature_RNA";"percent.mito";"group";"Celltype_main";"Celltype_final"
"15586";"KUL30.N";8;"Colon";11178;1061;2,23653605296117;"N";"Lymphocytes";"Plasma"
"15587";"KUL30.N";8;"Colon";4708;1081;8,30501274426508;"N";"Lymphocytes";"Endothelial"
"15588";"KUL30.N";4;"Colon";4001;601;4,04898775306173;"N";"Lymphocytes";"Plasma"
"15589";"KUL30.N";4;"Colon";9679;1023;5,30013431139581;"N";"Lymphocytes";"Plasma"
"15590";"KUL30.N";8;"Colon";12236;1378;2,11670480549199;"N";"Lymphocytes";"Plasma"
"15591";"KUL30.N";4;"Colon";18267;1680;1,51639568621011;"N";"Lymphocytes";"Plasma"
"15592";"KUL30.N";4;"Colon";15144;1405;1,64421553090333;"N";"Lymphocytes";"Plasma"
"15593";"KUL30.N";4;"Colon";13058;1271;1,84561188543422;"N";"Lymphocytes";"Plasma"
"15594";"KUL30.N";4;"Colon";6538;1030;3,05903946160905;"N";"Lymphocytes";"Plasma"
"15595";"KUL30.N";4;"Colon";7312;1000;4,19857768052516;"N";"Lymphocytes";"Plasma"
"15596";"KUL30.N";4;"Colon";10290;1064;2,0019436345967;"N";"Lymphocytes";"Plasma"
"15597";"KUL30.N";4;"Colon";7436;999;2,7568585260893;"N";"Lymphocytes";"Plasma"
"15598";"KUL30.N";4;"Colon";4828;719;5,44739022369511;"N";"Lymphocytes";"Plasma"
"15599";"KUL30.N";8;"Colon";3020;835;12,6490066225166;"N";"Lymphocytes";"Endothelial"
"15600";"KUL30.N";4;"Colon";11149;1395;2,69082428917392;"N";"Lymphocytes";"Plasma"
"15601";"KUL30.N";4;"Colon";6277;919;2,81981838457862;"N";"Lymphocytes";"Plasma"
"15602";"KUL30.N";4;"Colon";6694;768;2,89811771735883;"N";"Lymphocytes";"Plasma"
"15603";"KUL30.N";8;"Colon";8624;1121;3,95408163265306;"N";"Lymphocytes";"Plasma"
"15604";"KUL30.N";4;"Colon";10384;1272;2,5808936825886;"N";"Lymphocytes";"Plasma"
"15605";"KUL30.N";4;"Colon";4618;803;4,22260718925942;"N";"Lymphocytes";"Plasma"
"15606";"KUL30.N";4;"Colon";9574;1115;2,25611029872572;"N";"Lymphocytes";"Plasma"
"15607";"KUL30.N";4;"Colon";5077;1008;6,91353161315738;"N";"Lymphocytes";"Plasma"
"15608";"KUL30.N";4;"Colon";2556;638;11,8544600938967;"N";"Lymphocytes";"Plasma"
"15609";"KUL30.N";4;"Colon";9322;1102;2,95001072731174;"N";"Lymphocytes";"Plasma"
"15610";"KUL30.N";4;"Colon";5824;893;10,4052197802198;"N";"Lymphocytes";"Plasma"
"15611";"KUL30.N";8;"Colon";7205;1261;3,81679389312977;"N";"Lymphocytes";"Plasma"
"15612";"KUL30.N";4;"Colon";4727;939;3,99830759466892;"N";"Lymphocytes";"Plasma"
"15613";"KUL30.N";4;"Colon";3592;686;10,5512249443207;"N";"Lymphocytes";"Plasma"
"15614";"KUL30.N";4;"Colon";2915;789;5,52315608919382;"N";"Lymphocytes";"Plasma"
"15615";"KUL30.N";4;"Colon";5156;992;3,00620636152056;"N";"Lymphocytes";"Plasma"
"15616";"KUL30.N";4;"Colon";16962;1446;1,56231576465039;"N";"Lymphocytes";"Plasma"
"15617";"KUL30.N";4;"Colon";6016;833;8,5438829787234;"N";"Lymphocytes";"Plasma"
"15618";"KUL30.N";8;"Colon";9347;1298;2,72814806889911;"N";"Lymphocytes";"Plasma"
"15619";"KUL30.N";8;"Colon";17373;1779;1,94554768894261;"N";"Lymphocytes";"Plasma"
"15620";"KUL30.N";4;"Colon";11787;1083;2,14643251039281;"N";"Lymphocytes";"Plasma"
"15621";"KUL30.N";8;"Colon";11495;1214;1,99217050891692;"N";"Lymphocytes";"Plasma"
"15622";"KUL30.N";4;"Colon";11382;1263;3,0486733438763;"N";"Lymphocytes";"Plasma"
"15623";"KUL30.N";4;"Colon";2265;484;9,5364238410596;"N";"Lymphocytes";"Plasma"
"15624";"KUL30.N";8;"Colon";12401;1238;4,4754455285864;"N";"Lymphocytes";"Plasma"
"15625";"KUL30.N";4;"Colon";10359;1162;3,5331595713872;"N";"Lymphocytes";"Plasma"
"15626";"KUL30.N";8;"Colon";19709;1393;1,47648282510528;"N";"Lymphocytes";"Plasma"
"15627";"KUL30.N";8;"Colon";1620;533;12,2222222222222;"N";"Lymphocytes";"Plasma"
"15628";"KUL30.N";4;"Colon";12412;1136;9,53915565581695;"N";"Lymphocytes";"Plasma"
"15629";"KUL30.N";8;"Colon";1395;359;16,7741935483871;"N";"Lymphocytes";"Plasma"
"15630";"KUL30.N";4;"Colon";10387;1114;2,64754019447386;"N";"Lymphocytes";"Plasma"
"15631";"KUL30.N";4;"Colon";1254;384;8,21371610845295;"N";"Lymphocytes";"Plasma"
"15632";"KUL30.N";4;"Colon";13036;1232;1,84105553850875;"N";"Lymphocytes";"Plasma"
"15633";"KUL30.N";4;"Colon";6273;907;2,4709070620118;"N";"Lymphocytes";"Plasma"
"15634";"KUL30.N";4;"Colon";9770;1167;2,24155578300921;"N";"Lymphocytes";"Plasma"
"15635";"KUL30.N";4;"Colon";9625;1079;2,86753246753247;"N";"Lymphocytes";"Plasma"
"15636";"KUL30.N";4;"Colon";3319;616;9,18951491413076;"N";"Lymphocytes";"Plasma"
"15637";"KUL30.N";8;"Colon";6178;1030;3,01068306895435;"N";"Lymphocytes";"Plasma"
"15638";"KUL30.N";4;"Colon";11439;1194;2,4302823673398;"N";"Lymphocytes";"Plasma"
"15639";"KUL30.N";4;"Colon";4943;631;16,7307303257131;"N";"Lymphocytes";"Plasma"
"15640";"KUL30.N";8;"Colon";10454;1249;2,55404629806773;"N";"Lymphocytes";"Plasma"
"15641";"KUL30.N";4;"Colon";9898;1104;2,31359870680946;"N";"Lymphocytes";"Plasma"
"15642";"KUL30.N";4;"Colon";1346;347;14,1158989598811;"N";"Lymphocytes";"Plasma"
"15643";"KUL30.N";4;"Colon";10397;1186;3,33750120226989;"N";"Lymphocytes";"Plasma"
"15644";"KUL30.N";4;"Colon";8557;1468;4,72128082271824;"N";"Lymphocytes";"Endothelial"
"15645";"KUL30.N";8;"Colon";2317;601;7,29391454466983;"N";"Lymphocytes";"Plasma"
"15646";"KUL30.N";4;"Colon";18150;1379;1,47658402203857;"N";"Lymphocytes";"Plasma"
"15647";"KUL30.N";4;"Colon";6576;1005;2,34184914841849;"N";"Lymphocytes";"Plasma"
"15648";"KUL30.N";4;"Colon";5317;806;3,19729170584916;"N";"Lymphocytes";"Plasma"
"15649";"KUL30.N";4;"Colon";18365;1524;2,11271440239586;"N";"Lymphocytes";"Plasma"
"15650";"KUL30.N";4;"Colon";9337;1032;4,35900182071329;"N";"Lymphocytes";"Plasma"
"15651";"KUL30.N";4;"Colon";14291;1354;2,54006017773424;"N";"Lymphocytes";"Plasma"
"15652";"KUL30.N";8;"Colon";6325;1273;4,96442687747036;"N";"Lymphocytes";"Plasma"
"15653";"KUL30.N";8;"Colon";17702;1650;1,96587956163145;"N";"Lymphocytes";"Plasma"
"15654";"KUL30.N";4;"Colon";10955;1187;1,9443176631675;"N";"Lymphocytes";"Plasma"
"15655";"KUL30.N";8;"Colon";10529;1397;2,82078070092127;"N";"Lymphocytes";"Plasma"
"15656";"KUL30.N";8;"Colon";6837;1112;2,58885476086003;"N";"Lymphocytes";"Plasma"
"15657";"KUL30.N";4;"Colon";12755;1241;1,43473147785182;"N";"Lymphocytes";"Plasma"
"15658";"KUL30.N";8;"Colon";8952;1362;3,7645218945487;"N";"Lymphocytes";"Plasma"
"15659";"KUL30.N";8;"Colon";17209;1529;2,63234354117032;"N";"Lymphocytes";"Plasma"
"15660";"KUL30.N";4;"Colon";6747;1179;3,09767303986957;"N";"Lymphocytes";"Plasma"
"15661";"KUL30.N";4;"Colon";11687;1125;2,48994609395054;"N";"Lymphocytes";"Plasma"
"15662";"KUL30.N";4;"Colon";9287;1311;2,23968988909228;"N";"Lymphocytes";"Plasma"
"15663";"KUL30.N";4;"Colon";6332;826;3,91661402400505;"N";"Lymphocytes";"Plasma"
"15664";"KUL30.N";4;"Colon";10075;1520;3,86104218362283;"N";"Lymphocytes";"Endothelial"
"15665";"KUL30.N";8;"Colon";3727;831;6,9224577408103;"N";"Lymphocytes";"Plasma"
"15666";"KUL30.N";4;"Colon";6661;661;3,70815192913977;"N";"Lymphocytes";"Plasma"
"15667";"KUL30.N";4;"Colon";10216;1027;2,47650743931088;"N";"Lymphocytes";"Plasma"
"15668";"KUL30.N";4;"Colon";4621;755;9,37026617615235;"N";"Lymphocytes";"Endothelial"
"15669";"KUL30.N";4;"Colon";15546;1498;2,57944165701788;"N";"Lymphocytes";"Plasma"
"15670";"KUL30.N";4;"Colon";8902;1049;2,67355650415637;"N";"Lymphocytes";"Plasma"
"15671";"KUL30.N";4;"Colon";10952;1135;1,72571219868517;"N";"Lymphocytes";"Plasma"
"15672";"KUL30.N";8;"Colon";10852;1435;4,49686693697014;"N";"Lymphocytes";"Plasma"
"15673";"KUL30.N";4;"Colon";16261;1548;1,94329992005412;"N";"Lymphocytes";"Plasma"
"15674";"KUL30.N";4;"Colon";5382;1029;3,4745447788926;"N";"Lymphocytes";"Plasma"
"15675";"KUL30.N";8;"Colon";4025;985;5,06832298136646;"N";"Lymphocytes";"Plasma"
"15676";"KUL30.N";7;"Colon";1172;466;10,6655290102389;"N";"Lymphocytes";"B"
"15677";"KUL30.N";8;"Colon";8365;986;2,37895995218171;"N";"Lymphocytes";"Plasma"
"15678";"KUL30.N";4;"Colon";8071;1199;2,55234791227853;"N";"Lymphocytes";"Plasma"
"15679";"KUL30.N";4;"Colon";10750;1165;2,26976744186047;"N";"Lymphocytes";"Plasma"
"15680";"KUL30.N";4;"Colon";3363;667;3,71691941718704;"N";"Lymphocytes";"Plasma"
"15681";"KUL30.N";8;"Colon";6101;1183;3,95017210293395;"N";"Lymphocytes";"Plasma"
"15682";"KUL30.N";8;"Colon";7849;949;2,35698815135686;"N";"Lymphocytes";"Plasma"
"15683";"KUL30.N";4;"Colon";4248;795;4,30790960451977;"N";"Lymphocytes";"Plasma"
