,Epithelial,CD4T,Mast,Macrophage,CD8T,DC,Fibroblast,Endothelial,NKT,NK,B,Monocyte,Plasma
1084,RBMS2,GCN1,NOP14,CLDND1,ZBTB25,SMARCD3,CAPZB,CNOT4,ZMPSTE24,MAPKAPK5,ESF1,XRN2,CINP
1085,BAZ2A,RPLP0,ADD1,MOK,NECAP1,WDR70,GPR137B,PSEN1,STARD7,P2RX7,RBBP9,KIZ,SRP54
1086,PTPN23,PXN,L2HGDH,HSP90AA1,ARHGAP4,FYB,NAALAD2,CPOX,NOA1,ESF1,ANAPC5,DYNLL1,PCK2
1087,MLH1,KIF16B,TXNDC16,RBL1,RCOR1,STRADB,JADE1,CLDND1,REST,RBBP9,SLC23A2,TESC,KIAA0391
1088,UNG,TRMT6,C14ORF166,DLGAP4,GPATCH2L,BZW1,SLC25A43,MOK,SSH1,ANAPC5,SLC8B1,SNX5,DCAF11
1089,FMO4,PEBP1,GMCL1,NDC80,LTBP4,ME2,UBE2A,HSP90AA1,GSTP1,SLC23A2,TMEM230,RPL6,PSMA6
1090,KLHL20,BRAP,SF3B2,AP4E1,BLVRB,C5ORF22,FGFR1,DLGAP4,APLP2,SLC8B1,DZANK1,MAPKAPK5,NFKBIA
1091,SLC46A1,ERP29,KLHL42,RSBN1,SLC9A1,CCNT2,FBLN1,NDC80,WBP11,TMEM230,KDM2B,P2RX7,PSME2
1092,PLXNA2,FUS,GNAS,CXCL2,SPTLC1,FAM135A,ITGA8,AP4E1,EIF3I,KDM2B,TASP1,ESF1,TM9SF1
1093,SPAG5,IGBP1,DNM1L,TCF7,PAPOLA,EPB41L3,CST7,RSBN1,TXLNA,TASP1,OAS1,ANAPC5,GMPR2
1094,ANKRD13A,FXYD5,ERGIC2,OSTM1,CCNK,COBLL1,MAP2,MAGI3,NCOA1,OAS1,GCN1,SLC23A2,PNN
1095,TPD52,ZNF302,AURKA,PCNP,PCBP4,DLG3,PIAS2,CXCL2,AGBL5,GCN1,RPLP0,SLC8B1,PCIF1
1096,ACACB,GRAMD1A,CASS4,EXD2,RGS1,TRAF5,AMPH,TCF7,RAB10,RPLP0,KIF16B,TMEM230,TRPC4AP
1097,TRAF4,FXYD3,AAMDC,ARG2,YPEL3,MRPL22,ARAF,OSTM1,HADHA,PXN,TRMT6,KDM2B,CD40
1098,PAG1,CDIP1,RFX2,MEF2C,MRPS33,GEMIN5,MCCC1,PCNP,CAD,TRMT6,PEBP1,TASP1,ZMYND8
1099,GPATCH1,GANAB,METTL2A,PTPRC,NDUFB2,NFE2L1,FAP,EXD2,CD59,PEBP1,BRAP,OAS1,IFT52
1100,ICAM3,GMIP,ALG6,UBA5,NUDC,GSK3B,NEBL,ARG2,CD82,BRAP,ERP29,GCN1,MYBL2
1101,NT5C2,RBM41,CNOT3,STK17B,MAEA,ITGB5,ACER3,MEF2C,ATRX,ERP29,FUS,RPLP0,NDRG3
1102,MCAM,LAG3,PTPN4,CDC14B,ICAM1,ERC1,UBE2K,PTPRC,AK6,FUS,IGBP1,PXN,C20ORF24
1103,GPC4,MLF2,DDX18,ZNF510,STRN4,XPO1,PIK3C3,PKP1,FCN1,IGBP1,FXYD5,KIF16B,NFATC2
1104,MBNL3,DDX24,KHSRP,ZNF506,LYZ,RNF13,N4BP2,UBA5,MYNN,FXYD5,ZNF302,TRMT6,PABPC1L
1105,CAMSAP3,ZBTB25,EDEM2,JMJD4,MUL1,PALB2,TIGAR,STK17B,SCAMP1,ZNF302,GRAMD1A,PEBP1,STK4
1106,RAP1GAP,NECAP1,PDRG1,DUSP12,PDCD7,DOPEY1,TULP3,CDC14B,PREP,GRAMD1A,FXYD3,BRAP,PFDN4
1107,XAB2,ARHGAP4,EPB41L1,AACS,SPG21,LYRM2,SYNJ2,ZNF506,HACE1,CDIP1,CDIP1,ERP29,RAE1
1108,ARHGEF1,RCOR1,ANKRD10,KIAA0141,DNAJB11,BCKDHB,PPP2R5C,JMJD4,SEH1L,GANAB,GANAB,FUS,DNAJC5
1109,STXBP2,GPATCH2L,TGDS,CADPS2,FLT3LG,KAT6A,GNB1,DUSP12,WDR47,GMIP,GMIP,IGBP1,NELFCD
1110,MAP2K7,LTBP4,COQ9,HSPB11,GNPTG,ZCCHC6,EDN1,AACS,WDFY1,RBM41,RBM41,FXYD5,CTSZ
1111,DGKD,BLVRB,KIF9,PHLPP1,ZNF268,ULK2,MLLT10,KIAA0141,SLC25A24,LAG3,MLF2,ZNF302,PRPF6
1112,CTTNBP2,SLC9A1,CRLS1,ATP8B1,GOLGA3,TNPO1,ZCWPW1,CADPS2,MAP3K4,MLF2,DDX24,GRAMD1A,PRELID3B
1113,TOP2B,SPTLC1,FKBP1A,SMARCD3,PABPC4,PLOD1,ITM2A,PCDHB4,PILRA,DDX24,ZBTB25,FXYD3,PSMA7
1114,TM9SF3,PAPOLA,NSFL1C,WDR70,CERS4,P2RX5,NRDC,HSPB11,ABCB1,ZBTB25,NECAP1,CDIP1,SLCO4A1
1115,NFKB2,CCNK,C20ORF194,FYB,MCOLN1,ITGAE,VDAC3,PHLPP1,AKR1B1,NECAP1,ARHGAP4,GANAB,GID8
1116,UBE2T,PCBP4,MAVS,STRADB,USP48,DIS3,PCM1,ATP8B1,CPNE3,ARHGAP4,DHX32,GMIP,SLC17A9
1117,PPP1R12B,RGS1,XRN2,BZW1,EFNB1,PIBF1,TNRC6C,SMARCD3,RRN3,DHX32,RCOR1,RBM41,EEF1A2
1118,DNAJC10,YPEL3,KIZ,ME2,PDPR,TDRD3,CBFA2T2,WDR70,CTTN,RCOR1,GPATCH2L,MLF2,C20ORF27
1119,GTF3C1,MRPS33,DYNLL1,C5ORF22,AARS,NUFIP1,ITCH,FYB,MTIF2,GPATCH2L,LTBP4,DDX24,CDC25B
1120,IL4R,NDUFB2,TESC,CCNT2,GLG1,PDS5B,TP53INP2,STRADB,DDHD2,LTBP4,BLVRB,ZBTB25,RNF24
1121,USP33,NUDC,SNX5,FAM135A,TNRC6A,OXCT1,SDF4,BZW1,EPS15,BLVRB,SLC9A1,NECAP1,ARFRP1
1122,SNRPA,MAEA,RPL6,EPB41L3,PLEKHG2,RRAGB,MYH7B,C1QTNF3,MGST2,SLC9A1,SPTLC1,ARHGAP4,TRIB3
1123,SPAG6,ICAM1,MAPKAPK5,COBLL1,NAT14,CYLD,TOLLIP,ME2,CHERP,SPTLC1,PAPOLA,DHX32,RASSF2
1124,EXOSC5,STRN4,P2RX7,TRAF5,EXOC1,SLC27A5,UBE2D4,C5ORF22,ATG16L1,PAPOLA,CCNK,RCOR1,CSNK2A1
1125,DYNC1I2,LYZ,ESF1,MRPL22,RBM27,ZNF324,RUNX1T1,CCNT2,USP40,CCNK,RGS1,GPATCH2L,CDS2
1126,APBB1IP,MUL1,RBBP9,GEMIN5,OSBPL8,ZNF586,THOC1,FAM135A,POMGNT1,PCBP4,YPEL3,BLVRB,HM13
1127,LRCH4,PDCD7,ANAPC5,NFE2L1,DTX2,ZNF446,FKBP7,EPB41L3,RAD54L,RGS1,MRPS33,SLC9A1,TM9SF4
1128,FAM76B,SPG21,SLC23A2,GSK3B,DLD,ZNF264,OSBPL6,COBLL1,MAST2,YPEL3,NDUFB2,SPTLC1,SAMHD1
1129,SIRT6,DNAJB11,SLC8B1,ITGB5,WDR7,RPS5,SLC1A3,SERTAD4,DNAJA1,MRPS33,NUDC,PAPOLA,KIF3B
1130,POLD3,FLT3LG,TMEM230,ERC1,TXNL1,YTHDC1,XRCC5,TRAF5,B4GALT1,NDUFB2,MAEA,CCNK,NOP56
1131,CAPZB,GNPTG,KDM2B,XPO1,CMTM6,CHMP2B,LXN,MRPL22,CHMP5,NUDC,ICAM1,RGS1,IDH3B
1132,GPR137B,ZNF268,TASP1,RNF13,ITGA6,SMAP2,SP140,GEMIN5,NFX1,MAEA,STRN4,YPEL3,MAPRE1
1133,JADE1,GOLGA3,OAS1,PALB2,AC013461.1,PPIE,MKNK1,NFE2L1,DIMT1,ICAM1,LYZ,MRPS33,CDK5RAP1
1134,SLC25A43,PABPC4,GCN1,DOPEY1,FH,ZMPSTE24,TNS1,GSK3B,IPO11,STRN4,MUL1,NDUFB2,OXT
1135,UBE2A,CERS4,RPLP0,LYRM2,SEL1L3,STARD7,REXO1,ITGB5,EIF2AK1,IRAK3,PDCD7,NUDC,PXMP4
1136,FGFR1,MCOLN1,PXN,BCKDHB,CDV3,NOA1,SAR1A,ERC1,NME8,LYZ,SPG21,MAEA,CHMP4B
1137,FBLN1,USP48,KIF16B,KAT6A,ALKBH5,REST,CDC14A,XPO1,SNX10,MUL1,DNAJB11,ICAM1,CST3
1138,CST7,EFNB1,TRMT6,ZCCHC6,NLRP1,SSH1,RAPGEF3,RNF13,SEPHS1,PDCD7,FLT3LG,STRN4,WFDC2
1139,MAP2,PDPR,PEBP1,ULK2,SPAG7,GSTP1,SENP1,PALB2,MRPL28,SPG21,GNPTG,IRAK3,DNTTIP1
1140,PIAS2,AARS,BRAP,TNPO1,ORC6,APLP2,CIC,DOPEY1,CEACAM6,DNAJB11,ZNF268,LYZ,ACOT8
1141,ARAF,GLG1,ERP29,PLOD1,ZC3HC1,WBP11,FDFT1,LYRM2,RBM22,FLT3LG,GOLGA3,MUL1,APMAP
1142,MCCC1,TNRC6A,FUS,ITGAE,ANGPT2,EIF3I,PAFAH1B3,BCKDHB,TMED2,GNPTG,PABPC4,PDCD7,ADNP2
1143,LAMP3,PLEKHG2,IGBP1,DIS3,TMEM101,TXLNA,OPHN1,KAT6A,ERO1B,ZNF268,CERS4,SPG21,RBFA
1144,FAP,EXOC1,FXYD5,PIBF1,CD200,NCOA1,KIF22,ZCCHC6,ZFAND6,GOLGA3,MCOLN1,DNAJB11,USP14
1145,NEBL,RBM27,ZNF302,TDRD3,PSME1,AGBL5,CARMIL1,ULK2,TXLNG,PABPC4,USP48,FLT3LG,VAPA
1146,ACER3,OSBPL8,GRAMD1A,NUFIP1,PPP2R3C,KIF3C,PGM1,TNPO1,LAT2,CERS4,EFNB1,GNPTG,METTL4
1147,UBE2K,DTX2,FXYD3,PDS5B,HAUS4,RAB10,DDX1,PLOD1,HUWE1,MCOLN1,PDPR,ZNF268,SMCHD1
1148,PIK3C3,PUS7,CDIP1,OXCT1,OSGEP,HADHA,DNM2,ITGAE,ZW10,USP48,AARS,GOLGA3,MYOM1
1149,N4BP2,DLD,GANAB,RRAGB,SCFD1,MAPRE3,EPB41L2,DIS3,ALG9,EFNB1,GLG1,PABPC4,MYL12A
1150,TIGAR,WDR7,GMIP,CYLD,G2E3,CAD,MOXD1,PIBF1,ACOX3,PDPR,TNRC6A,CERS4,RNMT
1151,TULP3,TXNL1,RBM41,SLC27A5,HECTD1,CD59,STX7,TDRD3,MTMR2,AARS,PLEKHG2,MCOLN1,RNF125
1152,SYNJ2,CMTM6,MLF2,ZNF324,HNRNPC,CD82,RABL2B,NUFIP1,PPP1R15A,GLG1,EXOC1,USP48,ANKRD12
1153,ADCY2,ITGA6,DDX24,ZNF671,SUPT16H,BCORL1,KEAP1,PDS5B,TRIP6,TNRC6A,RBM27,EFNB1,MIB1
1154,PPP2R5C,AC013461.1,ZBTB25,ZNF586,TOX4,ATRX,DDX43,OXCT1,FTL,PITPNM2,OSBPL8,PDPR,RBBP8
1155,GNB1,FH,NECAP1,ZNF446,GEMIN2,AK6,SLC35C2,RRAGB,SRRT,EXOC1,DTX2,AARS,RIOK3
1156,EDN1,SEL1L3,ARHGAP4,ZNF264,TINF2,FCN1,CRYBG3,CYLD,BAX,RBM27,PUS7,GLG1,PSMD10
1157,MLLT10,CDV3,DHX32,RPS5,TRPM7,MYNN,RFX3,SLC27A5,NLK,OSBPL8,DLD,TNRC6A,PGRMC1
1158,ZCWPW1,ALKBH5,RCOR1,YTHDC1,WDR76,SCAMP1,RIF1,ZNF324,PIGS,DTX2,TXNL1,PLEKHG2,NKAP
1159,ITM2A,NLRP1,GPATCH2L,CHMP2B,SNAP23,PREP,RAB21,ZNF586,ATXN7L3,DLD,CMTM6,EXOC1,NXT2
1160,NRDC,SPAG7,LTBP4,SMAP2,EZR,HACE1,SLC4A4,ZNF446,PGS1,WDR7,AC013461.1,RBM27,ALG13
1161,VDAC3,ORC6,BLVRB,PPIE,MYL6,SEH1L,SMARCA2,ZNF264,PSMC5,TXNL1,FH,OSBPL8,MOSPD1
1162,PCM1,ZC3HC1,SLC9A1,ZMPSTE24,AGO1,WDR47,SESN1,RPS5,UIMC1,CMTM6,SEL1L3,DTX2,AMMECR1
1163,TNRC6C,ANGPT2,SPTLC1,STARD7,CLSPN,WDFY1,MID2,FAT1,LPCAT2,ITGA6,CDV3,NLRC4,WDR13
1164,CBFA2T2,TMEM101,PAPOLA,NOA1,RFFL,SLC25A24,COL5A3,YTHDC1,GNAO1,FH,ALKBH5,DLD,XIAP
1165,ITCH,CD200,CCNK,REST,UNC13D,MAP3K4,SRCAP,CHMP2B,OGFOD1,SEL1L3,NLRP1,WDR7,STAG2
1166,TP53INP2,PSME1,PCBP4,SSH1,MFSD11,PILRA,PUM3,SMAP2,SH3BP2,CDV3,SPAG7,TXNL1,PLP2
1167,SDF4,PPP2R3C,RGS1,GSTP1,DPYSL2,ABCB1,CNOT4,PPIE,NOP14,ALKBH5,ORC6,CMTM6,NAA10
1168,MYH7B,HAUS4,YPEL3,APLP2,GPATCH2,ZNF213,PSEN1,ZMPSTE24,ADD1,NLRP1,ZC3HC1,AC013461.1,RENBP
1169,TP73,OSGEP,MRPS33,FAM234B,NUP50,AKR1B1,CPOX,STARD7,L2HGDH,SPAG7,ANGPT2,FH,ELF4
1170,TOLLIP,SCFD1,NDUFB2,WBP11,COMT,CPNE3,CLDND1,NOA1,TXNDC16,ZC3HC1,TMEM101,SEL1L3,RBBP7
1171,UBE2D4,G2E3,NUDC,EIF3I,CECR1,RRN3,MOK,REST,C14ORF166,ANGPT2,CD200,CDV3,FMR1
1172,CLUL1,HECTD1,MAEA,TXLNA,ECHDC1,MTIF2,HSP90AA1,SSH1,GMCL1,TMEM101,PSME1,ALKBH5,PIM2
1173,THOC1,HNRNPC,ICAM1,NCOA1,LRRFIP2,DDHD2,RBL1,GSTP1,SF3B2,PSME1,PPP2R3C,NLRP1,PQBP1
1174,FKBP7,SUPT16H,IRAK3,AGBL5,SEC22C,TTC39A,DLGAP4,APLP2,KLHL42,PPP2R3C,HAUS4,SPAG7,EMD
1175,OSBPL6,TOX4,LYZ,KIF3C,HDAC6,EPS15,NDC80,WBP11,GNAS,HAUS4,OSGEP,ORC6,TAZ
1176,XRCC5,GEMIN2,MUL1,RAB10,UPRT,MGST2,AP4E1,EIF3I,DNM1L,OSGEP,SCFD1,ZC3HC1,PGK1
1177,LXN,TINF2,PDCD7,HADHA,CDC23,CHERP,RSBN1,TXLNA,ERGIC2,SCFD1,G2E3,TMEM101,MAGT1
1178,SP140,TRPM7,SPG21,MAPRE3,AAAS,ATG16L1,MAGI3,NCOA1,AURKA,G2E3,HECTD1,PSME1,SMS
1179,MKNK1,WDR76,DNAJB11,CAD,CBX5,USP40,CXCL2,AGBL5,CASS4,HECTD1,HNRNPC,PPP2R3C,CD99L2
1180,TNS1,SNAP23,FLT3LG,CD59,SUCO,POMGNT1,COL4A4,EFR3B,AAMDC,HNRNPC,SUPT16H,HAUS4,EEA1
1181,REXO1,EZR,GNPTG,CD82,MSH2,MAST2,TCF7,KIF3C,RFX2,SUPT16H,TOX4,OSGEP,RP2
1182,SAR1A,MYL6,ZNF268,BCORL1,MAP3K1,DNAJA1,OSTM1,RAB10,METTL2A,TOX4,GEMIN2,SCFD1,CDK16
1183,CDC14A,AGO1,GOLGA3,ATRX,DHPS,B4GALT1,PCNP,HADHA,ALG6,GEMIN2,TINF2,G2E3,USP11
1184,RAPGEF3,CLSPN,PABPC4,AK6,HOOK2,CHMP5,EXD2,MAPRE3,CNOT3,TINF2,TRPM7,HECTD1,TIMP1
1185,CEACAM1,RFFL,CERS4,FCN1,ARCN1,NFX1,ARG2,CAD,PTPN4,TRPM7,WDR76,HNRNPC,PIN4
1186,SENP1,UNC13D,MCOLN1,MYNN,TMEM38B,DIMT1,MEF2C,CD59,DDX18,WDR76,SNAP23,SUPT16H,PORCN
1187,CIC,MFSD11,USP48,SCAMP1,PSMD5,IPO11,PTPRC,CD82,KHSRP,CAPN3,EZR,TOX4,MAGED2
1188,LIPE,DPYSL2,EFNB1,PREP,NUP188,EIF2AK1,UBA5,ATRX,EDEM2,SNAP23,MYL6,GEMIN2,RBM3
1189,FDFT1,GPATCH2,PDPR,HACE1,CRAT,NME8,STK17B,AK6,TPX2,EZR,AGO1,TINF2,PBDC1
1190,PAFAH1B3,NUP50,AARS,SEH1L,SH2D3C,EPDR1,CDC14B,FCN1,PDRG1,MYL6,CLSPN,TRPM7,GLA
1191,OPHN1,COMT,TNRC6A,WDR47,NANS,SNX10,ZNF510,MYNN,DOCK9,AGO1,RFFL,CAPN3,ARMCX3
1192,KIF22,CECR1,PLEKHG2,WDFY1,WHRN,SEPHS1,ZNF506,MECOM,ANKRD10,RFFL,UNC13D,SNAP23,BEX4
1193,CARMIL1,ECHDC1,EXOC1,SLC25A24,CWF19L1,MRPL28,JMJD4,SCAMP1,TGDS,UNC13D,MFSD11,EZR,RUBCNL
1194,PGM1,LRRFIP2,RBM27,MAP3K4,BTAF1,ITPKC,DUSP12,PREP,C3ORF18,MFSD11,DPYSL2,MYL6,FNDC3A
1195,DDX1,SEC22C,OSBPL8,PILRA,IKZF5,CEACAM6,AACS,HACE1,COQ9,DPYSL2,GPATCH2,AGO1,CDADC1
1196,DNM2,HDAC6,NRCAM,ZNF213,BAMBI,RBM22,KIAA0141,SEH1L,KIF9,GPATCH2,NUP50,RFFL,CAB39L
1197,EPB41L2,UPRT,DLD,AKR1B1,WAC,TMED2,CADPS2,WDR47,CRLS1,NUP50,COMT,UNC13D,STK24
1198,STX7,CDC23,WDR7,CPNE3,CREM,ERO1B,PCDHB4,WDFY1,PPP1R13B,COMT,CECR1,MFSD11,ACP5
1199,RABL2B,AAAS,TXNL1,RRN3,NUBP2,ZFAND6,HSPB11,OVGP1,ATRN,CECR1,ECHDC1,DPYSL2,DNAJC3
1200,KEAP1,CBX5,IL5RA,CTTN,HIVEP1,TXLNG,PHLPP1,SLC25A24,FKBP1A,ECHDC1,LRRFIP2,GPATCH2,ARHGEF7
1201,DDX43,SUCO,CMTM6,MTIF2,FKBP5,LAT2,ATP8B1,MAP3K4,NSFL1C,LRRFIP2,SEC22C,NUP50,SUPT20H
1202,SLC35C2,MSH2,AC013461.1,DDHD2,SRPK1,HUWE1,SMARCD3,PILRA,C20ORF194,SEC22C,HDAC6,COMT,MRPS31
1203,CRYBG3,MAP3K1,FH,EPS15,MRPS18A,ZW10,WDR70,ABCB1,MAVS,HDAC6,UPRT,CECR1,KPNA3
1204,SCTR,DHPS,CDV3,MGST2,TMEM14A,ALG9,FYB,AKR1B1,XRN2,UPRT,CDC23,ECHDC1,RGCC
1205,RFX3,HOOK2,ALKBH5,CHERP,EFHC1,MYBPC2,STRADB,CPNE3,KIZ,CDC23,AAAS,LRRFIP2,VWA8
1206,RIF1,ARCN1,SPAG7,ATG16L1,HSP90AB1,ACOX3,BZW1,RRN3,DYNLL1,AAAS,CBX5,SEC22C,INTS6
1207,RAB21,TMEM38B,ORC6,USP40,CDC5L,MTMR2,C1QTNF3,CTTN,TESC,CBX5,SUCO,HDAC6,TSC22D1
1208,SLC4A4,PSMD5,ZC3HC1,POMGNT1,ITPR3,PPP1R15A,ME2,MTIF2,SNX5,SUCO,MSH2,UPRT,CLN5
1209,SMARCA2,NUP188,ANGPT2,RAD54L,ZNF184,HSD17B14,C5ORF22,DDHD2,RPL6,MSH2,MAP3K1,CDC23,MGRN1
1210,SESN1,CRAT,TMEM101,MAST2,SIRT1,TRIP6,CCNT2,TTC39A,SIRPG,MAP3K1,DHPS,AAAS,TRADD
1211,MID2,SH2D3C,CMA1,DNAJA1,HNRNPH3,ACHE,FAM135A,EPS15,MAPKAPK5,DHPS,HOOK2,CBX5,HSF4
1212,PIH1D3,NANS,PSME1,B4GALT1,IFT74,FTL,EPB41L3,MGST2,P2RX7,HOOK2,ARCN1,SUCO,CORO1A
1213,SRCAP,WHRN,PPP2R3C,CHMP5,JAK2,SRRT,COBLL1,CHERP,ESF1,ARCN1,TMEM38B,MSH2,PHKB
1214,PUM3,CWF19L1,HAUS4,NFX1,IL12RB1,BAX,DLG3,ATG16L1,RBBP9,TMEM38B,PSMD5,MAP3K1,NUTF2
1215,CPB2,BTAF1,JPH4,DIMT1,ABL1,NLK,SERTAD4,USP40,ANAPC5,PSMD5,PTGS1,DHPS,NUP93
1216,KCNN2,IKZF5,OSGEP,IPO11,ACOT7,PIGS,TRAF5,POMGNT1,SLC23A2,NUP188,NUP188,HOOK2,CENPT
1217,CNOT4,BAMBI,SLC22A17,EIF2AK1,SH3GLB1,ATXN7L3,MRPL22,MAST2,SLC8B1,CRAT,SH2D3C,ARCN1,NFAT5
1218,PSEN1,WAC,SCFD1,NME8,CDC7,PGS1,GEMIN5,DNAJA1,TMEM230,SH2D3C,NANS,TMEM38B,LONP2
1219,CPOX,CREM,G2E3,EPDR1,SCD,PSMC5,NFE2L1,B4GALT1,KDM2B,NANS,WHRN,PSMD5,N4BP1
1220,CLDND1,NUBP2,HECTD1,SNX10,TMED1,UIMC1,GSK3B,CHMP5,TASP1,WHRN,CWF19L1,PTGS1,ARL2BP
1221,MOK,HIVEP1,HNRNPC,SEPHS1,ABLIM1,CETP,ITGB5,NFX1,OAS1,CWF19L1,BTAF1,NUP188,CCL22
1222,HSP90AA1,FKBP5,SUPT16H,MRPL28,RAB18,MMP2,ERC1,DIMT1,GCN1,BTAF1,IKZF5,CRAT,CCL17
1223,RBL1,SRPK1,TOX4,ITPKC,H2AFY2,LPCAT2,XPO1,IPO11,RPLP0,IKZF5,BLNK,SH2D3C,ACD
1224,DLGAP4,BRPF3,GEMIN2,CEACAM6,FAM21A,GNAO1,RNF13,FOLH1,PXN,BAMBI,BAMBI,NANS,POLR2C
1225,AP4E1,MRPS18A,TINF2,RBM22,MAST3,OGFOD1,PALB2,EIF2AK1,KIF16B,WAC,WAC,TBC1D2,ZNF821
1226,RSBN1,TMEM14A,TRPM7,TMED2,MZF1,SH3BP2,DOPEY1,SNX10,TRMT6,CREM,CREM,CWF19L1,CYB5B
1227,MAGI3,EFHC1,SNAP23,ERO1B,OCEL1,NOP14,LYRM2,SEPHS1,PEBP1,NUBP2,NUBP2,BTAF1,NME3
1228,CXCL2,HSP90AB1,EZR,ZFAND6,MYO9B,ADD1,BCKDHB,MRPL28,BRAP,HIVEP1,HIVEP1,IKZF5,PSMD7
1229,COL4A4,CDC5L,MYL6,TXLNG,KCNK6,L2HGDH,KAT6A,ITPKC,ERP29,FKBP5,FKBP5,WAC,VAC14
1230,TCF7,ITPR3,AGO1,LAT2,PSMD8,TXNDC16,ZCCHC6,CEACAM6,FUS,SRPK1,SRPK1,CREM,COG4
1231,OSTM1,ZNF184,CLSPN,HUWE1,SETD1A,C14ORF166,ULK2,RBM22,IGBP1,BRPF3,BRPF3,NUBP2,SLC7A6OS
1232,PCNP,SIRT1,RFFL,ZW10,BCL7C,GMCL1,TNPO1,TMED2,FXYD5,MRPS18A,MRPS18A,HIVEP1,SLC7A6
1233,EXD2,HNRNPH3,UNC13D,ALG9,CIRBP,SF3B2,PLOD1,ERO1B,ZNF302,PGC,PGC,TREM2,PLA2G15
1234,ARG2,IFT74,MFSD11,ACOX3,ATP5D,KLHL42,ITGAE,ZFAND6,GRAMD1A,TMEM14A,TMEM14A,FKBP5,FA2H
1235,MEF2C,JAK2,DPYSL2,MTMR2,HNRNPM,GNAS,DIS3,TXLNG,FXYD3,EFHC1,EFHC1,SRPK1,WDR59
1236,PTPRC,IL12RB1,GPATCH2,PPP1R15A,MARCH2,DNM1L,PIBF1,LAT2,CDIP1,HSP90AB1,HSP90AB1,MRPS18A,CMC2
1237,UBA5,ABL1,NUP50,HSD17B14,NDUFB7,ERGIC2,TDRD3,HUWE1,GANAB,CDC5L,CDC5L,PGC,HCFC1R1
1238,STK17B,ACOT7,COMT,TRIP6,TECR,AURKA,NUFIP1,ALG9,GMIP,ITPR3,ITPR3,EFHC1,NPRL3
1239,CDC14B,SH3GLB1,ECHDC1,FTL,TIMM13,CASS4,PDS5B,ACOX3,RBM41,ZNF184,ZNF184,HSP90AB1,TAF1C
1240,ZNF510,SCD,LRRFIP2,SRRT,CDC34,AAMDC,OXCT1,MTMR2,BIRC5,SIRT1,SIRT1,CDC5L,COTL1
1241,LRP2,TMED1,SEC22C,BAX,MTAP,RFX2,RRAGB,PPP1R15A,LAG3,HNRNPH3,HNRNPH3,SIRT1,USP10
1242,ZNF506,ABLIM1,HDAC6,NLK,POLR2E,METTL2A,CYLD,HSD17B14,MLF2,IFT74,IFT74,HNRNPH3,TSC2
1243,JMJD4,RAB18,UPRT,PIGS,POLRMT,ALG6,SLC27A5,TRIP6,DDX24,JAK2,JAK2,IFT74,NME4
1244,DUSP12,H2AFY2,CDC23,ATXN7L3,IZUMO4,CNOT3,ZNF324,FTL,ZBTB25,IL12RB1,IL12RB1,JAK2,NOMO3
1245,AACS,FAM21A,AAAS,PGS1,RASSF7,PTPN4,ZNF671,SRRT,NECAP1,ABL1,ABL1,IL12RB1,NARFL
1246,KIAA0141,MAST3,CBX5,PSMC5,GADD45B,DDX18,ZNF586,BAX,ARHGAP4,ACOT7,SH3GLB1,ABL1,CLCN7
1247,CADPS2,MZF1,SUCO,UIMC1,MKNK2,KHSRP,ZNF446,NLK,DHX32,SH3GLB1,TMED1,ACOT7,FAM173A
1248,HSPB11,OCEL1,MSH2,MMP2,TRMT2A,EDEM2,ZNF264,PIGS,RCOR1,CDC7,ABLIM1,SH3GLB1,SLC7A5
1249,PHLPP1,MYO9B,MAP3K1,LPCAT2,RANBP1,TPX2,RPS5,ATXN7L3,GPATCH2L,PCSK5,RAB18,PCSK5,STUB1
1250,ATP8B1,KCNK6,DHPS,OGFOD1,KLHL22,PDRG1,FAT1,PGS1,LTBP4,SCD,FAM21A,SCD,NUBP1
1251,SMARCD3,PSMD8,HOOK2,SH3BP2,MED15,ANKRD10,YTHDC1,PSMC5,BLVRB,TMED1,MAST3,TMED1,UBE2I
1252,WDR70,SETD1A,ARCN1,NOP14,SNAP29,TGDS,CHMP2B,UIMC1,SLC9A1,ABLIM1,MZF1,RAB18,CRYM
1253,FYB,BCL7C,TMEM38B,ADD1,CRKL,C3ORF18,SMAP2,CETP,SPTLC1,ERMP1,OCEL1,FAM21A,PIEZO1
1254,STRADB,CIRBP,PSMD5,L2HGDH,LZTR1,COQ9,PPIE,MMP2,PAPOLA,RAB18,MYO9B,MAST3,GSPT1
1255,BZW1,ATP5D,PTGS1,TXNDC16,MMP11,KIF9,ZMPSTE24,LPCAT2,CCNK,FAM21A,KCNK6,MZF1,CLUAP1
1256,C1QTNF3,HNRNPM,NUP188,C14ORF166,SMARCB1,CRLS1,STARD7,OGFOD1,PCBP4,MAST3,PSMD8,OCEL1,UBFD1
1257,ME2,MARCH2,CRAT,GMCL1,BCL2L13,PPP1R13B,NOA1,SH3BP2,RGS1,MZF1,SETD1A,MYO9B,TCEB2
1258,C5ORF22,NDUFB7,NANS,SF3B2,DDT,ATRN,REST,NOP14,YPEL3,OCEL1,BCL7C,KCNK6,GGA2
1259,CCNT2,TECR,TBC1D2,KLHL42,OSM,SMOX,SSH1,ADD1,MRPS33,MYO9B,CIRBP,CATSPERG,HMOX2
1260,FAM135A,TIMM13,CWF19L1,GNAS,CABIN1,SIGLEC1,GSTP1,L2HGDH,NDUFB2,KCNK6,ATP5D,PSMD8,DNAJA3
