,Epithelial,CD4T,Mast,Macrophage,CD8T,DC,Fibroblast,Endothelial,NKT,NK,B,Monocyte,Plasma
9847,ZNF791,NA,NA,C17ORF58,NA,AGRN,FAM109B,AGRN,RNPS1,NA,NA,NA,NA
9848,PHC3,NA,NA,BCDIN3D,NA,ZNF626,SCN4B,ZNF626,DNAJC19,NA,NA,NA,NA
9849,GPR160,NA,NA,LYRM7,NA,ZC3H6,RHOG,ZC3H6,HN1L,NA,NA,NA,NA
9850,CBX2,NA,NA,BCR,NA,LAMTOR4,EPS8L2,LAMTOR4,TMEM191C,NA,NA,NA,NA
9851,SPTBN2,NA,NA,SPIN4,NA,PRKAR1B,ANO6,PRKAR1B,ATP10A,NA,NA,NA,NA
9852,GOLIM4,NA,NA,HYAL3,NA,NCR3LG1,ZBTB34,DCUN1D3,HLA.A,NA,NA,NA,NA
9853,RBM4B,NA,NA,VSIG10L,NA,DCUN1D3,FAM210A,ZNF793,HACD2,NA,NA,NA,NA
9854,USMG5,NA,NA,CXCR3,NA,ZNF793,TALDO1,TUBB4B,ANKRD28,NA,NA,NA,NA
9855,HOXB2,NA,NA,ZNF397,NA,TUBB4B,ULK1,AGAP4,METTL6,NA,NA,NA,NA
9856,C1QTNF1,NA,NA,ZSCAN30,NA,AGAP4,RPS6KA3,COMMD6,GPX3,NA,NA,NA,NA
9857,MARCH3,NA,NA,TPCN1,NA,COMMD6,B3GNT8,HYKK,C11ORF31,NA,NA,NA,NA
9858,SWSAP1,NA,NA,LILRB4,NA,RUFY4,PUS1,ZNF383,STK38L,NA,NA,NA,NA
9859,SLCO4C1,NA,NA,TNFRSF4,NA,ZNF383,CHD9,HES4,SACM1L,NA,NA,NA,NA
9860,RBM4,NA,NA,HEXIM1,NA,HES4,PDDC1,ZNF669,TSN,NA,NA,NA,NA
9861,PIFO,NA,NA,TRABD2A,NA,ZNF669,MAN1B1,PLSCR1,SLC48A1,NA,NA,NA,NA
9862,XXYLT1,NA,NA,PDZD7,NA,C19ORF35,FZD8,C3ORF62,IGKC,NA,NA,NA,NA
9863,UBXN2A,NA,NA,POFUT2,NA,CENPP,TOP3A,ZNF559,IGLV1.44,NA,NA,NA,NA
9864,CCS,NA,NA,TNFRSF18,NA,PLSCR1,CASKIN2,GTF2F2,IGLC2,NA,NA,NA,NA
9865,CEP19,NA,NA,ZDHHC17,NA,C3ORF62,ZBTB38,FAM92A1,IGLC3,NA,NA,NA,NA
9866,KLHL15,NA,NA,ZNF395,NA,ZNF559,CCDC71,FOCAD,TRGC1,NA,NA,NA,NA
9867,FBXO45,NA,NA,PPARA,NA,GTF2F2,TIMM22,ZP3,TRBC1,NA,NA,NA,NA
9868,GNG5,NA,NA,FAM183A,NA,FAM92A1,HIC1,SELL,TRBC2,NA,NA,NA,NA
9869,SLC25A30,NA,NA,PTRH1,NA,FOCAD,PPFIA3,CHM,TRAV4,NA,NA,NA,NA
9870,CTSF,NA,NA,GPR141,NA,ZP3,MAGEF1,BLOC1S5,TRAV16,NA,NA,NA,NA
9871,MSRB3,NA,NA,TMEM216,NA,H3F3C,SAMD9L,IER5L,TRDC,NA,NA,NA,NA
9872,LEMD3,NA,NA,RPS19BP1,NA,PDCD1,PAWR,H2AFX,IGHG4,NA,NA,NA,NA
9873,C16ORF91,NA,NA,PLCD1,NA,SELL,TGIF1,C19ORF54,IGHG2,NA,NA,NA,NA
9874,TLR1,NA,NA,ENTPD5,NA,CHM,MIEF2,C22ORF34,IGHA1,NA,NA,NA,NA
9875,FAM174A,NA,NA,MITF,NA,BLOC1S5,NAP1L5,SRSF10,IGHG1,NA,NA,NA,NA
9876,RGMB,NA,NA,NAP1L1,NA,IER5L,NR2C2,DUSP28,IGHG3,NA,NA,NA,NA
9877,CYB561D1,NA,NA,CMC1,NA,H2AFX,GPR4,NBR1,IGHD,NA,NA,NA,NA
9878,ZDHHC24,NA,NA,AKR1C1,NA,C19ORF54,ACOT4,RALGAPA2,LINC01089,NA,NA,NA,NA
9879,TRMT10C,NA,NA,RNF220,NA,NCCRP1,PTRF,SUMO2,MT.ND4L,NA,NA,NA,NA
9880,CTU2,NA,NA,SHTN1,NA,C22ORF34,ARIH2,LDOC1L,ZNF580,NA,NA,NA,NA
9881,MGA,NA,NA,RP11.195F19.5,NA,SRSF10,ZBTB33,DPYD,ZNF611,NA,NA,NA,NA
9882,C12ORF66,NA,NA,ZNF546,NA,DUSP28,IRX3,S100A16,NUP62,NA,NA,NA,NA
9883,PIGG,NA,NA,TSPYL4,NA,NBR1,SLC25A22,PTAR1,DENND1B,NA,NA,NA,NA
9884,PRPF8,NA,NA,MT1X,NA,RALGAPA2,RABEP2,PARVB,SFT2D2,NA,NA,NA,NA
9885,ADCY6,NA,NA,GCNT1,NA,NDOR1,ATOX1,UROS,FGFR1OP,NA,NA,NA,NA
9886,PITPNA,NA,NA,SESTD1,NA,CLN3,TBL1XR1,ZDHHC9,SCAF8,NA,NA,NA,NA
9887,DDX23,NA,NA,FNBP1,NA,FAM72B,CD163,SMIM15,ZNF254,NA,NA,NA,NA
9888,ZNHIT2,NA,NA,DYNC2H1,NA,SUMO2,C18ORF32,FAM221A,TCTEX1D2,NA,NA,NA,NA
9889,ZBTB4,NA,NA,RSBN1L,NA,DPYD,PIDD1,TMEM120B,CRIP1,NA,NA,NA,NA
9890,TNK1,NA,NA,EPOR,NA,S100A16,RPLP2,RBM34,KLHL23,NA,NA,NA,NA
9891,ZHX3,NA,NA,TAF9B,NA,PTAR1,JUN,ZNF548,FAM24B,NA,NA,NA,NA
9892,PHLDA3,NA,NA,CHP1,NA,IDO2,CSTF2T,MTF1,TRIM59,NA,NA,NA,NA
9893,PODN,NA,NA,FPR3,NA,PARVB,PGBD5,TMEM201,MLLT11,NA,NA,NA,NA
9894,C11ORF45,NA,NA,C11ORF96,NA,UROS,GBA,NHLRC3,GIMAP1,NA,NA,NA,NA
