B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Monocyte	NK	NKT	Pericyte	Plasma
NA	RAP1B	SDF4	GNA13	WFDC2	BCHE	CYP1B1	LCP2	NA	LCP2	NA	RCAN2	SERPINH1
NA	HSP90AB1	ZNF644	C1orf162	PFDN4	BCL7C	PRRX1	ATP5H	NA	PRR13	NA	ACP1	SQSTM1
NA	POMP	PDCD7	PLAU	PLEC	BHMT	TIMP1	SLC16A10	NA	ILF3	NA	ECHS1	TPM1
NA	SSR2	IFI44L	ADIRF	PRCP	BIK	DDX5	RPL17	NA	SLA2	NA	SCAND1	LUM
NA	ATP5H	ZFAND2A	CRIP2	PRKCDBP	BIN1	TFPI	SLC2A3	NA	RSL24D1	NA	MRPL55	VIM
NA	TMEM167A	BAZ1B	SPAG9	POMP	BIN2	SERPINH1	ACP5	NA	SPINT2	NA	HMGCS2	FSTL1
NA	EBPL	RFC1	HSPB1	PTPRE	BLCAP	MLF2	P2RY13	NA	ACSS1	NA	FAM162A	MT-ND1
NA	CD6	TAF15	CXCL3	WASF2	BLOC1S1	SNX6	TYMP	NA	ODC1	NA	PRMT2	IFI27
NA	DNAJC8	ATP5D	BCL2L11	RPL37A	BOD1	C19orf33	MMP14	NA	LAMTOR1	NA	XRN2	ANXA2
NA	CHMP4A	TUBA1C	CXCL2	MT1G	BPHL	SDCBP	VEGFA	NA	DKC1	NA	NCOR1	CD14
NA	SEP15	DGKZ	ETF1	CXCL3	BRD9	HLA-DPB1	ZFP36L1	NA	ELMSAN1	NA	EMP3	BTG1
NA	GNAS	HSPA6	SPINT2	IER3	BRI3	PTMS	MNDA	NA	PPP1R10	NA	MAGOH	SERPINB9
NA	PRPF4B	MCMBP	MMP14	AHNAK	BRK1	KDELR3	SPINT1	NA	CD69	NA	PDIA6	EBPL
NA	CD96	RP11-345J4.5	MALT1	CEBPD	BSG	CD4	CMTM6	NA	PCF11	NA	DNPH1	HPCAL1
NA	NENF	CDS2	PSME2	THSD7A	BUB3	HES1	STAB1	NA	TPP2	NA	MAT2A	SNHG9
NA	PLAT	PSIP1	PSME1	BGN	C10orf10	GSN	PLP2	NA	PERP	NA	SNRK	CD151
NA	EIF3E	SPTAN1	ABHD12	AKAP12	C11orf48	TMEM98	GCHFR	NA	MYO1G	NA	ATP5A1	EAF2
NA	RTN4	SEC31A	PHLDA1	CCL3	C11orf54	DAB2	PMEPA1	NA	LDLRAD4	NA	ITM2C	AGRN
NA	CSRNP1	SEC14L1	LACTB	BRI3	C11orf83	HDDC2	RAP1B	NA	ZNF664	NA	RPL28	HLA-E
NA	BCL7B	TBCD	MMP24-AS1	LAMP1	C14orf166	RND3	VMO1	NA	CSRNP1	NA	ANXA2	SNORA76
NA	ZFP36L2	RNF139	BHLHE40	LCN2	C16orf74	ELF1	KRT5	NA	ZCCHC11	NA	IL6	IGF2
NA	PDE4D	RAB11A	LSM6	COTL1	C16orf80	NTM	C4orf48	NA	COTL1	NA	MDK	C1R
NA	OSTF1	RHBDD2	MAP3K11	RBP1	C19orf24	STAB2	CYR61	NA	HNRNPM	NA	UQCR10	JOSD1
NA	TRAF4	APOE	NEAT1	EGFL7	C19orf33	C1R	CTSH	NA	GOLIM4	NA	ATXN10	GSN
NA	TUBA1B	GTF2F1	TIMP1	NPY1R	C19orf43	COL8A1	METTL7A	NA	SLBP	NA	MT-ND4L	TGFBI
NA	MT-CYB	GNAI3	BCL7B	ARPC1B	C19orf60	MGST2	PABPC4	NA	S100A9	NA	CUEDC2	GNG11
NA	SYT8	TUBB	CHD1	PTMA	C1D	ISLR	APOH	NA	RAC1	NA	SSNA1	RP11-689B22.2
NA	COL3A1	MRPL52	SPI1	KDR	C1QBP	ACP5	ATP5E	NA	CAPZB	NA	PSAP	SEC61G
NA	TPM4	CEBPZ	LAMP1	CD74	C1orf123	ASAH1	S100A13	NA	MAP3K8	NA	TXNDC12	PDIA4
NA	CCDC12	DNAJB11	G0S2	PLVAP	C21orf33	TMEM66	SCIMP	NA	RHOG	NA	AK3	MCL1
NA	DYNLT1	DEDD2	CRELD2	APOC1	C4BPB	RPL6	ATP1B1	NA	RRM1	NA	CSNK1A1	MT-ND4
NA	VAMP5	GSTO1	SPP1	IGFBP5	C4orf48	TMEM123	PSCA	NA	FAM49B	NA	KLHDC8B	IL1B
NA	ZFAS1	C20orf24	S100A9	GIMAP4	C7orf50	PALLD	NGFRAP1	NA	ARPC5L	NA	SP100	C1S
NA	PHLDA1	CMTM3	PTPN1	ITGA2	C7orf55	DPYSL3	ATP6V1F	NA	EZR	NA	URM1	PELI1
NA	SERPINB9	TES	ZNF267	TSC22D1	C8orf33	SOX4	RAB32	NA	TXNDC12	NA	SKIL	TNC
NA	FNBP1	RAB10	GRINA	LUZP1	C8orf4	FAM127A	MYO1G	NA	MOB1A	NA	EIF2S3	MT-ND4L
NA	PPP1CA	IL32	SLC25A33	RPS26	C9orf142	CRABP2	DEFB1	NA	ETFA	NA	MAP3K13	CREG1
NA	IQGAP1	PGAP1	DUT	MCTP1	C9orf78	ADAMTS12	BLVRB	NA	PA2G4	NA	S100A6	PEBP1
NA	SLBP	EFHD2	PHYKPL	EBPL	C9orf89	MARCKSL1	C6orf62	NA	DAZAP2	NA	HMG20B	TINAGL1
NA	IL32	USP18	IFI6	AP2S1	CA2	CCDC102B	FCGRT	NA	MAP3K11	NA	LUC7L3	PHLDA1
NA	IL8	CPSF6	MAP2K3	RPL18A	CACYBP	OSTC	CRIP2	NA	RAD23B	NA	FAM3C	EREG
NA	UQCR11.1	ZNHIT6	C3	RPL8	CALM1	IER3	PKIB	NA	VPS29	NA	SERPINH1	NET1
NA	BRD2	SNRPD1	TRIB1	HLA-DPB1	CALM3	RAB13	FGB	NA	YWHAE	NA	APP	RPL39
NA	TACSTD2	PCNA	PFKFB3	DUSP5	CAMK2N1	GPX8	PPIA	NA	METAP2	NA	NAA10	GNB2
NA	NOP58	GPR137B	PLSCR1	TUBA1A	CAMTA1	STAB1	NDUFA1	NA	LCK	NA	PSMD6	TMEM248
NA	GOLGA4	SMIM4	S100A16	CXCL2	CANX	TNFRSF12A	ST14	NA	LINC00152	NA	NNMT	HMGN1
NA	NASP	SNW1	PEA15	DAZAP2	CAP1	TINAGL1	CREM	NA	SQLE	NA	ARL1	HCST
NA	GIMAP4	XPO1	ID1	FAM118A	CAPG	CEBPD	HSPA5	NA	VIM	NA	PET100	LAMB3
NA	MT-ND5	RELB	CSRNP1	HIST1H4C	CAPNS1	SNHG18	GIMAP4	NA	ZNF644	NA	UBE2J1	TMEM165
NA	HNRNPAB	EIF4G2	JOSD1	PCBP1	CAPS	TXN	MCOLN1	NA	TNFRSF12A	NA	TXNIP	MIR29A
NA	ITGB1	CD6	CTNND1	SVIL	CAPZA1	PHLDA3	S100A16	NA	ARL6IP1	NA	ECE1	TGM2
NA	ITGB2	CHD4	PTMA	NES	CAPZA2	CFP	NR1H3	NA	WHSC1L1	NA	RNF5	EZR
NA	CDKN1A	ANXA2	PSMB10	VAMP5	CAPZB	CLTA	NCOA4	NA	SNORA76	NA	MARCKS	SPP1
NA	GLIPR1	RAB22A	TET2	BNIP3L	CARD16	MYL12A	LYN	NA	HNRNPF	NA	COL6A1	RYBP
NA	CLEC2B	NDUFB4	CEACAM4	IFI27	CARHSP1	PPP1R14B	AREG	NA	NDUFA10	NA	FAM177A1	MT-CO2
