B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Monocyte	NK	NKT	Pericyte	Plasma
NA	NA	NA	NA	NA	SKIL	CD79B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C4orf27	ANKRD44	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD14	SUZ12	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARHGAP9	PRG4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EXOSC3	HELZ2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HIRIP3	FAM102A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL36AL	CD7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KDELR3	RPL39	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GC	MYL12B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AIF1	CCRL2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HMGN3	GATM	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	APOBEC3C	GNA14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TOMM7	B3GAT2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM208B	GC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KCNK1	BCL3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARGLU1	ORM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GLIPR1	SMAD6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SH3GLB2	CFL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IFI27L2	IL4R	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCSER2	CLN8	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC25A47	AKR1C3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SHMT2	SH2B3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C9orf169	CNST	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CFHR2	ERG	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C4orf3	IGF2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COX4I1	PLEKHO2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PROSC	RPL18	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPF2	AGXT	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BLVRB	MRFAP1L1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP6V0B	F2R	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP5G3	ZNF200	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AQP1	ATG2A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MT1E	C1QA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYP27A1	HOXA5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GPR110	EIF1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KLK11	MT1X	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EPSTI1	PRELP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZBTB10	ALDOB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AMD1	ARHGAP26	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NMU	CTSO	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PIK3R1	CASP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AKIRIN2	ARRDC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SOD3	CD2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AQP3	DTNBP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IGLL5	PFKFB3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IGF1R	FCN1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRPSAP1	PDE4B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSD17B8	TCF7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RGS12	CDKN2AIP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BCL10	LYSMD2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LYST	ALDH6A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C17orf62	LILRB5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LSM7	AKNA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DDX19B	HSD17B14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZNF706	MGST1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ASF1B	APOD	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IDNK	HEPH	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TRIM8	RABGAP1L	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM67	NPC2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZBTB7A	CASP3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RNASEH2A	SLC9A9	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	OCEL1	TIAM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LTB	VCAM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DUSP10	IL7R	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MROH1	SMPDL3A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PCK2	CEP135	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C6orf141	APOL3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MCEE	LAMA2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MTMR14	SLC38A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLOD3	EIF1AY	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KHK	ATP5G2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITM2C	CPED1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COL1A1	HYAL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GBP1	MT1G	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DDX6	RPL5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SDSL	RP11-386I14.4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ECHDC3	TRIM22	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MKI67	UBA52	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM13A	C15orf57	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RIPK2	TOPORS	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COL6A2	SEPT4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GPR18	IGLL5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RASSF5	TNFRSF1B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DCBLD2	SLC7A8	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GPATCH2	DHCR24	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LRIG3	PTPRE	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HERPUD1	FRG1B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SYT12	NIT1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PSMB7	GALT	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C19orf66	EPB41	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITM2B	MT-ND1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CSNK1A1	PPP2R5A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCNA2	RPS15A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ALG5	TMEM255B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDC42EP3	UQCRQ	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BTN3A2	MT1M	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CHCHD2	ARIH1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC107	RGS4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GPX2	RICTOR	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RHOF	ARHGAP15	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BAMBI	HS3ST3A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ASF1A	SIPA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FXN	GIMAP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FGFR2	FCHSD2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DTYMK	SNTB2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KRT13	NR4A2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LUZP1	CD59	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BCO2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LCP2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	POLR2K	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRR4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYP24A1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NAA20	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CXCL6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MYL9	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PCCB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BHLHE40	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL27	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DHRS4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRMT2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NARF	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KLK8	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	INTS10	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSD17B2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SVIP	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HMHA1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MIR4435-1HG	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATG5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AC007246.3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RSU1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ADH6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MAGED2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UQCRH	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PSTPIP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SUCLA2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TRA2B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	METTL7A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ABL2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HIBCH	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL17	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CASC7	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KDM5B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IGJ	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TTC38	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FN1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RANBP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARID5A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MAML2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LRP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SAMSN1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	P4HA1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	WASF2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZSCAN16-AS1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RBM39	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD109	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NCOA3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSPH1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IL16	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CHST4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GIMAP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MSI2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SH3BGRL	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANGPTL1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CFHR1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANKIB1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UBE2C	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CERS6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NIPSNAP3A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANKRD28	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NAMPT	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GIMAP2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PET100	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EEF1D	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZFAND2A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MIF4GD	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KYNU	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MCL1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPA1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	STAT1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AZGP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NCKAP1L	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TACC1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ECE1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AOAH	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPS12	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	APIP	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL18	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTPLAD2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MMP28	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LINC00152	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MXD1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CPT2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDKN2D	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLK1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC28B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GALNT1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BMPR2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RGL4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HRASLS2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CLDN10	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNAL4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SERPINC1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DENND2C	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NRARP	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LRCH4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPA3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDC37L1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KMT2A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MUT	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MZT2B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MAD1L1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TNNI2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UGT2A3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZFP36L1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CRYZ	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDC40	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SP140	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BTG2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARFGEF1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GCNT3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ERC1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COL4A2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATRX	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KLHDC4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MDM2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RGS3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RASGRP2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ISYNA1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VSTM2L	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BASP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACY1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C18orf32	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NOP10	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TF	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRDX5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IL12RB1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SCRIB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL28	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FDCSP	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACADSB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LRR1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RP11-357H14.17	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GCDH	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BEX4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MT1A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS15	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TRIO	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TIMP3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C14orf2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GLUL	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IDS	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PHF11	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNAH14	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AIFM1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP6V0E1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPOCK2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RNF138	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RP11-386I14.4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NR2F1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TPD52	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PHLDB2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UCHL1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SIRPG	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSBP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UPP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RASSF6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PARP14	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNASE1L3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SERPINA6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TPPP3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DOCK8	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RP11-640M9.1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRDX1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TNFAIP8	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SERPINB3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPC25	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CALML5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACSM5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DECR1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	POLD4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HNRNPU-AS1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FMO5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACSM2B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MYL12B	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NKTR	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RCL1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CXCL3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRDX6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ABLIM1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ICOS	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ENO3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DYNLL1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DHFR	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AKNA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RASGRP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CASP3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ETV6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC25A5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RAB7L1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CAPN2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TAGAP	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SCD	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GALT	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	G6PD	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MGAT4A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LINC00261	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NUF2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD55	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SERPINB9	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPON2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SAA1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPP3CC	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL24	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BEX2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPDPF	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SH3BP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HHEX	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CBX6	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	QPRT	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HPX	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KNG1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPIA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EIF3H	NA	NA	NA	NA	NA	NA	NA
